"GEO_ID","NAME","B25064_001E","B25064_001EA","B25064_001M","B25064_001MA",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Annotation of Estimate!!Median gross rent","Margin of Error!!Median gross rent","Annotation of Margin of Error!!Median gross rent",
"1500000US060014001001","Block Group 1, Census Tract 4001, Alameda County, California","3202","null","201","null",
"1500000US060014002001","Block Group 1, Census Tract 4002, Alameda County, California","1780","null","201","null",
"1500000US060014002002","Block Group 2, Census Tract 4002, Alameda County, California","1760","null","199","null",
"1500000US060014003001","Block Group 1, Census Tract 4003, Alameda County, California","1486","null","355","null",
"1500000US060014003002","Block Group 2, Census Tract 4003, Alameda County, California","1337","null","109","null",
"1500000US060014003003","Block Group 3, Census Tract 4003, Alameda County, California","853","null","48","null",
"1500000US060014003004","Block Group 4, Census Tract 4003, Alameda County, California","1609","null","1270","null",
"1500000US060014004001","Block Group 1, Census Tract 4004, Alameda County, California","1730","null","318","null",
"1500000US060014004002","Block Group 2, Census Tract 4004, Alameda County, California","1258","null","211","null",
"1500000US060014004003","Block Group 3, Census Tract 4004, Alameda County, California","1702","null","137","null",
"1500000US060014005001","Block Group 1, Census Tract 4005, Alameda County, California","1427","null","107","null",
"1500000US060014005002","Block Group 2, Census Tract 4005, Alameda County, California","1353","null","669","null",
"1500000US060014005003","Block Group 3, Census Tract 4005, Alameda County, California","1570","null","255","null",
"1500000US060014006001","Block Group 1, Census Tract 4006, Alameda County, California","1213","null","174","null",
"1500000US060014006002","Block Group 2, Census Tract 4006, Alameda County, California","1278","null","417","null",
"1500000US060014007001","Block Group 1, Census Tract 4007, Alameda County, California","1071","null","213","null",
"1500000US060014007002","Block Group 2, Census Tract 4007, Alameda County, California","1025","null","241","null",
"1500000US060014007003","Block Group 3, Census Tract 4007, Alameda County, California","1326","null","241","null",
"1500000US060014007004","Block Group 4, Census Tract 4007, Alameda County, California","1556","null","347","null",
"1500000US060014008001","Block Group 1, Census Tract 4008, Alameda County, California","1215","null","297","null",
"1500000US060014008002","Block Group 2, Census Tract 4008, Alameda County, California","1317","null","125","null",
"1500000US060014008003","Block Group 3, Census Tract 4008, Alameda County, California","1405","null","61","null",
"1500000US060014009001","Block Group 1, Census Tract 4009, Alameda County, California","1195","null","225","null",
"1500000US060014009002","Block Group 2, Census Tract 4009, Alameda County, California","1862","null","173","null",
"1500000US060014010001","Block Group 1, Census Tract 4010, Alameda County, California","1194","null","273","null",
"1500000US060014010002","Block Group 2, Census Tract 4010, Alameda County, California","-","-","**","**",
"1500000US060014010003","Block Group 3, Census Tract 4010, Alameda County, California","1026","null","352","null",
"1500000US060014010004","Block Group 4, Census Tract 4010, Alameda County, California","1418","null","501","null",
"1500000US060014010005","Block Group 5, Census Tract 4010, Alameda County, California","1227","null","370","null",
"1500000US060014010006","Block Group 6, Census Tract 4010, Alameda County, California","1189","null","141","null",
"1500000US060014011001","Block Group 1, Census Tract 4011, Alameda County, California","1093","null","218","null",
"1500000US060014011002","Block Group 2, Census Tract 4011, Alameda County, California","1269","null","173","null",
"1500000US060014011003","Block Group 3, Census Tract 4011, Alameda County, California","1394","null","446","null",
"1500000US060014011004","Block Group 4, Census Tract 4011, Alameda County, California","1411","null","130","null",
