"GEO_ID","NAME","B25064_001E","B25064_001M","B25064_001MA","B25064_001EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent","Annotation of Margin of Error!!Median gross rent","Annotation of Estimate!!Median gross rent",
"1500000US060014001001","Block Group 1, Census Tract 4001, Alameda County, California","3,500+","***","***","3,500+",
"1500000US060014002001","Block Group 1, Census Tract 4002, Alameda County, California","2360","496","null","null",
"1500000US060014002002","Block Group 2, Census Tract 4002, Alameda County, California","2156","301","null","null",
"1500000US060014003001","Block Group 1, Census Tract 4003, Alameda County, California","1848","412","null","null",
"1500000US060014003002","Block Group 2, Census Tract 4003, Alameda County, California","1784","219","null","null",
"1500000US060014003003","Block Group 3, Census Tract 4003, Alameda County, California","1070","600","null","null",
"1500000US060014003004","Block Group 4, Census Tract 4003, Alameda County, California","2350","349","null","null",
"1500000US060014004001","Block Group 1, Census Tract 4004, Alameda County, California","2076","471","null","null",
"1500000US060014004002","Block Group 2, Census Tract 4004, Alameda County, California","1887","489","null","null",
"1500000US060014004003","Block Group 3, Census Tract 4004, Alameda County, California","1820","134","null","null",
"1500000US060014005001","Block Group 1, Census Tract 4005, Alameda County, California","1787","191","null","null",
"1500000US060014005002","Block Group 2, Census Tract 4005, Alameda County, California","1760","1081","null","null",
"1500000US060014005003","Block Group 3, Census Tract 4005, Alameda County, California","1853","454","null","null",
"1500000US060014006001","Block Group 1, Census Tract 4006, Alameda County, California","1652","307","null","null",
"1500000US060014006002","Block Group 2, Census Tract 4006, Alameda County, California","1811","353","null","null",
"1500000US060014007001","Block Group 1, Census Tract 4007, Alameda County, California","1652","435","null","null",
"1500000US060014007002","Block Group 2, Census Tract 4007, Alameda County, California","1442","360","null","null",
"1500000US060014007003","Block Group 3, Census Tract 4007, Alameda County, California","1495","363","null","null",
"1500000US060014007004","Block Group 4, Census Tract 4007, Alameda County, California","2045","604","null","null",
"1500000US060014008001","Block Group 1, Census Tract 4008, Alameda County, California","1711","870","null","null",
"1500000US060014008002","Block Group 2, Census Tract 4008, Alameda County, California","1515","549","null","null",
"1500000US060014008003","Block Group 3, Census Tract 4008, Alameda County, California","1913","436","null","null",
"1500000US060014009001","Block Group 1, Census Tract 4009, Alameda County, California","1304","219","null","null",
"1500000US060014009002","Block Group 2, Census Tract 4009, Alameda County, California","1851","184","null","null",
"1500000US060014010001","Block Group 1, Census Tract 4010, Alameda County, California","1090","572","null","null",
"1500000US060014010002","Block Group 2, Census Tract 4010, Alameda County, California","2200","655","null","null",
"1500000US060014010003","Block Group 3, Census Tract 4010, Alameda County, California","1580","652","null","null",
"1500000US060014010004","Block Group 4, Census Tract 4010, Alameda County, California","1723","316","null","null",
"1500000US060014010005","Block Group 5, Census Tract 4010, Alameda County, California","2092","264","null","null",
"1500000US060014010006","Block Group 6, Census Tract 4010, Alameda County, California","1802","644","null","null",
"1500000US060014011001","Block Group 1, Census Tract 4011, Alameda County, California","2125","1826","null","null",
"1500000US060014011002","Block Group 2, Census Tract 4011, Alameda County, California","1773","190","null","null",
"1500000US060014011003","Block Group 3, Census Tract 4011, Alameda County, California","1299","279","null","null",
"1500000US060014011004","Block Group 4, Census Tract 4011, Alameda County, California","1699","149","null","null",
"1500000US060014012001","Block Group 1, Census Tract 4012, Alameda County, California","2187","262","null","null",
"1500000US060014012002","Block Group 2, Census Tract 4012, Alameda County, California","1652","362","null","null",
"1500000US060014012003","Block Group 3, Census Tract 4012, Alameda County, California","1396","163","null","null",
"1500000US060014013001","Block Group 1, Census Tract 4013, Alameda County, California","1287","186","null","null",
"1500000US060014013002","Block Group 2, Census Tract 4013, Alameda County, California","1121","151","null","null",
"1500000US060014013003","Block Group 3, Census Tract 4013, Alameda County, California","1538","370","null","null",
"1500000US060014014001","Block Group 1, Census Tract 4014, Alameda County, California","1375","262","null","null",
"1500000US060014014002","Block Group 2, Census Tract 4014, Alameda County, California","1319","173","null","null",
"1500000US060014014003","Block Group 3, Census Tract 4014, Alameda County, California","1592","226","null","null",
"1500000US060014015001","Block Group 1, Census Tract 4015, Alameda County, California","729","83","null","null",
"1500000US060014015002","Block Group 2, Census Tract 4015, Alameda County, California","1955","469","null","null",
"1500000US060014015003","Block Group 3, Census Tract 4015, Alameda County, California","2333","420","null","null",
"1500000US060014016001","Block Group 1, Census Tract 4016, Alameda County, California","1537","242","null","null",
"1500000US060014016002","Block Group 2, Census Tract 4016, Alameda County, California","1344","285","null","null",
"1500000US060014017001","Block Group 1, Census Tract 4017, Alameda County, California","2495","294","null","null",
"1500000US060014017002","Block Group 2, Census Tract 4017, Alameda County, California","1685","409","null","null",
"1500000US060014017003","Block Group 3, Census Tract 4017, Alameda County, California","-","**","**","-",
"1500000US060014018001","Block Group 1, Census Tract 4018, Alameda County, California","1325","437","null","null",
"1500000US060014018002","Block Group 2, Census Tract 4018, Alameda County, California","706","194","null","null",
"1500000US060014022001","Block Group 1, Census Tract 4022, Alameda County, California","1737","577","null","null",
"1500000US060014022002","Block Group 2, Census Tract 4022, Alameda County, California","1313","542","null","null",
"1500000US060014022003","Block Group 3, Census Tract 4022, Alameda County, California","2321","630","null","null",
"1500000US060014024001","Block Group 1, Census Tract 4024, Alameda County, California","1463","354","null","null",
"1500000US060014024002","Block Group 2, Census Tract 4024, Alameda County, California","480","78","null","null",
"1500000US060014025001","Block Group 1, Census Tract 4025, Alameda County, California","1335","98","null","null",
"1500000US060014025002","Block Group 2, Census Tract 4025, Alameda County, California","424","192","null","null",
"1500000US060014026001","Block Group 1, Census Tract 4026, Alameda County, California","976","201","null","null",
"1500000US060014027001","Block Group 1, Census Tract 4027, Alameda County, California","1279","318","null","null",
"1500000US060014027002","Block Group 2, Census Tract 4027, Alameda County, California","1352","336","null","null",
"1500000US060014028001","Block Group 1, Census Tract 4028, Alameda County, California","549","129","null","null",
"1500000US060014028002","Block Group 2, Census Tract 4028, Alameda County, California","2200","552","null","null",
"1500000US060014029001","Block Group 1, Census Tract 4029, Alameda County, California","1020","96","null","null",
"1500000US060014030001","Block Group 1, Census Tract 4030, Alameda County, California","1444","280","null","null",
"1500000US060014030002","Block Group 2, Census Tract 4030, Alameda County, California","574","86","null","null",
"1500000US060014031001","Block Group 1, Census Tract 4031, Alameda County, California","2405","376","null","null",
"1500000US060014033001","Block Group 1, Census Tract 4033, Alameda County, California","2840","234","null","null",
"1500000US060014033002","Block Group 2, Census Tract 4033, Alameda County, California","1102","429","null","null",
"1500000US060014034001","Block Group 1, Census Tract 4034, Alameda County, California","2508","407","null","null",
"1500000US060014034002","Block Group 2, Census Tract 4034, Alameda County, California","1159","221","null","null",
"1500000US060014034003","Block Group 3, Census Tract 4034, Alameda County, California","1114","417","null","null",
"1500000US060014034004","Block Group 4, Census Tract 4034, Alameda County, California","1379","138","null","null",
"1500000US060014035011","Block Group 1, Census Tract 4035.01, Alameda County, California","800","302","null","null",
"1500000US060014035012","Block Group 2, Census Tract 4035.01, Alameda County, California","1421","170","null","null",
"1500000US060014035013","Block Group 3, Census Tract 4035.01, Alameda County, California","1357","98","null","null",
"1500000US060014035021","Block Group 1, Census Tract 4035.02, Alameda County, California","1502","178","null","null",
"1500000US060014035022","Block Group 2, Census Tract 4035.02, Alameda County, California","1805","186","null","null",
"1500000US060014036001","Block Group 1, Census Tract 4036, Alameda County, California","1569","188","null","null",
"1500000US060014036002","Block Group 2, Census Tract 4036, Alameda County, California","1844","300","null","null",
"1500000US060014036003","Block Group 3, Census Tract 4036, Alameda County, California","1617","259","null","null",
"1500000US060014037011","Block Group 1, Census Tract 4037.01, Alameda County, California","1606","200","null","null",
"1500000US060014037012","Block Group 2, Census Tract 4037.01, Alameda County, California","1629","167","null","null",
"1500000US060014037021","Block Group 1, Census Tract 4037.02, Alameda County, California","1549","295","null","null",
"1500000US060014037022","Block Group 2, Census Tract 4037.02, Alameda County, California","1793","82","null","null",
"1500000US060014038001","Block Group 1, Census Tract 4038, Alameda County, California","-","**","**","-",
"1500000US060014038002","Block Group 2, Census Tract 4038, Alameda County, California","1905","248","null","null",
"1500000US060014038003","Block Group 3, Census Tract 4038, Alameda County, California","1942","264","null","null",
"1500000US060014038004","Block Group 4, Census Tract 4038, Alameda County, California","1711","250","null","null",
"1500000US060014039001","Block Group 1, Census Tract 4039, Alameda County, California","1673","248","null","null",
"1500000US060014039002","Block Group 2, Census Tract 4039, Alameda County, California","1702","176","null","null",
"1500000US060014039003","Block Group 3, Census Tract 4039, Alameda County, California","1663","678","null","null",
"1500000US060014040001","Block Group 1, Census Tract 4040, Alameda County, California","1582","112","null","null",
"1500000US060014040002","Block Group 2, Census Tract 4040, Alameda County, California","1755","174","null","null",
"1500000US060014041011","Block Group 1, Census Tract 4041.01, Alameda County, California","1574","257","null","null",
"1500000US060014041012","Block Group 2, Census Tract 4041.01, Alameda County, California","1885","133","null","null",
"1500000US060014041021","Block Group 1, Census Tract 4041.02, Alameda County, California","1486","172","null","null",
"1500000US060014041022","Block Group 2, Census Tract 4041.02, Alameda County, California","1647","351","null","null",
"1500000US060014042001","Block Group 1, Census Tract 4042, Alameda County, California","3233","310","null","null",
"1500000US060014042002","Block Group 2, Census Tract 4042, Alameda County, California","-","**","**","-",
"1500000US060014042003","Block Group 3, Census Tract 4042, Alameda County, California","2337","204","null","null",
"1500000US060014043001","Block Group 1, Census Tract 4043, Alameda County, California","-","**","**","-",
"1500000US060014043002","Block Group 2, Census Tract 4043, Alameda County, California","-","**","**","-",
"1500000US060014043003","Block Group 3, Census Tract 4043, Alameda County, California","2977","774","null","null",
"1500000US060014044001","Block Group 1, Census Tract 4044, Alameda County, California","3033","399","null","null",
"1500000US060014044002","Block Group 2, Census Tract 4044, Alameda County, California","3350","715","null","null",
"1500000US060014044003","Block Group 3, Census Tract 4044, Alameda County, California","-","**","**","-",
"1500000US060014045011","Block Group 1, Census Tract 4045.01, Alameda County, California","2214","917","null","null",
"1500000US060014045021","Block Group 1, Census Tract 4045.02, Alameda County, California","-","**","**","-",
"1500000US060014045022","Block Group 2, Census Tract 4045.02, Alameda County, California","-","**","**","-",
"1500000US060014045023","Block Group 3, Census Tract 4045.02, Alameda County, California","1889","307","null","null",
"1500000US060014045024","Block Group 4, Census Tract 4045.02, Alameda County, California","2535","346","null","null",
"1500000US060014046001","Block Group 1, Census Tract 4046, Alameda County, California","-","**","**","-",
"1500000US060014046002","Block Group 2, Census Tract 4046, Alameda County, California","-","**","**","-",
"1500000US060014046003","Block Group 3, Census Tract 4046, Alameda County, California","-","**","**","-",
"1500000US060014046004","Block Group 4, Census Tract 4046, Alameda County, California","2331","872","null","null",
"1500000US060014047001","Block Group 1, Census Tract 4047, Alameda County, California","2958","1260","null","null",
"1500000US060014047002","Block Group 2, Census Tract 4047, Alameda County, California","3295","377","null","null",
