"GEO_ID","NAME","B19013_001E","B19013_001M","B19013_001MA","B19013_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)",
"1500000US060014001001","Block Group 1, Census Tract 4001, Alameda County, California","200893","49177","null","null",
"1500000US060014002001","Block Group 1, Census Tract 4002, Alameda County, California","233566","44956","null","null",
"1500000US060014002002","Block Group 2, Census Tract 4002, Alameda County, California","116944","37081","null","null",
"1500000US060014003001","Block Group 1, Census Tract 4003, Alameda County, California","173300","29530","null","null",
"1500000US060014003002","Block Group 2, Census Tract 4003, Alameda County, California","89236","41660","null","null",
"1500000US060014003003","Block Group 3, Census Tract 4003, Alameda County, California","-","**","**","-",
"1500000US060014003004","Block Group 4, Census Tract 4003, Alameda County, California","125329","63960","null","null",
"1500000US060014004001","Block Group 1, Census Tract 4004, Alameda County, California","122344","26536","null","null",
"1500000US060014004002","Block Group 2, Census Tract 4004, Alameda County, California","97917","37420","null","null",
"1500000US060014004003","Block Group 3, Census Tract 4004, Alameda County, California","118125","36557","null","null",
"1500000US060014005001","Block Group 1, Census Tract 4005, Alameda County, California","104231","15396","null","null",
"1500000US060014005002","Block Group 2, Census Tract 4005, Alameda County, California","88015","30918","null","null",
"1500000US060014005003","Block Group 3, Census Tract 4005, Alameda County, California","112566","43048","null","null",
"1500000US060014006001","Block Group 1, Census Tract 4006, Alameda County, California","117292","33194","null","null",
"1500000US060014006002","Block Group 2, Census Tract 4006, Alameda County, California","145089","34217","null","null",
"1500000US060014007001","Block Group 1, Census Tract 4007, Alameda County, California","73750","25208","null","null",
"1500000US060014007002","Block Group 2, Census Tract 4007, Alameda County, California","93036","59757","null","null",
"1500000US060014007003","Block Group 3, Census Tract 4007, Alameda County, California","79539","27227","null","null",
"1500000US060014007004","Block Group 4, Census Tract 4007, Alameda County, California","-","**","**","-",
"1500000US060014008001","Block Group 1, Census Tract 4008, Alameda County, California","73676","23775","null","null",
"1500000US060014008002","Block Group 2, Census Tract 4008, Alameda County, California","50909","32865","null","null",
"1500000US060014008003","Block Group 3, Census Tract 4008, Alameda County, California","66316","22417","null","null",
"1500000US060014009001","Block Group 1, Census Tract 4009, Alameda County, California","46042","11422","null","null",
"1500000US060014009002","Block Group 2, Census Tract 4009, Alameda County, California","106000","27013","null","null",
"1500000US060014010001","Block Group 1, Census Tract 4010, Alameda County, California","63648","41730","null","null",
"1500000US060014010002","Block Group 2, Census Tract 4010, Alameda County, California","76458","37988","null","null",
"1500000US060014010003","Block Group 3, Census Tract 4010, Alameda County, California","88438","25725","null","null",
"1500000US060014010004","Block Group 4, Census Tract 4010, Alameda County, California","76250","44021","null","null",
"1500000US060014010005","Block Group 5, Census Tract 4010, Alameda County, California","65242","39472","null","null",
"1500000US060014010006","Block Group 6, Census Tract 4010, Alameda County, California","-","**","**","-",
"1500000US060014011001","Block Group 1, Census Tract 4011, Alameda County, California","101953","35525","null","null",
"1500000US060014011002","Block Group 2, Census Tract 4011, Alameda County, California","81715","7796","null","null",
"1500000US060014011003","Block Group 3, Census Tract 4011, Alameda County, California","120625","50927","null","null",
"1500000US060014011004","Block Group 4, Census Tract 4011, Alameda County, California","63889","46596","null","null",
"1500000US060014012001","Block Group 1, Census Tract 4012, Alameda County, California","107344","26986","null","null",
"1500000US060014012002","Block Group 2, Census Tract 4012, Alameda County, California","125583","44362","null","null",
"1500000US060014012003","Block Group 3, Census Tract 4012, Alameda County, California","76500","65446","null","null",
"1500000US060014013001","Block Group 1, Census Tract 4013, Alameda County, California","50568","22244","null","null",
"1500000US060014013002","Block Group 2, Census Tract 4013, Alameda County, California","30333","7428","null","null",
"1500000US060014013003","Block Group 3, Census Tract 4013, Alameda County, California","72804","15738","null","null",
"1500000US060014014001","Block Group 1, Census Tract 4014, Alameda County, California","39500","18148","null","null",
"1500000US060014014002","Block Group 2, Census Tract 4014, Alameda County, California","40917","14402","null","null",
"1500000US060014014003","Block Group 3, Census Tract 4014, Alameda County, California","34278","21293","null","null",
"1500000US060014015001","Block Group 1, Census Tract 4015, Alameda County, California","-","**","**","-",
"1500000US060014015002","Block Group 2, Census Tract 4015, Alameda County, California","100972","28848","null","null",
"1500000US060014015003","Block Group 3, Census Tract 4015, Alameda County, California","68625","17484","null","null",
"1500000US060014016001","Block Group 1, Census Tract 4016, Alameda County, California","58250","19283","null","null",
"1500000US060014016002","Block Group 2, Census Tract 4016, Alameda County, California","49196","22992","null","null",
"1500000US060014017001","Block Group 1, Census Tract 4017, Alameda County, California","138261","21102","null","null",
"1500000US060014017002","Block Group 2, Census Tract 4017, Alameda County, California","89583","18148","null","null",
"1500000US060014017003","Block Group 3, Census Tract 4017, Alameda County, California","-","**","**","-",
"1500000US060014018001","Block Group 1, Census Tract 4018, Alameda County, California","80300","16478","null","null",
"1500000US060014018002","Block Group 2, Census Tract 4018, Alameda County, California","22955","22791","null","null",
"1500000US060014022001","Block Group 1, Census Tract 4022, Alameda County, California","49500","13532","null","null",
"1500000US060014022002","Block Group 2, Census Tract 4022, Alameda County, California","48750","21657","null","null",
"1500000US060014022003","Block Group 3, Census Tract 4022, Alameda County, California","73636","57183","null","null",
"1500000US060014024001","Block Group 1, Census Tract 4024, Alameda County, California","52022","20353","null","null",
