"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1500000US060014001001","Block Group 1, Census Tract 4001, Alameda County, California","214500","null","86478","null",
"1500000US060014001002","Block Group 2, Census Tract 4001, Alameda County, California","223269","null","28610","null",
"1500000US060014002001","Block Group 1, Census Tract 4002, Alameda County, California","240273","null","27500","null",
"1500000US060014002002","Block Group 2, Census Tract 4002, Alameda County, California","170469","null","55145","null",
"1500000US060014003001","Block Group 1, Census Tract 4003, Alameda County, California","250,000+","250,000+","***","***",
"1500000US060014003002","Block Group 2, Census Tract 4003, Alameda County, California","107546","null","22919","null",
"1500000US060014003003","Block Group 3, Census Tract 4003, Alameda County, California","31649","null","20947","null",
"1500000US060014003004","Block Group 4, Census Tract 4003, Alameda County, California","132417","null","48382","null",
"1500000US060014004001","Block Group 1, Census Tract 4004, Alameda County, California","130735","null","31335","null",
"1500000US060014004002","Block Group 2, Census Tract 4004, Alameda County, California","102969","null","61144","null",
"1500000US060014004003","Block Group 3, Census Tract 4004, Alameda County, California","165040","null","53354","null",
"1500000US060014005001","Block Group 1, Census Tract 4005, Alameda County, California","97039","null","36259","null",
"1500000US060014005002","Block Group 2, Census Tract 4005, Alameda County, California","143287","null","44621","null",
"1500000US060014005003","Block Group 3, Census Tract 4005, Alameda County, California","85662","null","39567","null",
"1500000US060014006001","Block Group 1, Census Tract 4006, Alameda County, California","116364","null","28905","null",
"1500000US060014006002","Block Group 2, Census Tract 4006, Alameda County, California","165441","null","20938","null",
"1500000US060014007001","Block Group 1, Census Tract 4007, Alameda County, California","83571","null","32397","null",
"1500000US060014007002","Block Group 2, Census Tract 4007, Alameda County, California","91250","null","49372","null",
"1500000US060014007003","Block Group 3, Census Tract 4007, Alameda County, California","84375","null","33583","null",
"1500000US060014007004","Block Group 4, Census Tract 4007, Alameda County, California","102250","null","16762","null",
"1500000US060014008001","Block Group 1, Census Tract 4008, Alameda County, California","61071","null","30801","null",
"1500000US060014008002","Block Group 2, Census Tract 4008, Alameda County, California","78636","null","51327","null",
"1500000US060014008003","Block Group 3, Census Tract 4008, Alameda County, California","121146","null","33227","null",
"1500000US060014009001","Block Group 1, Census Tract 4009, Alameda County, California","63074","null","13099","null",
"1500000US060014009002","Block Group 2, Census Tract 4009, Alameda County, California","102438","null","15163","null",
"1500000US060014010001","Block Group 1, Census Tract 4010, Alameda County, California","85993","null","40109","null",
"1500000US060014010002","Block Group 2, Census Tract 4010, Alameda County, California","120625","null","23421","null",
"1500000US060014010003","Block Group 3, Census Tract 4010, Alameda County, California","112877","null","49217","null",
"1500000US060014010004","Block Group 4, Census Tract 4010, Alameda County, California","84423","null","12512","null",
"1500000US060014010005","Block Group 5, Census Tract 4010, Alameda County, California","73958","null","10365","null",
"1500000US060014010006","Block Group 6, Census Tract 4010, Alameda County, California","135848","null","68915","null",
"1500000US060014011001","Block Group 1, Census Tract 4011, Alameda County, California","74340","null","41860","null",
"1500000US060014011002","Block Group 2, Census Tract 4011, Alameda County, California","88958","null","12042","null",
"1500000US060014011003","Block Group 3, Census Tract 4011, Alameda County, California","148821","null","23113","null",
"1500000US060014011004","Block Group 4, Census Tract 4011, Alameda County, California","51923","null","40165","null",
"1500000US060014012001","Block Group 1, Census Tract 4012, Alameda County, California","126375","null","40966","null",
"1500000US060014012002","Block Group 2, Census Tract 4012, Alameda County, California","102371","null","50185","null",
"1500000US060014012003","Block Group 3, Census Tract 4012, Alameda County, California","62337","null","28707","null",
"1500000US060014013001","Block Group 1, Census Tract 4013, Alameda County, California","88988","null","29678","null",
"1500000US060014013002","Block Group 2, Census Tract 4013, Alameda County, California","43500","null","22285","null",
"1500000US060014013003","Block Group 3, Census Tract 4013, Alameda County, California","103611","null","20985","null",
"1500000US060014014001","Block Group 1, Census Tract 4014, Alameda County, California","50089","null","16142","null",
"1500000US060014014002","Block Group 2, Census Tract 4014, Alameda County, California","81979","null","38661","null",
"1500000US060014014003","Block Group 3, Census Tract 4014, Alameda County, California","65547","null","31814","null",
"1500000US060014015001","Block Group 1, Census Tract 4015, Alameda County, California","15625","null","7826","null",
"1500000US060014015002","Block Group 2, Census Tract 4015, Alameda County, California","104950","null","27639","null",
"1500000US060014015003","Block Group 3, Census Tract 4015, Alameda County, California","79198","null","8124","null",
"1500000US060014016001","Block Group 1, Census Tract 4016, Alameda County, California","61429","null","16636","null",
"1500000US060014016002","Block Group 2, Census Tract 4016, Alameda County, California","46518","null","16208","null",
"1500000US060014017001","Block Group 1, Census Tract 4017, Alameda County, California","120086","null","16188","null",
"1500000US060014017002","Block Group 2, Census Tract 4017, Alameda County, California","121771","null","35294","null",
"1500000US060014017003","Block Group 3, Census Tract 4017, Alameda County, California","139914","null","9983","null",
"1500000US060014018001","Block Group 1, Census Tract 4018, Alameda County, California","91932","null","21441","null",
"1500000US060014018002","Block Group 2, Census Tract 4018, Alameda County, California","61591","null","10425","null",
"1500000US060014022001","Block Group 1, Census Tract 4022, Alameda County, California","100208","null","45024","null",
"1500000US060014022002","Block Group 2, Census Tract 4022, Alameda County, California","68750","null","37460","null",
"1500000US060014022003","Block Group 3, Census Tract 4022, Alameda County, California","160677","null","39330","null",
"1500000US060014024001","Block Group 1, Census Tract 4024, Alameda County, California","40852","null","17738","null",
