"GEO_ID","NAME","B25063_001E","B25063_001EA","B25063_001M","B25063_001MA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008M","B25063_008MA","B25063_008EA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016M","B25063_016MA","B25063_016EA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Annotation of Margin of Error!!Total!!With cash rent","Annotation of Estimate!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Estimate!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Annotation of Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Annotation of Margin of Error!!Total!!With cash rent!!$150 to $199","Annotation of Estimate!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Estimate!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Annotation of Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Annotation of Margin of Error!!Total!!With cash rent!!$300 to $349","Annotation of Estimate!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Annotation of Margin of Error!!Total!!With cash rent!!$350 to $399","Annotation of Estimate!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Annotation of Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Annotation of Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Estimate!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Estimate!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Annotation of Margin of Error!!Total!!With cash rent!!$550 to $599","Annotation of Estimate!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Estimate!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Annotation of Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Annotation of Margin of Error!!Total!!With cash rent!!$700 to $749","Annotation of Estimate!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Annotation of Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Annotation of Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Annotation of Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Annotation of Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Annotation of Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Estimate!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 or more","Margin of Error!!Total!!With cash rent!!$2,000 or more","Annotation of Margin of Error!!Total!!With cash rent!!$2,000 or more","Annotation of Estimate!!Total!!With cash rent!!$2,000 or more","Estimate!!Total!!No cash rent","Annotation of Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent","Annotation of Margin of Error!!Total!!No cash rent",
"0500000US06001","Alameda County, California","238749","null","2443","null","232187","2545","null","null","505","152","null","null","662","null","172","null","1101","283","null","null","3481","381","null","null","3531","null","431","null","1913","287","null","null","1413","238","null","null","2472","null","370","null","2313","323","null","null","2175","336","null","null","2738","366","null","null","3287","411","null","null","3725","null","397","null","5016","545","null","null","7021","null","608","null","16989","null","860","null","20313","null","948","null","49688","1443","null","null","40155","null","1399","null","41099","null","1385","null","22590","1033","null","null","6562","null","619","null",
"0500000US06003","Alpine County, California","109","null","58","null","63","38","null","null","0","132","null","null","0","null","132","null","0","132","null","null","0","132","null","null","2","null","5","null","3","5","null","null","0","132","null","null","0","null","132","null","0","132","null","null","0","132","null","null","3","6","null","null","4","6","null","null","0","null","132","null","0","132","null","null","10","null","11","null","9","null","12","null","4","null","6","null","9","12","null","null","0","null","132","null","3","null","5","null","16","24","null","null","46","null","40","null",
"0500000US06005","Amador County, California","3343","null","391","null","3233","396","null","null","0","132","null","null","0","null","132","null","18","22","null","null","62","65","null","null","33","null","27","null","73","65","null","null","43","46","null","null","72","null","73","null","22","35","null","null","53","37","null","null","0","132","null","null","132","84","null","null","64","null","53","null","92","88","null","null","191","null","94","null","278","null","111","null","249","null","117","null","987","248","null","null","362","null","127","null","485","null","179","null","17","26","null","null","110","null","75","null",
"0500000US06007","Butte County, California","33144","null","874","null","31447","852","null","null","34","39","null","null","33","null","31","null","128","84","null","null","210","108","null","null","537","null","152","null","457","160","null","null","495","130","null","null","845","null","219","null","685","173","null","null","1355","247","null","null","1547","277","null","null","1705","269","null","null","1589","null","243","null","1549","322","null","null","2267","null","356","null","3725","null","420","null","3534","null","412","null","4829","534","null","null","3022","null","390","null","2184","null","309","null","717","175","null","null","1697","null","265","null",
"0500000US06009","Calaveras County, California","3978","null","403","null","3666","405","null","null","16","28","null","null","0","null","132","null","13","24","null","null","39","45","null","null","11","null","19","null","28","30","null","null","52","60","null","null","83","null","69","null","88","96","null","null","69","76","null","null","84","68","null","null","88","62","null","null","144","null","96","null","262","164","null","null","180","null","125","null","478","null","138","null","416","null","161","null","696","234","null","null","511","null","211","null","313","null","147","null","95","87","null","null","312","null","124","null",
"0500000US06011","Colusa County, California","2482","null","369","null","2248","370","null","null","0","132","null","null","0","null","132","null","47","49","null","null","20","27","null","null","81","null","58","null","25","27","null","null","17","21","null","null","29","null","26","null","220","105","null","null","107","56","null","null","99","71","null","null","102","50","null","null","155","null","99","null","116","72","null","null","34","null","40","null","243","null","103","null","180","null","79","null","346","138","null","null","272","null","161","null","96","null","71","null","59","35","null","null","234","null","99","null",
"0500000US06013","Contra Costa County, California","112280","null","1552","null","108748","1524","null","null","224","138","null","null","309","null","127","null","520","138","null","null","1125","228","null","null","1280","null","277","null","1054","263","null","null","1067","261","null","null","741","null","233","null","694","196","null","null","1264","292","null","null","1153","227","null","null","931","235","null","null","1170","null","282","null","1465","280","null","null","1932","null","409","null","6224","null","556","null","8685","null","755","null","23118","1036","null","null","18124","null","1137","null","22808","null","1115","null","14860","861","null","null","3532","null","459","null",
"0500000US06015","Del Norte County, California","3875","null","376","null","3491","353","null","null","8","14","null","null","9","null","13","null","83","57","null","null","88","54","null","null","70","null","54","null","93","68","null","null","34","38","null","null","118","null","73","null","235","114","null","null","123","91","null","null","118","83","null","null","116","79","null","null","178","null","98","null","183","98","null","null","120","null","73","null","375","null","144","null","361","null","161","null","725","192","null","null","261","null","129","null","93","null","65","null","100","89","null","null","384","null","142","null",
"0500000US06017","El Dorado County, California","16041","null","749","null","15217","746","null","null","24","28","null","null","25","null","31","null","34","27","null","null","118","67","null","null","136","null","89","null","145","89","null","null","86","55","null","null","160","null","113","null","157","109","null","null","164","93","null","null","281","129","null","null","531","214","null","null","607","null","211","null","598","211","null","null","610","null","254","null","1585","null","347","null","1301","null","265","null","3527","438","null","null","1721","null","301","null","2622","null","346","null","785","233","null","null","824","null","189","null",
