"GEO_ID","NAME","B25063_001E","B25063_001EA","B25063_001M","B25063_001MA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010M","B25063_010MA","B25063_010EA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012EA","B25063_012M","B25063_012MA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021M","B25063_021MA","B25063_021EA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023EA","B25063_023M","B25063_023MA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!With cash rent","Annotation of Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Annotation of Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Estimate!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Estimate!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Annotation of Margin of Error!!Total!!With cash rent!!$150 to $199","Annotation of Estimate!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Annotation of Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Annotation of Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Annotation of Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Annotation of Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Annotation of Margin of Error!!Total!!With cash rent!!$350 to $399","Annotation of Estimate!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Annotation of Margin of Error!!Total!!With cash rent!!$400 to $449","Annotation of Estimate!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Annotation of Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Annotation of Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Annotation of Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Annotation of Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Estimate!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Estimate!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Annotation of Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Annotation of Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Annotation of Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Annotation of Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Annotation of Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Annotation of Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Annotation of Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Estimate!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Estimate!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 or more","Annotation of Estimate!!Total!!With cash rent!!$2,000 or more","Margin of Error!!Total!!With cash rent!!$2,000 or more","Annotation of Margin of Error!!Total!!With cash rent!!$2,000 or more","Estimate!!Total!!No cash rent","Annotation of Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent","Annotation of Margin of Error!!Total!!No cash rent",
"0500000US06001","Alameda County, California","243713","null","2249","null","236679","null","2290","null","565","176","null","null","683","208","null","null","924","260","null","null","3605","null","423","null","3843","null","450","null","1758","null","298","null","1503","253","null","null","2228","317","null","null","2225","null","339","null","1951","null","317","null","2498","null","418","null","2733","335","null","null","3439","431","null","null","4552","null","502","null","5713","null","549","null","15409","null","954","null","19846","null","926","null","49134","1572","null","null","41221","1535","null","null","46046","null","1347","null","26803","null","1327","null","7034","null","615","null",
"0500000US06003","Alpine County, California","70","null","43","null","52","null","31","null","0","95","null","null","0","95","null","null","0","95","null","null","0","null","95","null","2","null","4","null","2","null","3","null","0","95","null","null","0","95","null","null","0","null","95","null","0","null","95","null","2","null","3","null","3","5","null","null","3","5","null","null","1","null","3","null","14","null","15","null","8","null","15","null","0","null","95","null","10","12","null","null","0","95","null","null","4","null","4","null","3","null","5","null","18","null","22","null",
"0500000US06005","Amador County, California","3070","null","328","null","2918","null","324","null","51","64","null","null","0","95","null","null","4","11","null","null","30","null","30","null","16","null","19","null","25","null","19","null","108","77","null","null","34","36","null","null","38","null","59","null","35","null","43","null","28","null","21","null","62","54","null","null","124","89","null","null","74","null","58","null","266","null","124","null","269","null","138","null","259","null","127","null","816","253","null","null","285","124","null","null","379","null","128","null","15","null","20","null","152","null","80","null",
"0500000US06007","Butte County, California","33813","null","1027","null","31942","null","991","null","18","28","null","null","120","74","null","null","82","61","null","null","247","null","132","null","422","null","146","null","618","null","233","null","280","83","null","null","804","215","null","null","550","null","146","null","1127","null","239","null","1376","null","284","null","1773","297","null","null","1886","326","null","null","1766","null","271","null","1895","null","327","null","3834","null","481","null","3596","null","473","null","4888","512","null","null","2995","392","null","null","2893","null","441","null","772","null","198","null","1871","null","300","null",
"0500000US06009","Calaveras County, California","4026","null","488","null","3675","null","446","null","0","95","null","null","0","95","null","null","13","20","null","null","15","null","22","null","61","null","50","null","0","null","95","null","30","50","null","null","0","95","null","null","189","null","109","null","62","null","68","null","135","null","97","null","63","60","null","null","151","84","null","null","88","null","86","null","232","null","144","null","303","null","140","null","394","null","173","null","810","256","null","null","619","205","null","null","396","null","190","null","114","null","88","null","351","null","130","null",
"0500000US06011","Colusa County, California","2553","null","221","null","2359","null","228","null","0","95","null","null","13","23","null","null","23","28","null","null","59","null","57","null","97","null","67","null","25","null","25","null","55","34","null","null","13","20","null","null","105","null","79","null","136","null","68","null","70","null","48","null","48","34","null","null","200","99","null","null","148","null","77","null","42","null","38","null","172","null","75","null","236","null","95","null","442","116","null","null","308","118","null","null","119","null","61","null","48","null","27","null","194","null","84","null",
"0500000US06013","Contra Costa County, California","117762","null","1939","null","114371","null","1837","null","181","122","null","null","293","150","null","null","459","149","null","null","966","null","208","null","1780","null","344","null","803","null","160","null","1040","252","null","null","958","225","null","null","637","null","210","null","1049","null","290","null","1315","null","274","null","1027","256","null","null","1208","314","null","null","1318","null","252","null","1742","null","343","null","5578","null","553","null","8710","null","699","null","23612","1145","null","null","19196","961","null","null","24384","null","1169","null","18115","null","1015","null","3391","null","438","null",
"0500000US06015","Del Norte County, California","3784","null","374","null","3502","null","363","null","9","16","null","null","19","22","null","null","47","37","null","null","21","null","24","null","97","null","70","null","35","null","38","null","136","79","null","null","92","59","null","null","187","null","109","null","220","null","146","null","67","null","54","null","43","30","null","null","164","82","null","null","215","null","109","null","164","null","105","null","339","null","141","null","294","null","152","null","716","191","null","null","397","165","null","null","107","null","72","null","133","null","107","null","282","null","90","null",
"0500000US06017","El Dorado County, California","17008","null","890","null","15946","null","862","null","21","25","null","null","23","27","null","null","57","40","null","null","107","null","71","null","138","null","99","null","131","null","77","null","96","62","null","null","163","83","null","null","299","null","155","null","101","null","64","null","247","null","132","null","537","203","null","null","725","220","null","null","554","null","187","null","604","null","193","null","1516","null","301","null","1279","null","262","null","3501","411","null","null","1842","349","null","null","2633","null","396","null","1372","null","228","null","1062","null","264","null",
