"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020EA","B25063_020M","B25063_020MA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With cash rent","Annotation of Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Annotation of Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Annotation of Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Annotation of Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Annotation of Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Annotation of Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Annotation of Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Estimate!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Annotation of Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Annotation of Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Annotation of Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Annotation of Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Annotation of Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Annotation of Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Annotation of Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Estimate!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Annotation of Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Annotation of Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Annotation of Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Annotation of Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Annotation of Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Annotation of Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Annotation of Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Annotation of Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Estimate!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Annotation of Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Annotation of Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 or more","Margin of Error!!Total!!With cash rent!!$2,000 or more","Annotation of Margin of Error!!Total!!With cash rent!!$2,000 or more","Annotation of Estimate!!Total!!With cash rent!!$2,000 or more","Estimate!!Total!!No cash rent","Annotation of Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent","Annotation of Margin of Error!!Total!!No cash rent",
"0500000US06001","Alameda County, California","249421","2331","null","null","242601","null","2320","null","540","null","169","null","702","null","171","null","926","null","213","null","3536","null","432","null","3656","382","null","null","1965","null","284","null","1701","null","261","null","2414","null","310","null","2388","null","298","null","1881","308","null","null","2498","null","380","null","2582","null","368","null","3426","null","403","null","4294","null","390","null","5222","null","510","null","14484","924","null","null","17595","null","994","null","48805","null","1406","null","43996","null","1332","null","49696","null","1396","null","30294","1153","null","null","6820","null","573","null",
"0500000US06003","Alpine County, California","74","44","null","null","64","null","39","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","5","7","null","null","4","null","6","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","0","null","13","null","5","null","5","null","3","null","5","null","14","null","21","null","11","null","10","null","0","13","null","null","0","null","13","null","8","null","11","null","1","null","2","null","10","null","9","null","3","7","null","null","10","null","14","null",
"0500000US06005","Amador County, California","3447","432","null","null","3245","null","413","null","41","null","52","null","0","null","27","null","5","null","12","null","42","null","28","null","20","20","null","null","43","null","34","null","77","null","64","null","27","null","42","null","92","null","85","null","44","48","null","null","53","null","44","null","62","null","44","null","142","null","92","null","57","null","44","null","210","null","120","null","328","129","null","null","254","null","96","null","810","null","219","null","609","null","196","null","276","null","110","null","53","42","null","null","202","null","96","null",
"0500000US06007","Butte County, California","33840","1009","null","null","31921","null","973","null","21","null","35","null","121","null","73","null","77","null","55","null","197","null","112","null","393","136","null","null","553","null","191","null","279","null","94","null","706","null","182","null","445","null","123","null","1164","201","null","null","1271","null","265","null","1789","null","319","null","2228","null","318","null","1482","null","285","null","1990","null","356","null","3812","448","null","null","3774","null","498","null","5137","null","430","null","2914","null","332","null","2734","null","384","null","834","201","null","null","1919","null","316","null",
"0500000US06009","Calaveras County, California","3892","550","null","null","3588","null","520","null","11","null","19","null","0","null","27","null","0","null","27","null","45","null","34","null","60","44","null","null","16","null","24","null","41","null","56","null","18","null","29","null","124","null","95","null","86","53","null","null","119","null","93","null","98","null","72","null","185","null","80","null","104","null","97","null","154","null","128","null","385","157","null","null","213","null","102","null","786","null","254","null","694","null","205","null","325","null","132","null","124","89","null","null","304","null","144","null",
"0500000US06011","Colusa County, California","2494","259","null","null","2252","null","249","null","0","null","24","null","33","null","35","null","32","null","38","null","57","null","50","null","48","46","null","null","45","null","42","null","56","null","36","null","0","null","24","null","16","null","16","null","124","57","null","null","87","null","50","null","69","null","35","null","117","null","68","null","224","null","90","null","61","null","49","null","149","61","null","null","203","null","97","null","418","null","118","null","334","null","139","null","133","null","75","null","46","34","null","null","242","null","91","null",
"0500000US06013","Contra Costa County, California","123585","1784","null","null","119834","null","1811","null","168","null","111","null","249","null","112","null","497","null","142","null","1071","null","201","null","1624","338","null","null","1007","null","234","null","841","null","213","null","1109","null","256","null","670","null","221","null","720","213","null","null","1277","null","285","null","1208","null","259","null","1156","null","242","null","1172","null","287","null","1850","null","327","null","5604","529","null","null","8327","null","660","null","24112","null","1184","null","20139","null","1152","null","26181","null","1163","null","20852","917","null","null","3751","null","421","null",
"0500000US06015","Del Norte County, California","3675","317","null","null","3447","null","304","null","7","null","12","null","16","null","22","null","35","null","37","null","93","null","70","null","112","69","null","null","35","null","34","null","110","null","73","null","38","null","42","null","211","null","101","null","167","111","null","null","113","null","51","null","39","null","25","null","187","null","88","null","160","null","71","null","197","null","97","null","313","151","null","null","261","null","109","null","617","null","208","null","396","null","143","null","194","null","112","null","146","121","null","null","228","null","88","null",
"0500000US06017","El Dorado County, California","16893","872","null","null","15699","null","824","null","23","null","28","null","29","null","35","null","35","null","38","null","42","null","37","null","176","113","null","null","97","null","59","null","80","null","56","null","137","null","72","null","273","null","141","null","95","57","null","null","108","null","66","null","498","null","211","null","634","null","192","null","712","null","215","null","501","null","166","null","1546","287","null","null","1449","null","285","null","3252","null","343","null","1933","null","325","null","2489","null","302","null","1590","315","null","null","1194","null","260","null",
