"GEO_ID","NAME","B25063_001E","B25063_001EA","B25063_001M","B25063_001MA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010M","B25063_010MA","B25063_010EA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012EA","B25063_012M","B25063_012MA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016M","B25063_016MA","B25063_016EA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021M","B25063_021MA","B25063_021EA","B25063_022E","B25063_022M","B25063_022MA","B25063_022EA","B25063_023E","B25063_023EA","B25063_023M","B25063_023MA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!With cash rent","Annotation of Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Annotation of Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Estimate!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Estimate!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Annotation of Margin of Error!!Total!!With cash rent!!$150 to $199","Annotation of Estimate!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Estimate!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Annotation of Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Annotation of Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Annotation of Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Annotation of Margin of Error!!Total!!With cash rent!!$350 to $399","Annotation of Estimate!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Annotation of Margin of Error!!Total!!With cash rent!!$400 to $449","Annotation of Estimate!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Estimate!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Annotation of Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Margin of Error!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Annotation of Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Annotation of Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Estimate!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Estimate!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Annotation of Margin of Error!!Total!!With cash rent!!$700 to $749","Annotation of Estimate!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Annotation of Margin of Error!!Total!!With cash rent!!$750 to $799","Annotation of Estimate!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Annotation of Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Annotation of Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Annotation of Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Estimate!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Estimate!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Estimate!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 or more","Annotation of Estimate!!Total!!With cash rent!!$2,000 or more","Margin of Error!!Total!!With cash rent!!$2,000 or more","Annotation of Margin of Error!!Total!!With cash rent!!$2,000 or more","Estimate!!Total!!No cash rent","Annotation of Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent","Annotation of Margin of Error!!Total!!No cash rent",
"0500000US06001","Alameda County, California","255111","null","2318","null","248241","null","2245","null","566","159","null","null","729","183","null","null","828","173","null","null","3465","441","null","null","4117","null","512","null","2014","null","306","null","1770","278","null","null","2596","287","null","null","2367","344","null","null","2160","null","344","null","2295","null","383","null","2482","357","null","null","3374","438","null","null","4176","384","null","null","5174","537","null","null","13451","null","772","null","17381","null","948","null","48217","1584","null","null","44603","1369","null","null","52428","1338","null","null","34048","null","1357","null","6870","null","641","null",
"0500000US06003","Alpine County, California","73","null","35","null","70","null","33","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","3","null","5","null","1","null","3","null","0","12","null","null","0","12","null","null","0","12","null","null","2","null","3","null","0","null","12","null","4","5","null","null","0","12","null","null","12","16","null","null","6","6","null","null","0","null","12","null","6","null","8","null","14","14","null","null","1","2","null","null","9","8","null","null","12","null","10","null","3","null","4","null",
"0500000US06005","Amador County, California","3403","null","378","null","3191","null","373","null","37","47","null","null","0","26","null","null","4","13","null","null","43","30","null","null","50","null","39","null","31","null","29","null","49","58","null","null","60","63","null","null","101","90","null","null","46","null","50","null","83","null","54","null","29","30","null","null","113","57","null","null","52","46","null","null","134","89","null","null","349","null","120","null","396","null","120","null","758","224","null","null","433","141","null","null","367","155","null","null","56","null","53","null","212","null","101","null",
"0500000US06007","Butte County, California","33811","null","1066","null","31919","null","978","null","0","29","null","null","107","68","null","null","114","62","null","null","183","87","null","null","366","null","112","null","376","null","126","null","213","69","null","null","435","143","null","null","427","112","null","null","920","null","214","null","1294","null","194","null","1760","277","null","null","2049","298","null","null","2130","307","null","null","2023","357","null","null","3938","null","437","null","3755","null","461","null","4901","526","null","null","3188","484","null","null","2847","382","null","null","893","null","222","null","1892","null","347","null",
"0500000US06009","Calaveras County, California","4036","null","409","null","3637","null","381","null","14","22","null","null","0","26","null","null","0","26","null","null","23","31","null","null","65","null","50","null","13","null","20","null","13","15","null","null","48","57","null","null","59","51","null","null","111","null","74","null","144","null","95","null","139","86","null","null","154","86","null","null","105","78","null","null","150","107","null","null","362","null","164","null","243","null","106","null","722","213","null","null","669","196","null","null","394","172","null","null","209","null","95","null","399","null","180","null",
"0500000US06011","Colusa County, California","2518","null","230","null","2289","null","232","null","0","23","null","null","35","34","null","null","17","25","null","null","67","60","null","null","51","null","49","null","48","null","43","null","40","31","null","null","20","23","null","null","18","19","null","null","85","null","55","null","59","null","39","null","79","40","null","null","140","72","null","null","184","84","null","null","89","50","null","null","163","null","75","null","211","null","85","null","458","132","null","null","219","103","null","null","230","80","null","null","76","null","59","null","229","null","101","null",
"0500000US06013","Contra Costa County, California","128012","null","2152","null","124388","null","2121","null","150","73","null","null","207","118","null","null","411","165","null","null","1212","215","null","null","1502","null","293","null","1122","null","258","null","920","198","null","null","1060","231","null","null","796","207","null","null","710","null","211","null","1136","null","241","null","1274","252","null","null","1103","235","null","null","1254","249","null","null","1997","363","null","null","5115","null","554","null","8874","null","694","null","23806","1169","null","null","20805","1048","null","null","27759","1143","null","null","23175","null","1169","null","3624","null","419","null",
"0500000US06015","Del Norte County, California","3819","null","339","null","3623","null","329","null","4","9","null","null","20","22","null","null","52","65","null","null","84","73","null","null","73","null","41","null","41","null","37","null","76","49","null","null","72","62","null","null","156","77","null","null","174","null","114","null","60","null","36","null","88","40","null","null","152","90","null","null","311","125","null","null","219","80","null","null","172","null","78","null","411","null","188","null","685","190","null","null","453","154","null","null","192","95","null","null","128","null","85","null","196","null","77","null",
"0500000US06017","El Dorado County, California","17088","null","845","null","15737","null","797","null","28","27","null","null","26","30","null","null","9","14","null","null","122","93","null","null","140","null","92","null","42","null","35","null","100","73","null","null","158","88","null","null","227","133","null","null","99","null","62","null","214","null","104","null","402","211","null","null","749","195","null","null","581","182","null","null","552","179","null","null","1474","null","305","null","1880","null","355","null","2955","406","null","null","1886","336","null","null","2409","338","null","null","1684","null","285","null","1351","null","290","null",
"0500000US06019","Fresno County, California","133953","null","1604","null","127818","null","1728","null","485","134","null","null","633","192","null","null","784","217","null","null","1404","244","null","null","1959","null","323","null","1594","null","266","null","1853","283","null","null","2406","322","null","null","2478","375","null","null","4016","null","444","null","4659","null","508","null","6407","565","null","null","6872","540","null","null","8414","692","null","null","8096","669","null","null","15845","null","898","null","12953","null","893","null","21112","1096","null","null","13257","886","null","null","9486","754","null","null","3105","null","345","null","6135","null","535","null",
"0500000US06021","Glenn County, California","3554","null","292","null","3229","null","269","null","14","23","null","null","1","2","null","null","12","16","null","null","98","60","null","null","88","null","65","null","123","null","81","null","141","100","null","null","143","69","null","null","192","113","null","null","139","null","78","null","126","null","69","null","236","109","null","null","183","101","null","null","295","132","null","null","132","84","null","null","295","null","103","null","249","null","127","null","453","157","null","null","161","120","null","null","58","44","null","null","90","null","71","null","325","null","106","null",
"0500000US06023","Humboldt County, California","23519","null","788","null","22036","null","778","null","19","20","null","null","23","27","null","null","34","25","null","null","137","59","null","null","365","null","119","null","276","null","115","null","257","98","null","null","458","145","null","null","350","122","null","null","744","null","222","null","808","null","208","null","1267","210","null","null","1696","303","null","null","1182","228","null","null","1244","274","null","null","2429","null","401","null","2205","null","321","null","3519","428","null","null","2349","388","null","null","1985","320","null","null","689","null","183","null","1483","null","255","null",
"0500000US06025","Imperial County, California","20992","null","732","null","19663","null","730","null","0","29","null","null","83","53","null","null","258","128","null","null","450","158","null","null","565","null","196","null","570","null","192","null","496","150","null","null","601","192","null","null","836","210","null","null","1054","null","218","null","911","null","232","null","1436","253","null","null","1198","235","null","null","1548","316","null","null","1079","240","null","null","1884","null","312","null","1580","null","288","null","2738","388","null","null","1297","259","null","null","955","213","null","null","124","null","82","null","1329","null","225","null",
"0500000US06027","Inyo County, California","2826","null","247","null","2323","null","234","null","16","20","null","null","0","19","null","null","0","19","null","null","6","9","null","null","39","null","37","null","58","null","71","null","43","35","null","null","31","27","null","null","72","51","null","null","91","null","70","null","109","null","62","null","76","74","null","null","159","75","null","null","152","96","null","null","216","70","null","null","322","null","119","null","174","null","79","null","416","110","null","null","148","73","null","null","153","68","null","null","42","null","36","null","503","null","116","null",
