"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021M","B25063_021MA","B25063_021EA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With cash rent","Annotation of Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Annotation of Margin of Error!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Annotation of Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Estimate!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Annotation of Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Annotation of Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Annotation of Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Annotation of Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Margin of Error!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Annotation of Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Annotation of Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Annotation of Margin of Error!!Total!!With cash rent!!$350 to $399","Annotation of Estimate!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Annotation of Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Annotation of Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Annotation of Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Estimate!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Annotation of Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Annotation of Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Annotation of Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Estimate!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Annotation of Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Annotation of Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Annotation of Margin of Error!!Total!!With cash rent!!$750 to $799","Annotation of Estimate!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Estimate!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Annotation of Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Annotation of Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Estimate!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Estimate!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 or more","Margin of Error!!Total!!With cash rent!!$2,000 or more","Annotation of Margin of Error!!Total!!With cash rent!!$2,000 or more","Annotation of Estimate!!Total!!With cash rent!!$2,000 or more","Estimate!!Total!!No cash rent","Annotation of Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent","Annotation of Margin of Error!!Total!!No cash rent",
"0500000US06001","Alameda County, California","260089","2102","null","null","252717","null","2020","null","626","null","145","null","711","195","null","null","966","null","211","null","2807","null","431","null","4606","null","445","null","2108","null","368","null","1759","286","null","null","2488","null","345","null","2275","null","326","null","2022","270","null","null","2154","null","332","null","2513","null","336","null","2972","418","null","null","3778","null","489","null","4751","483","null","null","13050","761","null","null","16604","null","950","null","46808","1596","null","null","44744","1497","null","null","55824","null","1367","null","39151","1391","null","null","7372","null","567","null",
"0500000US06003","Alpine County, California","69","29","null","null","60","null","27","null","0","null","12","null","0","12","null","null","0","null","12","null","0","null","12","null","2","null","3","null","1","null","2","null","0","12","null","null","0","null","12","null","0","null","12","null","3","5","null","null","1","null","3","null","8","null","9","null","1","2","null","null","11","null","16","null","6","7","null","null","0","12","null","null","4","null","5","null","7","9","null","null","1","2","null","null","6","null","9","null","9","9","null","null","9","null","10","null",
"0500000US06005","Amador County, California","3393","309","null","null","3182","null","287","null","20","null","29","null","0","26","null","null","0","null","26","null","18","null","14","null","46","null","40","null","62","null","43","null","50","58","null","null","54","null","64","null","85","null","83","null","10","20","null","null","98","null","60","null","23","null","30","null","113","57","null","null","62","null","39","null","86","68","null","null","314","129","null","null","462","null","154","null","752","211","null","null","557","198","null","null","238","null","109","null","132","70","null","null","211","null","89","null",
"0500000US06007","Butte County, California","34622","913","null","null","32651","null","937","null","0","null","29","null","125","70","null","null","83","null","62","null","250","null","107","null","314","null","94","null","449","null","146","null","204","75","null","null","419","null","146","null","471","null","161","null","833","196","null","null","1325","null","245","null","1706","null","307","null","1973","300","null","null","2148","null","337","null","2021","325","null","null","4041","469","null","null","3703","null","479","null","5481","509","null","null","3540","383","null","null","2719","null","377","null","846","219","null","null","1971","null","318","null",
"0500000US06009","Calaveras County, California","3916","429","null","null","3485","null","432","null","15","null","25","null","18","28","null","null","7","null","13","null","21","null","26","null","40","null","39","null","14","null","23","null","26","25","null","null","13","null","21","null","76","null","57","null","60","40","null","null","121","null","87","null","162","null","78","null","158","108","null","null","108","null","80","null","170","111","null","null","336","142","null","null","266","null","128","null","457","172","null","null","741","186","null","null","433","null","164","null","243","112","null","null","431","null","159","null",
"0500000US06011","Colusa County, California","2519","248","null","null","2314","null","241","null","0","null","23","null","31","36","null","null","13","null","21","null","34","null","40","null","76","null","82","null","79","null","63","null","29","29","null","null","35","null","33","null","13","null","16","null","65","56","null","null","107","null","68","null","101","null","48","null","154","81","null","null","139","null","67","null","179","101","null","null","160","76","null","null","249","null","93","null","417","125","null","null","135","80","null","null","230","null","91","null","68","47","null","null","205","null","81","null",
"0500000US06013","Contra Costa County, California","133030","2129","null","null","129104","null","2109","null","264","null","106","null","221","100","null","null","327","null","108","null","1151","null","250","null","1675","null","324","null","1077","null","310","null","794","172","null","null","1163","null","273","null","673","null","193","null","666","207","null","null","971","null","247","null","1220","null","296","null","1279","258","null","null","1216","null","280","null","1772","273","null","null","4822","550","null","null","8450","null","786","null","23951","1028","null","null","22107","1120","null","null","30240","null","1552","null","25065","1094","null","null","3926","null","478","null",
"0500000US06015","Del Norte County, California","3849","362","null","null","3561","null","353","null","7","null","13","null","9","14","null","null","43","null","64","null","87","null","56","null","59","null","41","null","15","null","23","null","49","40","null","null","92","null","66","null","165","null","99","null","220","118","null","null","93","null","59","null","67","null","37","null","133","61","null","null","385","null","154","null","168","78","null","null","436","155","null","null","332","null","142","null","572","196","null","null","308","132","null","null","206","null","91","null","115","81","null","null","288","null","118","null",
"0500000US06017","El Dorado County, California","17387","836","null","null","15938","null","770","null","15","null","23","null","26","30","null","null","20","null","23","null","97","null","70","null","158","null","91","null","32","null","42","null","105","77","null","null","155","null","91","null","228","null","128","null","141","93","null","null","287","null","129","null","291","null","165","null","660","203","null","null","765","null","206","null","564","170","null","null","1708","310","null","null","1863","null","324","null","2914","414","null","null","1768","296","null","null","2233","null","309","null","1908","267","null","null","1449","null","310","null",
