"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008M","B25063_008MA","B25063_008EA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA","B25063_025E","B25063_025EA","B25063_025M","B25063_025MA","B25063_026E","B25063_026EA","B25063_026M","B25063_026MA","B25063_027E","B25063_027EA","B25063_027M","B25063_027MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Annotation of Margin of Error!!Total!!With cash rent","Annotation of Estimate!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Annotation of Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Estimate!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Annotation of Margin of Error!!Total!!With cash rent!!$150 to $199","Annotation of Estimate!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Annotation of Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Margin of Error!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Estimate!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Annotation of Margin of Error!!Total!!With cash rent!!$300 to $349","Annotation of Estimate!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Annotation of Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Annotation of Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Annotation of Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Annotation of Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Annotation of Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Margin of Error!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Estimate!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Annotation of Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Annotation of Margin of Error!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Annotation of Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Annotation of Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Annotation of Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Annotation of Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Annotation of Margin of Error!!Total!!With cash rent!!$750 to $799","Annotation of Estimate!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Annotation of Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Margin of Error!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Annotation of Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Annotation of Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Estimate!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Annotation of Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Annotation of Estimate!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Annotation of Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Annotation of Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Annotation of Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Annotation of Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Annotation of Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more","Annotation of Margin of Error!!Total!!With cash rent!!$3,500 or more","Estimate!!Total!!No cash rent","Annotation of Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent","Annotation of Margin of Error!!Total!!No cash rent",
"0500000US06001","Alameda County, California","264263","2490","null","null","257027","2423","null","null","540","null","137","null","619","162","null","null","899","189","null","null","2537","null","394","null","4460","524","null","null","1901","278","null","null","1712","null","251","null","2555","null","363","null","2120","null","329","null","2071","280","null","null","2433","null","322","null","2381","null","280","null","3384","null","326","null","3664","null","422","null","4428","502","null","null","12684","null","856","null","14852","null","792","null","44848","1375","null","null","43725","null","1227","null","59764","null","1768","null","28710","1240","null","null","10230","null","573","null","4081","null","407","null","2429","null","365","null","7236","null","482","null",
"0500000US06003","Alpine County, California","76","33","null","null","63","28","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","1","2","null","null","0","null","12","null","0","null","12","null","0","null","12","null","2","3","null","null","1","null","2","null","8","null","7","null","2","null","4","null","10","null","14","null","7","7","null","null","0","null","12","null","4","null","6","null","8","8","null","null","1","null","3","null","9","null","7","null","0","12","null","null","10","null","10","null","0","null","12","null","0","null","12","null","13","null","11","null",
"0500000US06005","Amador County, California","3348","382","null","null","3046","350","null","null","24","null","33","null","0","25","null","null","0","25","null","null","11","null","18","null","59","51","null","null","77","61","null","null","41","null","63","null","0","null","25","null","46","null","69","null","13","17","null","null","66","null","50","null","25","null","26","null","117","null","65","null","65","null","41","null","71","59","null","null","258","null","85","null","500","null","160","null","797","193","null","null","491","null","151","null","259","null","124","null","126","75","null","null","0","null","25","null","0","null","25","null","0","null","25","null","302","null","137","null",
"0500000US06007","Butte County, California","35287","1079","null","null","33463","1027","null","null","0","null","28","null","111","92","null","null","151","75","null","null","252","null","92","null","356","106","null","null","400","122","null","null","286","null","92","null","268","null","105","null","561","null","155","null","940","256","null","null","1285","null","250","null","1643","null","278","null","1967","null","314","null","2247","null","366","null","1966","373","null","null","4103","null","472","null","3783","null","484","null","5939","489","null","null","3635","null","429","null","2783","null","440","null","541","161","null","null","97","null","58","null","112","null","93","null","37","null","35","null","1824","null","316","null",
"0500000US06009","Calaveras County, California","3794","449","null","null","3390","419","null","null","16","null","27","null","19","30","null","null","7","12","null","null","23","null","26","null","72","49","null","null","14","21","null","null","25","null","26","null","13","null","20","null","67","null","52","null","67","48","null","null","120","null","77","null","149","null","88","null","141","null","95","null","98","null","66","null","146","85","null","null","374","null","173","null","273","null","117","null","465","145","null","null","701","null","199","null","400","null","162","null","110","84","null","null","59","null","56","null","0","null","25","null","31","null","28","null","404","null","146","null",
"0500000US06011","Colusa County, California","2635","240","null","null","2397","237","null","null","0","null","22","null","40","44","null","null","14","22","null","null","39","null","45","null","79","74","null","null","44","41","null","null","8","null","12","null","63","null","39","null","17","null","21","null","58","46","null","null","102","null","60","null","120","null","63","null","137","null","60","null","148","null","71","null","174","90","null","null","224","null","76","null","252","null","84","null","489","130","null","null","186","null","96","null","142","null","71","null","61","46","null","null","0","null","22","null","0","null","22","null","0","null","22","null","238","null","91","null",
"0500000US06013","Contra Costa County, California","135978","2113","null","null","131936","2138","null","null","281","null","118","null","294","139","null","null","337","117","null","null","1292","null","281","null","1626","343","null","null","1484","351","null","null","735","null","173","null","1215","null","275","null","733","null","179","null","723","203","null","null","824","null","206","null","1178","null","292","null","1164","null","224","null","1174","null","250","null","1932","321","null","null","4988","null","571","null","8025","null","617","null","22773","1106","null","null","21549","null","1150","null","32588","null","1551","null","16057","939","null","null","6383","null","609","null","2778","null","392","null","1803","null","299","null","4042","null","432","null",
"0500000US06015","Del Norte County, California","3716","372","null","null","3495","372","null","null","0","null","22","null","10","16","null","null","12","22","null","null","102","null","68","null","66","55","null","null","20","27","null","null","71","null","53","null","117","null","78","null","188","null","105","null","173","92","null","null","92","null","76","null","122","null","70","null","144","null","78","null","474","null","154","null","120","58","null","null","432","null","153","null","259","null","103","null","542","151","null","null","272","null","111","null","173","null","89","null","22","27","null","null","84","null","71","null","0","null","22","null","0","null","22","null","221","null","95","null",
"0500000US06017","El Dorado County, California","17225","890","null","null","15777","859","null","null","0","null","28","null","39","35","null","null","25","24","null","null","111","null","75","null","133","85","null","null","41","40","null","null","108","null","84","null","170","null","85","null","199","null","127","null","202","106","null","null","300","null","133","null","301","null","141","null","556","null","168","null","783","null","200","null","703","209","null","null","1786","null","318","null","1856","null","314","null","2689","359","null","null","1778","null","323","null","2080","null","296","null","1284","265","null","null","365","null","169","null","163","null","81","null","105","null","99","null","1448","null","273","null",
