"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020EA","B25063_020M","B25063_020MA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022M","B25063_022MA","B25063_022EA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024M","B25063_024MA","B25063_024EA","B25063_025E","B25063_025EA","B25063_025M","B25063_025MA","B25063_026E","B25063_026M","B25063_026MA","B25063_026EA","B25063_027E","B25063_027M","B25063_027MA","B25063_027EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Annotation of Margin of Error!!Total!!With cash rent","Annotation of Estimate!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Annotation of Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Margin of Error!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Estimate!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Annotation of Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Annotation of Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Estimate!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Estimate!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Annotation of Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Annotation of Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Annotation of Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Annotation of Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Annotation of Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Annotation of Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Estimate!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Estimate!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Annotation of Margin of Error!!Total!!With cash rent!!$550 to $599","Annotation of Estimate!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Annotation of Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Margin of Error!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Annotation of Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Margin of Error!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Annotation of Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Annotation of Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Annotation of Margin of Error!!Total!!With cash rent!!$750 to $799","Annotation of Estimate!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Estimate!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Annotation of Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Annotation of Margin of Error!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Estimate!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Annotation of Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Annotation of Estimate!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Annotation of Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Annotation of Estimate!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Annotation of Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Annotation of Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more","Annotation of Margin of Error!!Total!!With cash rent!!$3,500 or more","Annotation of Estimate!!Total!!With cash rent!!$3,500 or more","Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent","Annotation of Margin of Error!!Total!!No cash rent","Annotation of Estimate!!Total!!No cash rent",
"0500000US06001","Alameda County, California","267659","2411","null","null","260783","2418","null","null","613","null","143","null","504","158","null","null","987","null","206","null","2119","321","null","null","4427","404","null","null","1812","null","300","null","1898","null","265","null","2233","null","294","null","2084","304","null","null","1934","332","null","null","2624","437","null","null","2206","null","318","null","2967","null","329","null","3412","null","379","null","3981","463","null","null","11433","638","null","null","13300","null","758","null","41146","null","1440","null","42292","null","1527","null","62532","1647","null","null","32977","1030","null","null","13541","751","null","null","6207","null","516","null","3554","379","null","null","6876","548","null","null",
"0500000US06003","Alpine County, California","63","27","null","null","55","24","null","null","0","null","12","null","0","12","null","null","1","null","2","null","0","12","null","null","0","12","null","null","2","null","3","null","1","null","2","null","1","null","2","null","1","2","null","null","2","3","null","null","1","1","null","null","4","null","5","null","1","null","3","null","8","null","12","null","0","12","null","null","0","12","null","null","2","null","5","null","8","null","9","null","7","null","7","null","7","8","null","null","0","12","null","null","4","7","null","null","5","null","8","null","0","12","null","null","8","8","null","null",
"0500000US06005","Amador County, California","3470","383","null","null","3198","371","null","null","0","null","25","null","9","19","null","null","0","null","25","null","23","25","null","null","34","31","null","null","89","null","57","null","13","null","22","null","4","null","7","null","70","84","null","null","21","28","null","null","44","43","null","null","81","null","57","null","131","null","70","null","76","null","62","null","79","72","null","null","282","108","null","null","434","null","126","null","853","null","222","null","469","null","140","null","393","133","null","null","82","65","null","null","11","17","null","null","0","null","25","null","0","25","null","null","272","102","null","null",
"0500000US06007","Butte County, California","35454","941","null","null","33875","920","null","null","0","null","28","null","78","62","null","null","156","null","88","null","271","114","null","null","322","107","null","null","261","null","84","null","281","null","116","null","281","null","98","null","527","166","null","null","854","216","null","null","1282","242","null","null","1480","null","279","null","1847","null","257","null","2051","null","321","null","1660","275","null","null","4234","499","null","null","3709","null","456","null","6350","null","450","null","3929","null","504","null","3248","401","null","null","631","160","null","null","172","129","null","null","192","null","117","null","59","74","null","null","1579","325","null","null",
"0500000US06009","Calaveras County, California","4070","471","null","null","3681","437","null","null","13","null","21","null","12","19","null","null","8","null","14","null","24","21","null","null","51","49","null","null","24","null","27","null","22","null","26","null","30","null","32","null","77","65","null","null","54","43","null","null","114","62","null","null","135","null","74","null","104","null","68","null","81","null","60","null","168","111","null","null","377","166","null","null","349","null","153","null","410","null","147","null","776","null","190","null","576","200","null","null","146","86","null","null","98","76","null","null","0","null","25","null","32","31","null","null","389","149","null","null",
"0500000US06011","Colusa County, California","2473","242","null","null","2253","235","null","null","0","null","22","null","28","37","null","null","0","null","22","null","0","22","null","null","48","42","null","null","27","null","31","null","26","null","39","null","79","null","53","null","30","27","null","null","109","56","null","null","81","54","null","null","102","null","64","null","123","null","61","null","109","null","58","null","128","72","null","null","246","100","null","null","238","null","77","null","531","null","121","null","170","null","88","null","127","64","null","null","32","31","null","null","19","31","null","null","0","null","22","null","0","22","null","null","220","72","null","null",
"0500000US06013","Contra Costa County, California","137485","1867","null","null","133278","1869","null","null","307","null","110","null","221","116","null","null","282","null","97","null","1351","261","null","null","1194","256","null","null","1493","null","342","null","927","null","232","null","1048","null","280","null","699","155","null","null","702","163","null","null","759","208","null","null","885","null","228","null","1097","null","245","null","846","null","215","null","1741","297","null","null","4645","544","null","null","6479","null","505","null","21337","null","1112","null","20183","null","1028","null","35546","1474","null","null","18472","1083","null","null","7446","686","null","null","3233","null","403","null","2385","354","null","null","4207","472","null","null",
"0500000US06015","Del Norte County, California","3695","376","null","null","3428","364","null","null","2","null","6","null","16","21","null","null","12","null","24","null","86","64","null","null","78","48","null","null","44","null","47","null","109","null","69","null","89","null","66","null","136","79","null","null","111","65","null","null","128","71","null","null","136","null","75","null","172","null","97","null","342","null","140","null","148","87","null","null","587","188","null","null","282","null","139","null","445","null","124","null","346","null","137","null","130","79","null","null","29","35","null","null","0","22","null","null","0","null","22","null","0","22","null","null","267","87","null","null",
"0500000US06017","El Dorado County, California","16914","644","null","null","15555","639","null","null","0","null","28","null","31","32","null","null","25","null","25","null","111","73","null","null","176","100","null","null","101","null","78","null","94","null","96","null","122","null","80","null","89","58","null","null","161","105","null","null","458","197","null","null","203","null","111","null","410","null","139","null","604","null","148","null","653","200","null","null","1855","297","null","null","1541","null","308","null","2717","null","375","null","1916","null","272","null","2349","299","null","null","1338","303","null","null","323","120","null","null","138","null","63","null","140","101","null","null","1359","290","null","null",
