"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019M","B25063_019MA","B25063_019EA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024M","B25063_024MA","B25063_024EA","B25063_025E","B25063_025M","B25063_025MA","B25063_025EA","B25063_026E","B25063_026EA","B25063_026M","B25063_026MA","B25063_027E","B25063_027EA","B25063_027M","B25063_027MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Annotation of Margin of Error!!Total!!With cash rent","Annotation of Estimate!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Estimate!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Annotation of Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Annotation of Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Annotation of Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Estimate!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Estimate!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Annotation of Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Annotation of Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Annotation of Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Annotation of Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Annotation of Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Annotation of Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Estimate!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Estimate!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Annotation of Margin of Error!!Total!!With cash rent!!$550 to $599","Annotation of Estimate!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Estimate!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Estimate!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Annotation of Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Annotation of Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Annotation of Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Annotation of Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Estimate!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Annotation of Margin of Error!!Total!!With cash rent!!$900 to $999","Annotation of Estimate!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Estimate!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Annotation of Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Annotation of Estimate!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Annotation of Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Annotation of Estimate!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Annotation of Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Annotation of Estimate!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Annotation of Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more","Annotation of Margin of Error!!Total!!With cash rent!!$3,500 or more","Estimate!!Total!!No cash rent","Annotation of Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent","Annotation of Margin of Error!!Total!!No cash rent",
"0500000US06001","Alameda County, California","267403","2310","null","null","260305","2272","null","null","687","200","null","null","483","null","128","null","950","null","211","null","1679","276","null","null","4334","458","null","null","1779","null","255","null","1915","null","300","null","1829","null","322","null","1800","282","null","null","1888","312","null","null","2037","273","null","null","1936","293","null","null","2924","359","null","null","2749","null","311","null","3119","null","403","null","9109","774","null","null","11028","686","null","null","36424","1295","null","null","37300","null","1303","null","65493","null","1701","null","39085","1069","null","null","17901","866","null","null","8778","521","null","null","5078","null","396","null","7098","null","581","null",
"0500000US06003","Alpine County, California","51","25","null","null","46","25","null","null","1","2","null","null","0","null","12","null","1","null","2","null","0","12","null","null","0","12","null","null","2","null","3","null","1","null","2","null","3","null","4","null","0","12","null","null","3","5","null","null","1","2","null","null","5","7","null","null","1","2","null","null","0","null","12","null","0","null","12","null","0","12","null","null","3","7","null","null","6","7","null","null","6","null","7","null","0","null","12","null","2","3","null","null","6","7","null","null","5","8","null","null","0","null","12","null","5","null","5","null",
"0500000US06005","Amador County, California","3264","311","null","null","3023","311","null","null","0","26","null","null","14","null","24","null","0","null","26","null","9","14","null","null","37","32","null","null","69","null","50","null","25","null","30","null","10","null","13","null","29","27","null","null","29","30","null","null","0","26","null","null","82","67","null","null","61","48","null","null","90","null","69","null","109","null","74","null","262","94","null","null","503","153","null","null","821","219","null","null","428","null","135","null","356","null","147","null","72","57","null","null","17","19","null","null","0","26","null","null","0","null","26","null","241","null","85","null",
"0500000US06007","Butte County, California","35323","1000","null","null","33660","1011","null","null","0","29","null","null","77","null","61","null","113","null","77","null","264","104","null","null","291","99","null","null","303","null","104","null","241","null","86","null","393","null","132","null","480","179","null","null","658","189","null","null","853","216","null","null","1322","224","null","null","1727","323","null","null","1735","null","268","null","1691","null","277","null","4105","465","null","null","3693","416","null","null","6541","707","null","null","4039","null","490","null","3924","null","448","null","655","167","null","null","285","196","null","null","142","114","null","null","128","null","113","null","1663","null","248","null",
"0500000US06009","Calaveras County, California","3881","453","null","null","3482","440","null","null","0","26","null","null","0","null","26","null","81","null","83","null","15","24","null","null","32","32","null","null","28","null","30","null","8","null","13","null","14","null","11","null","68","62","null","null","35","33","null","null","49","38","null","null","143","87","null","null","114","78","null","null","51","null","47","null","90","null","70","null","391","187","null","null","290","133","null","null","425","147","null","null","722","null","196","null","575","null","189","null","206","117","null","null","101","89","null","null","0","26","null","null","44","null","42","null","399","null","133","null",
"0500000US06011","Colusa County, California","2526","267","null","null","2302","258","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","23","null","null","42","44","null","null","47","null","49","null","52","null","49","null","54","null","47","null","45","38","null","null","125","72","null","null","54","49","null","null","107","68","null","null","120","60","null","null","117","null","67","null","119","null","81","null","281","96","null","null","180","67","null","null","581","141","null","null","222","null","102","null","100","null","50","null","14","13","null","null","36","32","null","null","0","23","null","null","6","null","9","null","224","null","89","null",
"0500000US06013","Contra Costa County, California","134396","1837","null","null","130355","1794","null","null","273","101","null","null","236","null","113","null","257","null","125","null","1096","265","null","null","1337","262","null","null","1165","null","276","null","884","null","273","null","768","null","178","null","776","198","null","null","867","211","null","null","691","203","null","null","675","178","null","null","726","223","null","null","1017","null","235","null","1078","null","223","null","3807","415","null","null","5264","508","null","null","17953","833","null","null","19104","null","966","null","35920","null","1292","null","21610","902","null","null","8570","625","null","null","3451","470","null","null","2830","null","354","null","4041","null","447","null",
"0500000US06015","Del Norte County, California","3687","360","null","null","3394","345","null","null","5","8","null","null","15","null","23","null","22","null","34","null","37","41","null","null","97","55","null","null","29","null","34","null","103","null","58","null","90","null","71","null","113","64","null","null","152","95","null","null","76","61","null","null","93","46","null","null","186","99","null","null","268","null","125","null","288","null","125","null","469","174","null","null","331","116","null","null","490","150","null","null","370","null","117","null","138","null","83","null","22","35","null","null","0","23","null","null","0","23","null","null","0","null","23","null","293","null","112","null",
"0500000US06017","El Dorado County, California","16136","832","null","null","14869","760","null","null","0","29","null","null","15","null","24","null","54","null","55","null","49","45","null","null","239","113","null","null","128","null","92","null","84","null","71","null","118","null","74","null","98","82","null","null","257","150","null","null","284","133","null","null","349","142","null","null","319","156","null","null","552","null","180","null","711","null","223","null","1361","261","null","null","1402","293","null","null","2902","401","null","null","1508","null","250","null","2616","null","313","null","1139","272","null","null","454","145","null","null","145","75","null","null","85","null","87","null","1267","null","299","null",
