"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008M","B25063_008MA","B25063_008EA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020EA","B25063_020M","B25063_020MA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022M","B25063_022MA","B25063_022EA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA","B25063_025E","B25063_025EA","B25063_025M","B25063_025MA","B25063_026E","B25063_026EA","B25063_026M","B25063_026MA","B25063_027E","B25063_027M","B25063_027MA","B25063_027EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!With cash rent:","Annotation of Estimate!!Total:!!With cash rent:","Margin of Error!!Total:!!With cash rent:","Annotation of Margin of Error!!Total:!!With cash rent:","Estimate!!Total:!!With cash rent:!!Less than $100","Annotation of Estimate!!Total:!!With cash rent:!!Less than $100","Margin of Error!!Total:!!With cash rent:!!Less than $100","Annotation of Margin of Error!!Total:!!With cash rent:!!Less than $100","Estimate!!Total:!!With cash rent:!!$100 to $149","Margin of Error!!Total:!!With cash rent:!!$100 to $149","Annotation of Margin of Error!!Total:!!With cash rent:!!$100 to $149","Annotation of Estimate!!Total:!!With cash rent:!!$100 to $149","Estimate!!Total:!!With cash rent:!!$150 to $199","Margin of Error!!Total:!!With cash rent:!!$150 to $199","Annotation of Margin of Error!!Total:!!With cash rent:!!$150 to $199","Annotation of Estimate!!Total:!!With cash rent:!!$150 to $199","Estimate!!Total:!!With cash rent:!!$200 to $249","Margin of Error!!Total:!!With cash rent:!!$200 to $249","Annotation of Margin of Error!!Total:!!With cash rent:!!$200 to $249","Annotation of Estimate!!Total:!!With cash rent:!!$200 to $249","Estimate!!Total:!!With cash rent:!!$250 to $299","Margin of Error!!Total:!!With cash rent:!!$250 to $299","Annotation of Margin of Error!!Total:!!With cash rent:!!$250 to $299","Annotation of Estimate!!Total:!!With cash rent:!!$250 to $299","Estimate!!Total:!!With cash rent:!!$300 to $349","Margin of Error!!Total:!!With cash rent:!!$300 to $349","Annotation of Margin of Error!!Total:!!With cash rent:!!$300 to $349","Annotation of Estimate!!Total:!!With cash rent:!!$300 to $349","Estimate!!Total:!!With cash rent:!!$350 to $399","Annotation of Estimate!!Total:!!With cash rent:!!$350 to $399","Margin of Error!!Total:!!With cash rent:!!$350 to $399","Annotation of Margin of Error!!Total:!!With cash rent:!!$350 to $399","Estimate!!Total:!!With cash rent:!!$400 to $449","Annotation of Estimate!!Total:!!With cash rent:!!$400 to $449","Margin of Error!!Total:!!With cash rent:!!$400 to $449","Annotation of Margin of Error!!Total:!!With cash rent:!!$400 to $449","Estimate!!Total:!!With cash rent:!!$450 to $499","Annotation of Estimate!!Total:!!With cash rent:!!$450 to $499","Margin of Error!!Total:!!With cash rent:!!$450 to $499","Annotation of Margin of Error!!Total:!!With cash rent:!!$450 to $499","Estimate!!Total:!!With cash rent:!!$500 to $549","Margin of Error!!Total:!!With cash rent:!!$500 to $549","Annotation of Margin of Error!!Total:!!With cash rent:!!$500 to $549","Annotation of Estimate!!Total:!!With cash rent:!!$500 to $549","Estimate!!Total:!!With cash rent:!!$550 to $599","Margin of Error!!Total:!!With cash rent:!!$550 to $599","Annotation of Margin of Error!!Total:!!With cash rent:!!$550 to $599","Annotation of Estimate!!Total:!!With cash rent:!!$550 to $599","Estimate!!Total:!!With cash rent:!!$600 to $649","Annotation of Estimate!!Total:!!With cash rent:!!$600 to $649","Margin of Error!!Total:!!With cash rent:!!$600 to $649","Annotation of Margin of Error!!Total:!!With cash rent:!!$600 to $649","Estimate!!Total:!!With cash rent:!!$650 to $699","Annotation of Estimate!!Total:!!With cash rent:!!$650 to $699","Margin of Error!!Total:!!With cash rent:!!$650 to $699","Annotation of Margin of Error!!Total:!!With cash rent:!!$650 to $699","Estimate!!Total:!!With cash rent:!!$700 to $749","Annotation of Estimate!!Total:!!With cash rent:!!$700 to $749","Margin of Error!!Total:!!With cash rent:!!$700 to $749","Annotation of Margin of Error!!Total:!!With cash rent:!!$700 to $749","Estimate!!Total:!!With cash rent:!!$750 to $799","Margin of Error!!Total:!!With cash rent:!!$750 to $799","Annotation of Margin of Error!!Total:!!With cash rent:!!$750 to $799","Annotation of Estimate!!Total:!!With cash rent:!!$750 to $799","Estimate!!Total:!!With cash rent:!!$800 to $899","Margin of Error!!Total:!!With cash rent:!!$800 to $899","Annotation of Margin of Error!!Total:!!With cash rent:!!$800 to $899","Annotation of Estimate!!Total:!!With cash rent:!!$800 to $899","Estimate!!Total:!!With cash rent:!!$900 to $999","Annotation of Estimate!!Total:!!With cash rent:!!$900 to $999","Margin of Error!!Total:!!With cash rent:!!$900 to $999","Annotation of Margin of Error!!Total:!!With cash rent:!!$900 to $999","Estimate!!Total:!!With cash rent:!!$1,000 to $1,249","Annotation of Estimate!!Total:!!With cash rent:!!$1,000 to $1,249","Margin of Error!!Total:!!With cash rent:!!$1,000 to $1,249","Annotation of Margin of Error!!Total:!!With cash rent:!!$1,000 to $1,249","Estimate!!Total:!!With cash rent:!!$1,250 to $1,499","Annotation of Estimate!!Total:!!With cash rent:!!$1,250 to $1,499","Margin of Error!!Total:!!With cash rent:!!$1,250 to $1,499","Annotation of Margin of Error!!Total:!!With cash rent:!!$1,250 to $1,499","Estimate!!Total:!!With cash rent:!!$1,500 to $1,999","Margin of Error!!Total:!!With cash rent:!!$1,500 to $1,999","Annotation of Margin of Error!!Total:!!With cash rent:!!$1,500 to $1,999","Annotation of Estimate!!Total:!!With cash rent:!!$1,500 to $1,999","Estimate!!Total:!!With cash rent:!!$2,000 to $2,499","Margin of Error!!Total:!!With cash rent:!!$2,000 to $2,499","Annotation of Margin of Error!!Total:!!With cash rent:!!$2,000 to $2,499","Annotation of Estimate!!Total:!!With cash rent:!!$2,000 to $2,499","Estimate!!Total:!!With cash rent:!!$2,500 to $2,999","Annotation of Estimate!!Total:!!With cash rent:!!$2,500 to $2,999","Margin of Error!!Total:!!With cash rent:!!$2,500 to $2,999","Annotation of Margin of Error!!Total:!!With cash rent:!!$2,500 to $2,999","Estimate!!Total:!!With cash rent:!!$3,000 to $3,499","Annotation of Estimate!!Total:!!With cash rent:!!$3,000 to $3,499","Margin of Error!!Total:!!With cash rent:!!$3,000 to $3,499","Annotation of Margin of Error!!Total:!!With cash rent:!!$3,000 to $3,499","Estimate!!Total:!!With cash rent:!!$3,500 or more","Annotation of Estimate!!Total:!!With cash rent:!!$3,500 or more","Margin of Error!!Total:!!With cash rent:!!$3,500 or more","Annotation of Margin of Error!!Total:!!With cash rent:!!$3,500 or more","Estimate!!Total:!!No cash rent","Margin of Error!!Total:!!No cash rent","Annotation of Margin of Error!!Total:!!No cash rent","Annotation of Estimate!!Total:!!No cash rent",
"0500000US06001","Alameda County, California","268286","2245","null","null","261547","null","2202","null","629","null","205","null","447","140","null","null","669","181","null","null","1437","263","null","null","3861","431","null","null","2061","296","null","null","1760","null","275","null","1558","null","274","null","1719","null","331","null","1461","254","null","null","1834","304","null","null","1786","null","300","null","1911","null","279","null","2139","null","240","null","2478","306","null","null","6008","514","null","null","8131","null","669","null","25043","null","1003","null","28295","null","1133","null","63249","1784","null","null","49255","1146","null","null","29478","null","1288","null","15893","null","781","null","10445","null","638","null","6739","567","null","null",
"0500000US06003","Alpine County, California","56","25","null","null","51","null","26","null","2","null","4","null","0","12","null","null","2","3","null","null","0","12","null","null","2","3","null","null","2","5","null","null","2","null","4","null","3","null","4","null","1","null","3","null","15","18","null","null","1","4","null","null","0","null","12","null","2","null","3","null","0","null","12","null","0","12","null","null","2","5","null","null","5","null","5","null","6","null","8","null","0","null","12","null","4","5","null","null","2","4","null","null","0","null","12","null","0","null","12","null","0","null","12","null","5","5","null","null",
"0500000US06005","Amador County, California","3429","392","null","null","3137","null","372","null","0","null","26","null","41","63","null","null","34","49","null","null","19","21","null","null","21","20","null","null","46","50","null","null","18","null","28","null","19","null","28","null","13","null","18","null","60","50","null","null","17","28","null","null","73","null","58","null","17","null","24","null","104","null","97","null","123","77","null","null","133","76","null","null","438","null","157","null","950","null","237","null","468","null","166","null","432","167","null","null","111","106","null","null","0","null","26","null","0","null","26","null","0","null","26","null","292","109","null","null",
"0500000US06007","Butte County, California","34989","932","null","null","33306","null","951","null","0","null","29","null","68","61","null","null","101","68","null","null","181","97","null","null","264","102","null","null","299","130","null","null","277","null","103","null","224","null","79","null","499","null","200","null","553","175","null","null","743","221","null","null","767","null","171","null","1358","null","244","null","1673","null","352","null","1262","246","null","null","3276","465","null","null","3359","null","416","null","7267","null","609","null","4560","null","481","null","4537","436","null","null","1232","300","null","null","496","null","188","null","106","null","98","null","204","null","120","null","1683","271","null","null",
"0500000US06009","Calaveras County, California","3769","431","null","null","3470","null","437","null","0","null","26","null","0","26","null","null","78","80","null","null","3","4","null","null","26","30","null","null","0","26","null","null","38","null","29","null","26","null","40","null","10","null","16","null","173","107","null","null","29","32","null","null","48","null","44","null","65","null","52","null","87","null","87","null","73","68","null","null","145","109","null","null","235","null","140","null","416","null","162","null","792","null","220","null","821","261","null","null","276","123","null","null","86","null","73","null","43","null","50","null","0","null","26","null","299","131","null","null",
"0500000US06011","Colusa County, California","2817","226","null","null","2517","null","224","null","0","null","23","null","0","23","null","null","0","23","null","null","67","47","null","null","19","23","null","null","52","53","null","null","56","null","42","null","44","null","37","null","138","null","72","null","84","57","null","null","78","29","null","null","53","null","36","null","138","null","66","null","172","null","115","null","68","38","null","null","327","109","null","null","195","null","85","null","537","null","149","null","324","null","108","null","86","43","null","null","21","24","null","null","44","null","39","null","0","null","23","null","14","null","14","null","300","101","null","null",
"0500000US06013","Contra Costa County, California","134525","1902","null","null","130340","null","1921","null","250","null","135","null","205","89","null","null","279","147","null","null","738","205","null","null","1395","368","null","null","998","232","null","null","865","null","232","null","502","null","178","null","730","null","209","null","899","219","null","null","400","167","null","null","748","null","234","null","563","null","184","null","814","null","229","null","778","208","null","null","2741","433","null","null","3431","null","440","null","11658","null","880","null","14826","null","794","null","35008","1265","null","null","28157","1347","null","null","13460","null","887","null","6084","null","543","null","4811","null","414","null","4185","515","null","null",
"0500000US06015","Del Norte County, California","3672","349","null","null","3457","null","345","null","5","null","9","null","19","27","null","null","0","23","null","null","8","15","null","null","57","44","null","null","70","51","null","null","82","null","64","null","115","null","76","null","48","null","48","null","100","74","null","null","39","32","null","null","168","null","103","null","171","null","106","null","262","null","121","null","264","120","null","null","410","164","null","null","341","null","144","null","564","null","194","null","459","null","142","null","232","104","null","null","43","48","null","null","0","null","23","null","0","null","23","null","0","null","23","null","215","89","null","null",
"0500000US06017","El Dorado County, California","17224","880","null","null","16309","null","885","null","0","null","29","null","0","29","null","null","95","73","null","null","17","31","null","null","168","90","null","null","224","132","null","null","27","null","29","null","96","null","61","null","167","null","99","null","157","119","null","null","232","130","null","null","324","null","176","null","424","null","179","null","450","null","168","null","331","118","null","null","1140","251","null","null","1424","null","313","null","2780","null","364","null","2353","null","404","null","3351","381","null","null","1354","273","null","null","747","null","215","null","307","null","108","null","141","null","118","null","915","209","null","null",
