"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012EA","B25063_012M","B25063_012MA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020EA","B25063_020M","B25063_020MA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023EA","B25063_023M","B25063_023MA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA","B25063_025E","B25063_025EA","B25063_025M","B25063_025MA","B25063_026E","B25063_026M","B25063_026MA","B25063_026EA","B25063_027E","B25063_027EA","B25063_027M","B25063_027MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!With cash rent:","Annotation of Estimate!!Total:!!With cash rent:","Margin of Error!!Total:!!With cash rent:","Annotation of Margin of Error!!Total:!!With cash rent:","Estimate!!Total:!!With cash rent:!!Less than $100","Annotation of Estimate!!Total:!!With cash rent:!!Less than $100","Margin of Error!!Total:!!With cash rent:!!Less than $100","Annotation of Margin of Error!!Total:!!With cash rent:!!Less than $100","Estimate!!Total:!!With cash rent:!!$100 to $149","Annotation of Estimate!!Total:!!With cash rent:!!$100 to $149","Margin of Error!!Total:!!With cash rent:!!$100 to $149","Annotation of Margin of Error!!Total:!!With cash rent:!!$100 to $149","Estimate!!Total:!!With cash rent:!!$150 to $199","Annotation of Estimate!!Total:!!With cash rent:!!$150 to $199","Margin of Error!!Total:!!With cash rent:!!$150 to $199","Annotation of Margin of Error!!Total:!!With cash rent:!!$150 to $199","Estimate!!Total:!!With cash rent:!!$200 to $249","Margin of Error!!Total:!!With cash rent:!!$200 to $249","Annotation of Margin of Error!!Total:!!With cash rent:!!$200 to $249","Annotation of Estimate!!Total:!!With cash rent:!!$200 to $249","Estimate!!Total:!!With cash rent:!!$250 to $299","Annotation of Estimate!!Total:!!With cash rent:!!$250 to $299","Margin of Error!!Total:!!With cash rent:!!$250 to $299","Annotation of Margin of Error!!Total:!!With cash rent:!!$250 to $299","Estimate!!Total:!!With cash rent:!!$300 to $349","Annotation of Estimate!!Total:!!With cash rent:!!$300 to $349","Margin of Error!!Total:!!With cash rent:!!$300 to $349","Annotation of Margin of Error!!Total:!!With cash rent:!!$300 to $349","Estimate!!Total:!!With cash rent:!!$350 to $399","Annotation of Estimate!!Total:!!With cash rent:!!$350 to $399","Margin of Error!!Total:!!With cash rent:!!$350 to $399","Annotation of Margin of Error!!Total:!!With cash rent:!!$350 to $399","Estimate!!Total:!!With cash rent:!!$400 to $449","Annotation of Estimate!!Total:!!With cash rent:!!$400 to $449","Margin of Error!!Total:!!With cash rent:!!$400 to $449","Annotation of Margin of Error!!Total:!!With cash rent:!!$400 to $449","Estimate!!Total:!!With cash rent:!!$450 to $499","Annotation of Estimate!!Total:!!With cash rent:!!$450 to $499","Margin of Error!!Total:!!With cash rent:!!$450 to $499","Annotation of Margin of Error!!Total:!!With cash rent:!!$450 to $499","Estimate!!Total:!!With cash rent:!!$500 to $549","Annotation of Estimate!!Total:!!With cash rent:!!$500 to $549","Margin of Error!!Total:!!With cash rent:!!$500 to $549","Annotation of Margin of Error!!Total:!!With cash rent:!!$500 to $549","Estimate!!Total:!!With cash rent:!!$550 to $599","Annotation of Estimate!!Total:!!With cash rent:!!$550 to $599","Margin of Error!!Total:!!With cash rent:!!$550 to $599","Annotation of Margin of Error!!Total:!!With cash rent:!!$550 to $599","Estimate!!Total:!!With cash rent:!!$600 to $649","Annotation of Estimate!!Total:!!With cash rent:!!$600 to $649","Margin of Error!!Total:!!With cash rent:!!$600 to $649","Annotation of Margin of Error!!Total:!!With cash rent:!!$600 to $649","Estimate!!Total:!!With cash rent:!!$650 to $699","Annotation of Estimate!!Total:!!With cash rent:!!$650 to $699","Margin of Error!!Total:!!With cash rent:!!$650 to $699","Annotation of Margin of Error!!Total:!!With cash rent:!!$650 to $699","Estimate!!Total:!!With cash rent:!!$700 to $749","Annotation of Estimate!!Total:!!With cash rent:!!$700 to $749","Margin of Error!!Total:!!With cash rent:!!$700 to $749","Annotation of Margin of Error!!Total:!!With cash rent:!!$700 to $749","Estimate!!Total:!!With cash rent:!!$750 to $799","Annotation of Estimate!!Total:!!With cash rent:!!$750 to $799","Margin of Error!!Total:!!With cash rent:!!$750 to $799","Annotation of Margin of Error!!Total:!!With cash rent:!!$750 to $799","Estimate!!Total:!!With cash rent:!!$800 to $899","Margin of Error!!Total:!!With cash rent:!!$800 to $899","Annotation of Margin of Error!!Total:!!With cash rent:!!$800 to $899","Annotation of Estimate!!Total:!!With cash rent:!!$800 to $899","Estimate!!Total:!!With cash rent:!!$900 to $999","Annotation of Estimate!!Total:!!With cash rent:!!$900 to $999","Margin of Error!!Total:!!With cash rent:!!$900 to $999","Annotation of Margin of Error!!Total:!!With cash rent:!!$900 to $999","Estimate!!Total:!!With cash rent:!!$1,000 to $1,249","Annotation of Estimate!!Total:!!With cash rent:!!$1,000 to $1,249","Margin of Error!!Total:!!With cash rent:!!$1,000 to $1,249","Annotation of Margin of Error!!Total:!!With cash rent:!!$1,000 to $1,249","Estimate!!Total:!!With cash rent:!!$1,250 to $1,499","Annotation of Estimate!!Total:!!With cash rent:!!$1,250 to $1,499","Margin of Error!!Total:!!With cash rent:!!$1,250 to $1,499","Annotation of Margin of Error!!Total:!!With cash rent:!!$1,250 to $1,499","Estimate!!Total:!!With cash rent:!!$1,500 to $1,999","Annotation of Estimate!!Total:!!With cash rent:!!$1,500 to $1,999","Margin of Error!!Total:!!With cash rent:!!$1,500 to $1,999","Annotation of Margin of Error!!Total:!!With cash rent:!!$1,500 to $1,999","Estimate!!Total:!!With cash rent:!!$2,000 to $2,499","Annotation of Estimate!!Total:!!With cash rent:!!$2,000 to $2,499","Margin of Error!!Total:!!With cash rent:!!$2,000 to $2,499","Annotation of Margin of Error!!Total:!!With cash rent:!!$2,000 to $2,499","Estimate!!Total:!!With cash rent:!!$2,500 to $2,999","Annotation of Estimate!!Total:!!With cash rent:!!$2,500 to $2,999","Margin of Error!!Total:!!With cash rent:!!$2,500 to $2,999","Annotation of Margin of Error!!Total:!!With cash rent:!!$2,500 to $2,999","Estimate!!Total:!!With cash rent:!!$3,000 to $3,499","Annotation of Estimate!!Total:!!With cash rent:!!$3,000 to $3,499","Margin of Error!!Total:!!With cash rent:!!$3,000 to $3,499","Annotation of Margin of Error!!Total:!!With cash rent:!!$3,000 to $3,499","Estimate!!Total:!!With cash rent:!!$3,500 or more","Margin of Error!!Total:!!With cash rent:!!$3,500 or more","Annotation of Margin of Error!!Total:!!With cash rent:!!$3,500 or more","Annotation of Estimate!!Total:!!With cash rent:!!$3,500 or more","Estimate!!Total:!!No cash rent","Annotation of Estimate!!Total:!!No cash rent","Margin of Error!!Total:!!No cash rent","Annotation of Margin of Error!!Total:!!No cash rent",
"0500000US06001","Alameda County, California","265893","2807","null","null","258874","null","2829","null","591","null","142","null","526","null","156","null","659","null","241","null","1431","320","null","null","3645","null","408","null","2104","null","453","null","1491","null","262","null","1493","null","319","null","1466","null","294","null","1203","null","249","null","1417","null","250","null","1688","null","314","null","1848","null","315","null","2229","null","621","null","2042","null","290","null","4612","513","null","null","6643","null","634","null","21645","null","1072","null","25451","null","1282","null","58477","null","1415","null","51305","null","1631","null","33374","null","1227","null","19069","null","1071","null","14465","907","null","null","7019","null","651","null",
"0500000US06003","Alpine County, California","76","27","null","null","73","null","28","null","1","null","3","null","0","null","13","null","1","null","2","null","0","13","null","null","1","null","2","null","10","null","12","null","1","null","3","null","2","null","3","null","2","null","3","null","9","null","10","null","1","null","5","null","11","null","16","null","0","null","13","null","0","null","13","null","0","null","13","null","1","4","null","null","8","null","8","null","3","null","4","null","12","null","19","null","10","null","10","null","0","null","13","null","0","null","13","null","0","null","13","null","0","13","null","null","3","null","4","null",
"0500000US06005","Amador County, California","3448","457","null","null","3165","null","482","null","0","null","28","null","41","null","61","null","15","null","25","null","29","39","null","null","388","null","347","null","36","null","38","null","20","null","27","null","60","null","67","null","14","null","18","null","28","null","31","null","16","null","26","null","77","null","79","null","14","null","19","null","72","null","86","null","85","null","67","null","127","81","null","null","371","null","171","null","831","null","202","null","387","null","135","null","472","null","183","null","82","null","81","null","0","null","28","null","0","null","28","null","0","28","null","null","283","null","127","null",
"0500000US06007","Butte County, California","33992","1040","null","null","32147","null","967","null","0","null","31","null","43","null","47","null","87","null","67","null","80","44","null","null","269","null","106","null","286","null","128","null","242","null","99","null","195","null","85","null","330","null","159","null","507","null","197","null","646","null","193","null","596","null","173","null","1289","null","262","null","1378","null","272","null","1341","null","329","null","2932","450","null","null","3483","null","494","null","6832","null","628","null","4421","null","516","null","5024","null","630","null","1256","null","316","null","483","null","207","null","190","null","149","null","237","124","null","null","1845","null","393","null",
"0500000US06009","Calaveras County, California","3466","528","null","null","3293","null","521","null","0","null","28","null","0","null","28","null","88","null","109","null","3","5","null","null","9","null","15","null","19","null","32","null","48","null","37","null","27","null","43","null","7","null","11","null","135","null","103","null","23","null","26","null","179","null","207","null","59","null","46","null","44","null","68","null","64","null","60","null","87","64","null","null","168","null","135","null","443","null","183","null","584","null","186","null","882","null","263","null","272","null","108","null","117","null","74","null","10","null","16","null","25","43","null","null","173","null","94","null",
"0500000US06011","Colusa County, California","2678","273","null","null","2433","null","267","null","0","null","25","null","0","null","25","null","0","null","25","null","73","63","null","null","21","null","24","null","47","null","53","null","55","null","43","null","23","null","23","null","117","null","70","null","85","null","60","null","61","null","47","null","85","null","90","null","122","null","62","null","135","null","87","null","69","null","44","null","288","158","null","null","192","null","79","null","395","null","101","null","522","null","157","null","69","null","42","null","16","null","18","null","47","null","41","null","0","null","25","null","11","14","null","null","245","null","91","null",
"0500000US06013","Contra Costa County, California","132061","2333","null","null","127647","null","2344","null","185","null","121","null","149","null","97","null","138","null","109","null","568","186","null","null","1469","null","371","null","918","null","260","null","587","null","191","null","416","null","137","null","599","null","215","null","863","null","260","null","469","null","206","null","714","null","250","null","439","null","165","null","569","null","166","null","840","null","282","null","2006","361","null","null","2719","null","468","null","9201","null","745","null","12667","null","918","null","33067","null","1417","null","30035","null","1510","null","15720","null","1109","null","6705","null","625","null","6604","937","null","null","4414","null","493","null",
"0500000US06015","Del Norte County, California","3099","411","null","null","2898","null","407","null","6","null","14","null","21","null","28","null","0","null","25","null","9","16","null","null","15","null","24","null","82","null","66","null","64","null","47","null","66","null","64","null","47","null","42","null","73","null","65","null","38","null","29","null","78","null","56","null","83","null","76","null","174","null","104","null","176","null","72","null","326","136","null","null","419","null","147","null","505","null","204","null","414","null","152","null","278","null","145","null","24","null","39","null","0","null","25","null","0","null","25","null","0","25","null","null","201","null","90","null",
"0500000US06017","El Dorado County, California","17885","988","null","null","17127","null","1003","null","0","null","31","null","0","null","31","null","98","null","89","null","37","53","null","null","91","null","60","null","263","null","156","null","96","null","76","null","140","null","78","null","112","null","80","null","228","null","151","null","139","null","106","null","294","null","131","null","410","null","195","null","327","null","147","null","416","null","158","null","1425","326","null","null","925","null","227","null","2855","null","412","null","2543","null","366","null","3901","null","534","null","1692","null","262","null","628","null","181","null","295","null","121","null","212","123","null","null","758","null","192","null",
