"GEO_ID","NAME","B25063_001E","B25063_001EA","B25063_001M","B25063_001MA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010M","B25063_010MA","B25063_010EA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016M","B25063_016MA","B25063_016EA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019M","B25063_019MA","B25063_019EA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022M","B25063_022MA","B25063_022EA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024M","B25063_024MA","B25063_024EA","B25063_025E","B25063_025M","B25063_025MA","B25063_025EA","B25063_026E","B25063_026EA","B25063_026M","B25063_026MA","B25063_027E","B25063_027M","B25063_027MA","B25063_027EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!With cash rent:","Margin of Error!!Total:!!With cash rent:","Annotation of Margin of Error!!Total:!!With cash rent:","Annotation of Estimate!!Total:!!With cash rent:","Estimate!!Total:!!With cash rent:!!Less than $100","Margin of Error!!Total:!!With cash rent:!!Less than $100","Annotation of Margin of Error!!Total:!!With cash rent:!!Less than $100","Annotation of Estimate!!Total:!!With cash rent:!!Less than $100","Estimate!!Total:!!With cash rent:!!$100 to $149","Margin of Error!!Total:!!With cash rent:!!$100 to $149","Annotation of Margin of Error!!Total:!!With cash rent:!!$100 to $149","Annotation of Estimate!!Total:!!With cash rent:!!$100 to $149","Estimate!!Total:!!With cash rent:!!$150 to $199","Margin of Error!!Total:!!With cash rent:!!$150 to $199","Annotation of Margin of Error!!Total:!!With cash rent:!!$150 to $199","Annotation of Estimate!!Total:!!With cash rent:!!$150 to $199","Estimate!!Total:!!With cash rent:!!$200 to $249","Margin of Error!!Total:!!With cash rent:!!$200 to $249","Annotation of Margin of Error!!Total:!!With cash rent:!!$200 to $249","Annotation of Estimate!!Total:!!With cash rent:!!$200 to $249","Estimate!!Total:!!With cash rent:!!$250 to $299","Annotation of Estimate!!Total:!!With cash rent:!!$250 to $299","Margin of Error!!Total:!!With cash rent:!!$250 to $299","Annotation of Margin of Error!!Total:!!With cash rent:!!$250 to $299","Estimate!!Total:!!With cash rent:!!$300 to $349","Annotation of Estimate!!Total:!!With cash rent:!!$300 to $349","Margin of Error!!Total:!!With cash rent:!!$300 to $349","Annotation of Margin of Error!!Total:!!With cash rent:!!$300 to $349","Estimate!!Total:!!With cash rent:!!$350 to $399","Margin of Error!!Total:!!With cash rent:!!$350 to $399","Annotation of Margin of Error!!Total:!!With cash rent:!!$350 to $399","Annotation of Estimate!!Total:!!With cash rent:!!$350 to $399","Estimate!!Total:!!With cash rent:!!$400 to $449","Margin of Error!!Total:!!With cash rent:!!$400 to $449","Annotation of Margin of Error!!Total:!!With cash rent:!!$400 to $449","Annotation of Estimate!!Total:!!With cash rent:!!$400 to $449","Estimate!!Total:!!With cash rent:!!$450 to $499","Margin of Error!!Total:!!With cash rent:!!$450 to $499","Annotation of Margin of Error!!Total:!!With cash rent:!!$450 to $499","Annotation of Estimate!!Total:!!With cash rent:!!$450 to $499","Estimate!!Total:!!With cash rent:!!$500 to $549","Margin of Error!!Total:!!With cash rent:!!$500 to $549","Annotation of Margin of Error!!Total:!!With cash rent:!!$500 to $549","Annotation of Estimate!!Total:!!With cash rent:!!$500 to $549","Estimate!!Total:!!With cash rent:!!$550 to $599","Margin of Error!!Total:!!With cash rent:!!$550 to $599","Annotation of Margin of Error!!Total:!!With cash rent:!!$550 to $599","Annotation of Estimate!!Total:!!With cash rent:!!$550 to $599","Estimate!!Total:!!With cash rent:!!$600 to $649","Margin of Error!!Total:!!With cash rent:!!$600 to $649","Annotation of Margin of Error!!Total:!!With cash rent:!!$600 to $649","Annotation of Estimate!!Total:!!With cash rent:!!$600 to $649","Estimate!!Total:!!With cash rent:!!$650 to $699","Margin of Error!!Total:!!With cash rent:!!$650 to $699","Annotation of Margin of Error!!Total:!!With cash rent:!!$650 to $699","Annotation of Estimate!!Total:!!With cash rent:!!$650 to $699","Estimate!!Total:!!With cash rent:!!$700 to $749","Margin of Error!!Total:!!With cash rent:!!$700 to $749","Annotation of Margin of Error!!Total:!!With cash rent:!!$700 to $749","Annotation of Estimate!!Total:!!With cash rent:!!$700 to $749","Estimate!!Total:!!With cash rent:!!$750 to $799","Annotation of Estimate!!Total:!!With cash rent:!!$750 to $799","Margin of Error!!Total:!!With cash rent:!!$750 to $799","Annotation of Margin of Error!!Total:!!With cash rent:!!$750 to $799","Estimate!!Total:!!With cash rent:!!$800 to $899","Annotation of Estimate!!Total:!!With cash rent:!!$800 to $899","Margin of Error!!Total:!!With cash rent:!!$800 to $899","Annotation of Margin of Error!!Total:!!With cash rent:!!$800 to $899","Estimate!!Total:!!With cash rent:!!$900 to $999","Margin of Error!!Total:!!With cash rent:!!$900 to $999","Annotation of Margin of Error!!Total:!!With cash rent:!!$900 to $999","Annotation of Estimate!!Total:!!With cash rent:!!$900 to $999","Estimate!!Total:!!With cash rent:!!$1,000 to $1,249","Margin of Error!!Total:!!With cash rent:!!$1,000 to $1,249","Annotation of Margin of Error!!Total:!!With cash rent:!!$1,000 to $1,249","Annotation of Estimate!!Total:!!With cash rent:!!$1,000 to $1,249","Estimate!!Total:!!With cash rent:!!$1,250 to $1,499","Annotation of Estimate!!Total:!!With cash rent:!!$1,250 to $1,499","Margin of Error!!Total:!!With cash rent:!!$1,250 to $1,499","Annotation of Margin of Error!!Total:!!With cash rent:!!$1,250 to $1,499","Estimate!!Total:!!With cash rent:!!$1,500 to $1,999","Margin of Error!!Total:!!With cash rent:!!$1,500 to $1,999","Annotation of Margin of Error!!Total:!!With cash rent:!!$1,500 to $1,999","Annotation of Estimate!!Total:!!With cash rent:!!$1,500 to $1,999","Estimate!!Total:!!With cash rent:!!$2,000 to $2,499","Margin of Error!!Total:!!With cash rent:!!$2,000 to $2,499","Annotation of Margin of Error!!Total:!!With cash rent:!!$2,000 to $2,499","Annotation of Estimate!!Total:!!With cash rent:!!$2,000 to $2,499","Estimate!!Total:!!With cash rent:!!$2,500 to $2,999","Margin of Error!!Total:!!With cash rent:!!$2,500 to $2,999","Annotation of Margin of Error!!Total:!!With cash rent:!!$2,500 to $2,999","Annotation of Estimate!!Total:!!With cash rent:!!$2,500 to $2,999","Estimate!!Total:!!With cash rent:!!$3,000 to $3,499","Margin of Error!!Total:!!With cash rent:!!$3,000 to $3,499","Annotation of Margin of Error!!Total:!!With cash rent:!!$3,000 to $3,499","Annotation of Estimate!!Total:!!With cash rent:!!$3,000 to $3,499","Estimate!!Total:!!With cash rent:!!$3,500 or more","Annotation of Estimate!!Total:!!With cash rent:!!$3,500 or more","Margin of Error!!Total:!!With cash rent:!!$3,500 or more","Annotation of Margin of Error!!Total:!!With cash rent:!!$3,500 or more","Estimate!!Total:!!No cash rent","Margin of Error!!Total:!!No cash rent","Annotation of Margin of Error!!Total:!!No cash rent","Annotation of Estimate!!Total:!!No cash rent",
"0500000US06001","Alameda County, California","268273","null","2641","null","261127","2623","null","null","429","141","null","null","532","162","null","null","718","235","null","null","981","263","null","null","3637","null","459","null","2106","null","416","null","1644","345","null","null","1689","337","null","null","1714","300","null","null","903","202","null","null","1311","312","null","null","1257","286","null","null","1419","285","null","null","2089","363","null","null","1852","null","388","null","3843","null","395","null","5363","566","null","null","18868","860","null","null","21714","null","1279","null","53762","1579","null","null","55676","1796","null","null","37291","1513","null","null","21866","1228","null","null","20463","null","1070","null","7146","704","null","null",
"0500000US06003","Alpine County, California","79","null","43","null","75","42","null","null","1","2","null","null","0","13","null","null","0","13","null","null","0","13","null","null","1","null","2","null","4","null","5","null","7","10","null","null","0","13","null","null","2","4","null","null","11","12","null","null","2","3","null","null","12","20","null","null","0","13","null","null","0","13","null","null","0","null","13","null","0","null","13","null","2","5","null","null","8","6","null","null","2","null","3","null","6","12","null","null","0","13","null","null","0","13","null","null","0","13","null","null","17","null","26","null","4","5","null","null",
"0500000US06005","Amador County, California","3319","null","435","null","3095","432","null","null","0","28","null","null","0","28","null","null","14","25","null","null","13","22","null","null","272","null","250","null","28","null","36","null","0","28","null","null","17","24","null","null","49","77","null","null","35","37","null","null","4","7","null","null","31","35","null","null","112","78","null","null","14","20","null","null","71","null","73","null","179","null","113","null","228","109","null","null","955","217","null","null","460","null","186","null","487","143","null","null","123","87","null","null","3","5","null","null","0","28","null","null","0","null","28","null","224","98","null","null",
"0500000US06007","Butte County, California","35743","null","857","null","33895","871","null","null","0","31","null","null","5","8","null","null","130","73","null","null","41","31","null","null","310","null","98","null","278","null","111","null","318","107","null","null","177","73","null","null","206","148","null","null","423","143","null","null","573","221","null","null","388","131","null","null","891","235","null","null","1096","236","null","null","1258","null","306","null","2780","null","456","null","3118","411","null","null","7220","687","null","null","5466","null","588","null","6495","663","null","null","1458","346","null","null","912","274","null","null","155","155","null","null","197","null","91","null","1848","306","null","null",
"0500000US06009","Calaveras County, California","3111","null","431","null","2946","429","null","null","11","19","null","null","0","28","null","null","106","152","null","null","24","39","null","null","4","null","6","null","18","null","28","null","28","29","null","null","52","53","null","null","21","34","null","null","24","40","null","null","58","55","null","null","151","190","null","null","28","33","null","null","57","75","null","null","0","null","28","null","174","null","126","null","0","28","null","null","436","236","null","null","391","null","158","null","859","264","null","null","299","130","null","null","160","93","null","null","21","28","null","null","24","null","39","null","165","85","null","null",
"0500000US06011","Colusa County, California","2806","null","309","null","2496","294","null","null","0","25","null","null","0","25","null","null","0","25","null","null","83","60","null","null","16","null","21","null","56","null","73","null","46","42","null","null","42","41","null","null","67","62","null","null","11","15","null","null","51","55","null","null","146","99","null","null","83","56","null","null","65","39","null","null","89","null","71","null","304","null","159","null","257","96","null","null","426","126","null","null","574","null","205","null","98","50","null","null","8","13","null","null","49","53","null","null","0","25","null","null","25","null","27","null","310","105","null","null",
"0500000US06013","Contra Costa County, California","133727","null","1996","null","129134","2031","null","null","133","91","null","null","195","119","null","null","105","81","null","null","379","130","null","null","1590","null","396","null","770","null","245","null","739","249","null","null","619","212","null","null","478","155","null","null","625","223","null","null","811","281","null","null","416","188","null","null","682","183","null","null","626","225","null","null","619","null","227","null","1628","null","384","null","2398","403","null","null","7992","698","null","null","9578","null","797","null","30391","1595","null","null","31038","1245","null","null","19106","1153","null","null","9008","920","null","null","9208","null","734","null","4593","560","null","null",
"0500000US06015","Del Norte County, California","3026","null","359","null","2858","358","null","null","0","25","null","null","1","4","null","null","4","7","null","null","0","25","null","null","74","null","48","null","129","null","73","null","34","23","null","null","37","44","null","null","72","58","null","null","49","56","null","null","47","37","null","null","76","61","null","null","28","29","null","null","121","88","null","null","131","null","79","null","370","null","125","null","259","159","null","null","538","208","null","null","470","null","164","null","327","130","null","null","64","81","null","null","6","11","null","null","21","25","null","null","0","null","25","null","168","82","null","null",
"0500000US06017","El Dorado County, California","17743","null","1054","null","16983","1014","null","null","0","31","null","null","0","31","null","null","72","70","null","null","57","73","null","null","44","null","45","null","236","null","146","null","54","45","null","null","211","103","null","null","107","95","null","null","139","96","null","null","241","136","null","null","221","123","null","null","157","97","null","null","375","147","null","null","476","null","205","null","1074","null","251","null","939","295","null","null","2582","413","null","null","2362","null","499","null","3897","534","null","null","2170","358","null","null","741","180","null","null","244","106","null","null","584","null","207","null","760","223","null","null",
