"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more",
"0500000US06001","Alameda County, California","532026","2366","null","null","29264","1305","null","null","26250","1065","null","null","21446","null","1088","null","21889","null","968","null","20028","null","968","null","20118","null","1080","null","18705","null","876","null","20165","null","1067","null","18896","null","1007","null","36416","1138","null","null","50513","1601","null","null","66937","null","1928","null","55022","null","1614","null","36704","1269","null","null","44972","null","1657","null","44701","1204","null","null",
"0500000US06003","Alpine County, California","410","84","null","null","17","16","null","null","11","11","null","null","24","null","21","null","6","null","7","null","20","null","21","null","39","null","35","null","6","null","8","null","19","null","15","null","31","null","16","null","23","20","null","null","64","46","null","null","41","null","29","null","44","null","27","null","18","14","null","null","31","null","18","null","16","12","null","null",
"0500000US06005","Amador County, California","14715","444","null","null","551","175","null","null","774","196","null","null","703","null","199","null","724","null","179","null","660","null","190","null","844","null","196","null","779","null","225","null","910","null","229","null","685","null","169","null","1340","244","null","null","1609","253","null","null","2251","null","294","null","1026","null","224","null","795","199","null","null","776","null","190","null","288","122","null","null",
"0500000US06007","Butte County, California","85465","936","null","null","6075","595","null","null","6944","498","null","null","5585","null","584","null","6005","null","474","null","5919","null","569","null","4875","null","424","null","4455","null","471","null","4586","null","408","null","3482","null","348","null","6917","503","null","null","8303","567","null","null","9869","null","554","null","5515","null","454","null","2620","350","null","null","2710","null","309","null","1605","227","null","null",
"0500000US06009","Calaveras County, California","18794","611","null","null","892","220","null","null","1016","226","null","null","800","null","246","null","1146","null","282","null","1192","null","265","null","608","null","182","null","1048","null","283","null","1107","null","290","null","688","null","216","null","1482","276","null","null","1993","361","null","null","2557","null","423","null","1956","null","406","null","993","273","null","null","822","null","196","null","494","189","null","null",
"0500000US06011","Colusa County, California","6972","607","null","null","376","133","null","null","445","140","null","null","351","null","129","null","446","null","133","null","453","null","112","null","451","null","155","null","427","null","137","null","336","null","127","null","301","null","112","null","692","185","null","null","722","187","null","null","821","null","213","null","466","null","144","null","280","85","null","null","217","null","79","null","188","69","null","null",
"0500000US06013","Contra Costa County, California","368087","1516","null","null","14602","1020","null","null","13384","824","null","null","12066","null","699","null","12549","null","779","null","13592","null","934","null","12595","null","859","null","12755","null","759","null","13442","null","834","null","12121","null","717","null","25047","985","null","null","34673","1339","null","null","49796","null","1388","null","39913","null","1367","null","28389","1036","null","null","33615","null","1311","null","39548","1201","null","null",
"0500000US06015","Del Norte County, California","9906","269","null","null","662","173","null","null","1289","232","null","null","744","null","162","null","991","null","219","null","454","null","142","null","737","null","195","null","350","null","136","null","376","null","123","null","374","null","123","null","823","175","null","null","1040","250","null","null","1047","null","160","null","545","null","152","null","197","83","null","null","121","null","68","null","156","86","null","null",
"0500000US06017","El Dorado County, California","68394","784","null","null","2483","395","null","null","2213","320","null","null","2273","null","359","null","2545","null","411","null","2897","null","304","null","3249","null","460","null","2474","null","361","null","2785","null","434","null","2712","null","312","null","5511","477","null","null","7456","666","null","null","9388","null","599","null","7682","null","515","null","4638","452","null","null","5252","null","498","null","4836","478","null","null",
"0500000US06019","Fresno County, California","283836","1408","null","null","21431","1171","null","null","19921","941","null","null","18728","null","951","null","18169","null","907","null","16507","null","888","null","15476","null","779","null","14202","null","942","null","13790","null","969","null","12029","null","833","null","23207","885","null","null","26919","1158","null","null","33211","null","1328","null","20296","null","948","null","11734","653","null","null","10428","null","698","null","7788","549","null","null",
