"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"0500000US06001","Alameda County, California","536160","null","2120","null","27989","null","1048","null","25930","null","1185","null","21404","1058","null","null","22506","1132","null","null","19747","null","1048","null","20179","null","1120","null","18842","null","851","null","19142","973","null","null","18527","1088","null","null","37170","null","1442","null","49869","null","1476","null","66324","null","1642","null","53837","1525","null","null","38100","1209","null","null","47155","1217","null","null","49439","null","1453","null",
"0500000US06003","Alpine County, California","357","null","74","null","16","null","20","null","11","null","8","null","16","21","null","null","20","14","null","null","15","null","19","null","23","null","17","null","7","null","6","null","20","13","null","null","18","11","null","null","38","null","19","null","43","null","27","null","14","null","12","null","39","22","null","null","34","18","null","null","25","18","null","null","18","null","14","null",
"0500000US06005","Amador County, California","14283","null","439","null","658","null","185","null","622","null","180","null","872","230","null","null","652","163","null","null","807","null","213","null","670","null","168","null","634","null","179","null","736","198","null","null","661","124","null","null","1209","null","215","null","1386","null","281","null","2115","null","322","null","1161","195","null","null","910","245","null","null","814","221","null","null","376","null","140","null",
"0500000US06007","Butte County, California","85219","null","922","null","6280","null","650","null","6501","null","563","null","5755","511","null","null","6357","544","null","null","5613","null","482","null","4888","null","506","null","4656","null","452","null","4163","464","null","null","3656","298","null","null","7368","null","682","null","7871","null","673","null","9391","null","689","null","5767","495","null","null","2537","318","null","null","2802","403","null","null","1614","null","262","null",
"0500000US06009","Calaveras County, California","18865","null","536","null","966","null","241","null","1091","null","238","null","916","273","null","null","933","265","null","null","1073","null","270","null","774","null","229","null","883","null","220","null","1083","265","null","null","757","255","null","null","1486","null","328","null","2027","null","293","null","2637","null","415","null","1854","335","null","null","1016","253","null","null","871","222","null","null","498","null","158","null",
"0500000US06011","Colusa County, California","6989","null","193","null","295","null","92","null","558","null","143","null","355","107","null","null","452","138","null","null","438","null","125","null","443","null","131","null","350","null","124","null","322","91","null","null","311","104","null","null","708","null","158","null","670","null","165","null","875","null","161","null","565","126","null","null","251","86","null","null","215","82","null","null","181","null","63","null",
"0500000US06013","Contra Costa County, California","370925","null","1248","null","14639","null","935","null","14083","null","832","null","12576","738","null","null","11956","866","null","null","13405","null","1017","null","13314","null","984","null","12938","null","897","null","13021","874","null","null","12230","735","null","null","25111","null","1005","null","34103","null","1269","null","47280","null","1463","null","40210","1374","null","null","28718","1147","null","null","36131","974","null","null","41210","null","1320","null",
"0500000US06015","Del Norte County, California","9818","null","318","null","709","null","176","null","1176","null","228","null","743","194","null","null","756","192","null","null","569","null","157","null","733","null","184","null","388","null","119","null","349","130","null","null","427","133","null","null","730","null","198","null","1122","null","233","null","953","null","169","null","591","195","null","null","271","79","null","null","107","66","null","null","194","null","89","null",
"0500000US06017","El Dorado County, California","68812","null","798","null","2612","null","353","null","2233","null","280","null","2311","364","null","null","2824","393","null","null","2816","null","385","null","3382","null","421","null","2559","null","395","null","2673","408","null","null","3012","439","null","null","5589","null","602","null","7069","null","521","null","9628","null","752","null","7179","631","null","null","4721","505","null","null","5411","496","null","null","4793","null","372","null",
