"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more",
"0500000US06001","Alameda County, California","539179","null","1870","null","27962","null","972","null","26522","null","1153","null","21832","null","906","null","22214","925","null","null","20072","1034","null","null","18978","929","null","null","18817","null","876","null","19120","null","917","null","18315","835","null","null","37308","1393","null","null","49422","1497","null","null","64887","null","1449","null","55174","null","1453","null","37958","null","1248","null","47990","1362","null","null","52608","1151","null","null",
"0500000US06003","Alpine County, California","385","null","78","null","22","null","17","null","12","null","10","null","17","null","16","null","46","35","null","null","4","7","null","null","8","8","null","null","16","null","14","null","13","null","12","null","15","12","null","null","40","20","null","null","37","19","null","null","39","null","29","null","50","null","27","null","28","null","19","null","24","19","null","null","14","12","null","null",
"0500000US06005","Amador County, California","14236","null","468","null","850","null","225","null","663","null","153","null","747","null","171","null","703","173","null","null","764","202","null","null","736","182","null","null","658","null","185","null","859","null","208","null","721","152","null","null","1321","196","null","null","1394","233","null","null","1756","null","269","null","1157","null","254","null","829","null","190","null","667","178","null","null","411","139","null","null",
"0500000US06007","Butte County, California","85074","null","844","null","6358","null","454","null","6427","null","564","null","5549","null","437","null","6354","553","null","null","5567","439","null","null","5089","454","null","null","4518","null","418","null","4024","null","461","null","3676","455","null","null","7510","685","null","null","7929","582","null","null","8986","null","541","null","6064","null","586","null","2541","null","336","null","2660","365","null","null","1822","289","null","null",
"0500000US06009","Calaveras County, California","18618","null","516","null","989","null","269","null","1036","null","239","null","1158","null","279","null","841","217","null","null","1077","245","null","null","624","187","null","null","807","null","199","null","1210","null","274","null","694","212","null","null","1528","251","null","null","1822","325","null","null","2749","null","407","null","1547","null","291","null","1070","null","289","null","739","195","null","null","727","204","null","null",
"0500000US06011","Colusa County, California","6884","null","183","null","274","null","85","null","450","null","122","null","338","null","104","null","467","151","null","null","448","123","null","null","396","103","null","null","329","null","104","null","286","null","85","null","312","80","null","null","741","159","null","null","857","162","null","null","830","null","164","null","538","null","132","null","224","null","71","null","229","85","null","null","165","61","null","null",
"0500000US06013","Contra Costa County, California","373145","null","1652","null","14721","null","964","null","13782","null","947","null","13391","null","914","null","12491","854","null","null","12870","873","null","null","13001","823","null","null","12920","null","746","null","13772","null","949","null","12195","855","null","null","25624","1220","null","null","34716","1292","null","null","45778","null","1400","null","40338","null","1467","null","29057","null","1348","null","36692","1250","null","null","41797","1139","null","null",
"0500000US06015","Del Norte County, California","9703","null","290","null","721","null","187","null","1121","null","222","null","572","null","122","null","721","195","null","null","549","153","null","null","707","169","null","null","487","null","128","null","325","null","111","null","314","112","null","null","781","186","null","null","1087","270","null","null","1008","null","190","null","638","null","155","null","272","null","95","null","176","86","null","null","224","96","null","null",
"0500000US06017","El Dorado County, California","67846","null","844","null","2363","null","358","null","2447","null","333","null","2475","null","359","null","2557","401","null","null","2838","344","null","null","3040","433","null","null","2750","null","395","null","2859","null","398","null","2723","387","null","null","5092","473","null","null","6929","673","null","null","9346","null","607","null","7013","null","551","null","4979","null","494","null","5298","524","null","null","5137","431","null","null",
