"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more",
"0500000US06001","Alameda County, California","545071","null","1716","null","29125","null","1145","null","26168","null","1078","null","22273","null","960","null","21362","1173","null","null","20373","933","null","null","18873","null","1054","null","18806","null","788","null","19891","null","1004","null","17379","null","908","null","37549","1376","null","null","49505","null","1587","null","66549","null","1804","null","54604","null","1587","null","37584","null","1103","null","49118","1367","null","null","55912","1394","null","null",
"0500000US06003","Alpine County, California","394","null","80","null","22","null","13","null","18","null","13","null","22","null","15","null","57","34","null","null","10","9","null","null","5","null","8","null","7","null","6","null","15","null","12","null","9","null","8","null","44","26","null","null","37","null","20","null","52","null","31","null","32","null","19","null","34","null","19","null","22","19","null","null","8","12","null","null",
"0500000US06005","Amador County, California","14262","null","397","null","844","null","208","null","729","null","170","null","874","null","202","null","657","131","null","null","807","177","null","null","733","null","192","null","679","null","168","null","687","null","176","null","688","null","172","null","1160","230","null","null","1423","null","250","null","2046","null","288","null","1223","null","263","null","641","null","159","null","715","200","null","null","356","131","null","null",
"0500000US06007","Butte County, California","84816","null","794","null","6733","null","589","null","6029","null","475","null","5813","null","457","null","6136","491","null","null","5320","492","null","null","5053","null","536","null","4285","null","456","null","4112","null","423","null","3362","null","398","null","7313","524","null","null","8153","null","559","null","9167","null","631","null","5560","null","536","null","3031","null","375","null","2864","353","null","null","1885","306","null","null",
"0500000US06009","Calaveras County, California","18702","null","551","null","1032","null","271","null","940","null","233","null","1180","null","260","null","840","235","null","null","1095","224","null","null","756","null","199","null","843","null","227","null","946","null","262","null","794","null","219","null","1534","303","null","null","2020","null","330","null","2550","null","365","null","1756","null","337","null","963","null","233","null","723","197","null","null","730","204","null","null",
"0500000US06011","Colusa County, California","6853","null","186","null","305","null","107","null","432","null","134","null","261","null","94","null","389","145","null","null","483","131","null","null","437","null","116","null","235","null","90","null","404","null","129","null","326","null","95","null","783","134","null","null","781","null","154","null","893","null","153","null","514","null","110","null","220","null","73","null","237","81","null","null","153","55","null","null",
"0500000US06013","Contra Costa County, California","375855","null","1770","null","14890","null","794","null","13673","null","894","null","12990","null","790","null","13730","840","null","null","12437","816","null","null","13648","null","728","null","12911","null","916","null","13461","null","857","null","12369","null","730","null","24997","1036","null","null","34462","null","1370","null","47110","null","1534","null","39836","null","1280","null","27903","null","1282","null","37429","1336","null","null","44009","1260","null","null",
"0500000US06015","Del Norte County, California","9593","null","303","null","892","null","196","null","1085","null","221","null","619","null","184","null","629","176","null","null","530","159","null","null","741","null","175","null","446","null","124","null","294","null","100","null","297","null","92","null","846","209","null","null","994","null","206","null","872","null","184","null","698","null","191","null","267","null","93","null","211","79","null","null","172","86","null","null",
"0500000US06017","El Dorado County, California","67885","null","763","null","2825","null","366","null","2703","null","364","null","2394","null","345","null","2836","373","null","null","2805","347","null","null","3286","null","432","null","2980","null","417","null","2461","null","282","null","2534","null","342","null","5164","506","null","null","6355","null","555","null","9027","null","622","null","6869","null","592","null","4932","null","408","null","5338","438","null","null","5376","462","null","null",
