"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"0500000US06001","Alameda County, California","551734","1946","null","null","29627","null","1170","null","26326","null","1030","null","21087","1091","null","null","21756","null","979","null","20499","null","1018","null","19326","null","897","null","18889","null","911","null","19735","1024","null","null","17017","803","null","null","37012","null","1266","null","48173","1414","null","null","66296","1606","null","null","56486","null","1500","null","39123","1269","null","null","50614","null","1369","null","59768","null","1420","null",
"0500000US06003","Alpine County, California","377","67","null","null","19","null","13","null","16","null","12","null","25","20","null","null","29","null","20","null","12","null","11","null","10","null","9","null","10","null","7","null","18","16","null","null","5","7","null","null","30","null","22","null","71","36","null","null","42","26","null","null","24","null","18","null","39","19","null","null","20","null","18","null","7","null","7","null",
"0500000US06005","Amador County, California","13939","333","null","null","872","null","202","null","708","null","189","null","876","242","null","null","801","null","163","null","822","null","180","null","726","null","181","null","714","null","176","null","508","143","null","null","586","169","null","null","1006","null","212","null","1372","250","null","null","2017","299","null","null","1153","null","246","null","699","177","null","null","583","null","150","null","496","null","147","null",
"0500000US06007","Butte County, California","85215","881","null","null","6751","null","483","null","6478","null","504","null","6374","571","null","null","5872","null","531","null","5078","null","504","null","5079","null","553","null","4368","null","484","null","4048","459","null","null","3114","385","null","null","6970","null","493","null","8107","564","null","null","8819","601","null","null","5552","null","414","null","3304","387","null","null","2891","null","330","null","2410","null","328","null",
"0500000US06009","Calaveras County, California","18608","488","null","null","1112","null","259","null","1009","null","246","null","1167","279","null","null","773","null","167","null","1013","null","247","null","842","null","196","null","887","null","239","null","915","216","null","null","765","223","null","null","1640","null","297","null","1813","300","null","null","2419","402","null","null","1737","null","276","null","966","242","null","null","907","null","195","null","643","null","184","null",
"0500000US06011","Colusa County, California","6912","183","null","null","318","null","88","null","421","null","118","null","292","90","null","null","364","null","111","null","542","null","141","null","464","null","147","null","248","null","85","null","411","112","null","null","361","88","null","null","681","null","129","null","751","141","null","null","910","166","null","null","486","null","106","null","207","79","null","null","273","null","87","null","183","null","57","null",
"0500000US06013","Contra Costa County, California","380183","1319","null","null","14898","null","883","null","13846","null","889","null","13232","978","null","null","13396","null","848","null","12432","null","716","null","13405","null","853","null","13178","null","623","null","13300","817","null","null","12742","811","null","null","24481","null","1205","null","35065","1092","null","null","46687","1555","null","null","39810","null","1542","null","29951","1173","null","null","38058","null","1351","null","45702","null","1187","null",
"0500000US06015","Del Norte County, California","9527","369","null","null","964","null","218","null","1028","null","220","null","689","169","null","null","626","null","163","null","501","null","124","null","532","null","163","null","476","null","148","null","326","108","null","null","338","113","null","null","701","null","175","null","1103","266","null","null","919","191","null","null","683","null","183","null","281","81","null","null","167","null","78","null","193","null","96","null",
"0500000US06017","El Dorado County, California","67220","856","null","null","2928","null","308","null","2956","null","419","null","2477","356","null","null","2857","null","402","null","2928","null","378","null","3069","null","390","null","2986","null","375","null","2412","308","null","null","2291","284","null","null","5047","null","487","null","6334","495","null","null","8609","608","null","null","6672","null","508","null","4443","485","null","null","5413","null","458","null","5798","null","485","null",
"0500000US06019","Fresno County, California","292550","1334","null","null","23914","null","1078","null","20704","null","1058","null","19853","836","null","null","18721","null","803","null","17950","null","915","null","16684","null","880","null","14115","null","866","null","13851","792","null","null","11997","818","null","null","22404","null","1038","null","27784","1172","null","null","31797","1139","null","null","20200","null","949","null","11862","722","null","null","11817","null","732","null","8897","null","547","null",
"0500000US06021","Glenn County, California","9561","234","null","null","746","null","198","null","820","null","191","null","801","167","null","null","482","null","143","null","648","null","177","null","535","null","136","null","743","null","236","null","304","95","null","null","395","122","null","null","752","null","162","null","835","215","null","null","1002","186","null","null","598","null","136","null","432","158","null","null","172","null","62","null","296","null","108","null",
"0500000US06023","Humboldt County, California","53130","697","null","null","4165","null","458","null","4605","null","502","null","3543","355","null","null","3524","null","423","null","3341","null","358","null","3339","null","421","null","2961","null","339","null","2561","325","null","null","2566","292","null","null","4714","null","479","null","5164","433","null","null","5607","352","null","null","3229","null","365","null","1311","224","null","null","1385","null","199","null","1115","null","208","null",
"0500000US06025","Imperial County, California","46952","699","null","null","4244","null","431","null","4370","null","446","null","3387","387","null","null","3247","null","451","null","2735","null","381","null","2657","null","341","null","2098","null","295","null","2157","359","null","null","1668","254","null","null","3356","null","410","null","4036","427","null","null","5430","470","null","null","3115","null","404","null","1996","267","null","null","1501","null","279","null","955","null","187","null",
"0500000US06027","Inyo County, California","7891","202","null","null","364","null","75","null","818","null","170","null","483","111","null","null","409","null","117","null","610","null","146","null","403","null","104","null","408","null","110","null","395","118","null","null","356","109","null","null","409","null","125","null","889","186","null","null","992","138","null","null","609","null","138","null","261","80","null","null","285","null","71","null","200","null","75","null",
"0500000US06029","Kern County, California","257737","1392","null","null","17751","null","968","null","17727","null","884","null","15780","864","null","null","15723","null","947","null","15603","null","1000","null","13562","null","953","null","14029","null","712","null","11506","639","null","null","9727","668","null","null","19363","null","1012","null","25944","1033","null","null","30408","1240","null","null","19766","null","976","null","11252","643","null","null","11519","null","672","null","8077","null","561","null",
"0500000US06031","Kings County, California","41108","617","null","null","2891","null","391","null","2489","null","358","null","2388","335","null","null","2625","null","348","null","2218","null","331","null","2539","null","325","null","2360","null","296","null","2043","313","null","null","2065","321","null","null","3113","null","329","null","4080","444","null","null","4862","420","null","null","2757","null","382","null","1827","333","null","null","1832","null","308","null","1019","null","203","null",
"0500000US06033","Lake County, California","26771","692","null","null","2485","null","352","null","2511","null","391","null","2537","389","null","null","2119","null","337","null","1818","null","326","null","1637","null","291","null","1250","null","262","null","1216","242","null","null","1233","240","null","null","1944","null","368","null","2235","400","null","null","2488","371","null","null","1665","null","326","null","681","187","null","null","535","null","154","null","417","null","152","null",
"0500000US06035","Lassen County, California","9821","441","null","null","776","null","214","null","623","null","110","null","398","97","null","null","481","null","127","null","656","null","173","null","408","null","99","null","335","null","129","null","490","155","null","null","447","123","null","null","769","null","135","null","1305","223","null","null","1313","230","null","null","737","null","164","null","484","119","null","null","420","null","110","null","179","null","87","null",
"0500000US06037","Los Angeles County, California","3242391","5245","null","null","212332","null","3211","null","189719","null","2649","null","176592","2836","null","null","168723","null","2639","null","157137","null","2547","null","155804","null","2948","null","143355","null","2047","null","141637","2745","null","null","123248","2630","null","null","239617","null","3240","null","302327","3223","null","null","380020","3899","null","null","268317","null","3208","null","170260","2573","null","null","193623","null","2787","null","219680","null","2796","null",
"0500000US06039","Madera County, California","42723","729","null","null","3325","null","410","null","2173","null","283","null","2782","406","null","null","2810","null","397","null","2814","null","373","null","2489","null","340","null","2404","null","394","null","2382","317","null","null","1856","331","null","null","3657","null","433","null","4753","505","null","null","4253","489","null","null","3087","null","407","null","1775","260","null","null","1269","null","208","null","894","null","177","null",
"0500000US06041","Marin County, California","103034","765","null","null","3717","null","403","null","3858","null","459","null","3469","361","null","null","3453","null","489","null","2809","null","398","null","3220","null","421","null","3460","null","408","null","3196","440","null","null","2906","342","null","null","5694","null","553","null","7599","614","null","null","11418","749","null","null","10211","null","636","null","7063","560","null","null","10767","null","703","null","20194","null","654","null",
"0500000US06043","Mariposa County, California","7289","369","null","null","585","null","162","null","353","null","131","null","530","144","null","null","545","null","162","null","212","null","90","null","331","null","107","null","396","null","152","null","370","122","null","null","273","104","null","null","544","null","164","null","712","175","null","null","863","160","null","null","760","null","177","null","391","130","null","null","243","null","108","null","181","null","67","null",
"0500000US06045","Mendocino County, California","33693","573","null","null","2442","null","345","null","3097","null","376","null","2457","340","null","null","2151","null","298","null","2100","null","334","null","2365","null","323","null","1264","null","244","null","1578","254","null","null","1404","244","null","null","3121","null","408","null","3490","386","null","null","3151","381","null","null","1967","null","290","null","1383","277","null","null","913","null","196","null","810","null","192","null",
"0500000US06047","Merced County, California","76516","766","null","null","5278","null","490","null","5747","null","576","null","5239","502","null","null","5378","null","469","null","4988","null","549","null","4969","null","508","null","4162","null","444","null","3840","414","null","null","3234","392","null","null","6512","null","463","null","7444","562","null","null","7947","638","null","null","4486","null","463","null","2908","371","null","null","2234","null","284","null","2150","null","289","null",
"0500000US06049","Modoc County, California","3893","207","null","null","415","null","118","null","251","null","100","null","225","91","null","null","406","null","135","null","327","null","108","null","198","null","79","null","238","null","99","null","186","89","null","null","205","108","null","null","196","null","84","null","377","119","null","null","347","121","null","null","334","null","127","null","141","77","null","null","10","null","16","null","37","null","42","null",
"0500000US06051","Mono County, California","5160","408","null","null","84","null","57","null","309","null","150","null","175","91","null","null","115","null","71","null","222","null","128","null","295","null","138","null","466","null","169","null","164","78","null","null","214","129","null","null","409","null","138","null","698","191","null","null","969","277","null","null","469","null","213","null","343","138","null","null","115","null","64","null","113","null","107","null",
"0500000US06053","Monterey County, California","125115","1151","null","null","5823","null","596","null","5354","null","434","null","5619","485","null","null","6536","null","572","null","6095","null","504","null","6194","null","582","null","6364","null","523","null","5745","447","null","null","5330","425","null","null","10824","null","625","null","13054","668","null","null","16149","736","null","null","10746","null","679","null","6924","528","null","null","7272","null","543","null","7086","null","462","null",
"0500000US06055","Napa County, California","49631","460","null","null","1714","null","251","null","2105","null","297","null","1701","219","null","null","2433","null","271","null","1762","null","262","null","1965","null","263","null","1915","null","279","null","2071","309","null","null","2264","287","null","null","3602","null","341","null","4597","419","null","null","6723","533","null","null","5417","null","480","null","3307","355","null","null","3690","null","358","null","4365","null","358","null",
"0500000US06057","Nevada County, California","40838","676","null","null","1682","null","303","null","2139","null","396","null","2019","343","null","null","2121","null","302","null","2074","null","329","null","2475","null","341","null","1729","null","269","null","1942","278","null","null","1876","352","null","null","3308","null","349","null","4080","476","null","null","5333","452","null","null","3669","null","484","null","2208","316","null","null","2390","null","304","null","1793","null","293","null",
"0500000US06059","Orange County, California","1002285","1889","null","null","43966","null","1392","null","34301","null","1134","null","35442","1290","null","null","37223","null","1217","null","37513","null","1206","null","37418","null","1209","null","36582","null","1277","null","36469","1335","null","null","34608","1196","null","null","70171","null","1660","null","91405","1948","null","null","131486","2638","null","null","103122","null","1838","null","74465","1907","null","null","91544","null","2184","null","106570","null","2040","null",
