"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"0500000US06001","Alameda County, California","558907","null","1624","null","29499","null","1128","null","25422","null","1140","null","20498","null","898","null","22349","null","921","null","19378","null","991","null","19640","null","1041","null","18657","null","903","null","19482","null","1034","null","17017","800","null","null","36547","1335","null","null","48886","null","1353","null","66736","1587","null","null","57621","null","1746","null","40152","1022","null","null","52801","null","1346","null","64222","null","1495","null",
"0500000US06003","Alpine County, California","358","null","62","null","24","null","14","null","28","null","23","null","34","null","23","null","28","null","18","null","16","null","11","null","17","null","12","null","9","null","10","null","10","null","9","null","4","5","null","null","34","24","null","null","54","null","26","null","30","17","null","null","14","null","10","null","26","15","null","null","20","null","12","null","10","null","9","null",
"0500000US06005","Amador County, California","13925","null","456","null","926","null","268","null","604","null","189","null","860","null","233","null","865","null","191","null","656","null","173","null","545","null","145","null","700","null","174","null","613","null","177","null","686","193","null","null","1017","244","null","null","1457","null","220","null","1974","326","null","null","1332","null","313","null","671","171","null","null","476","null","182","null","543","null","178","null",
"0500000US06007","Butte County, California","85318","null","841","null","7162","null","545","null","6706","null","531","null","6226","null","573","null","5604","null","523","null","4644","null","440","null","5038","null","499","null","4407","null","485","null","4097","null","393","null","3471","380","null","null","6827","540","null","null","7772","null","547","null","8748","567","null","null","5589","null","426","null","3499","376","null","null","3148","null","352","null","2380","null","368","null",
"0500000US06009","Calaveras County, California","18060","null","399","null","1014","null","246","null","1158","null","308","null","1095","null","256","null","897","null","193","null","966","null","186","null","911","null","221","null","808","null","201","null","916","null","223","null","674","155","null","null","1486","256","null","null","1643","null","324","null","2149","320","null","null","1737","null","297","null","1025","222","null","null","959","null","189","null","622","null","163","null",
"0500000US06011","Colusa County, California","6966","null","166","null","303","null","111","null","381","null","134","null","298","null","96","null","360","null","113","null","460","null","111","null","420","null","130","null","304","null","97","null","394","null","115","null","380","117","null","null","747","129","null","null","823","null","138","null","964","164","null","null","503","null","111","null","156","66","null","null","288","null","100","null","185","null","76","null",
"0500000US06013","Contra Costa County, California","384646","null","1380","null","15461","null","748","null","14085","null","783","null","13400","null","772","null","13968","null","815","null","12372","null","702","null","13472","null","919","null","12764","null","805","null","12906","null","775","null","12682","1004","null","null","24685","1169","null","null","35275","null","1224","null","47311","1373","null","null","40366","null","1303","null","30172","1071","null","null","37915","null","1474","null","47812","null","1319","null",
"0500000US06015","Del Norte County, California","9420","null","344","null","945","null","209","null","938","null","188","null","895","null","207","null","483","null","120","null","500","null","156","null","432","null","130","null","453","null","126","null","352","null","87","null","409","136","null","null","840","178","null","null","905","null","217","null","934","208","null","null","701","null","152","null","240","85","null","null","188","null","86","null","205","null","92","null",
"0500000US06017","El Dorado County, California","67086","null","889","null","2926","null","469","null","2897","null","402","null","2599","null","394","null","2917","null","360","null","2756","null","353","null","3185","null","376","null","2874","null","360","null","2228","null","318","null","2189","300","null","null","4675","573","null","null","6574","null","537","null","8311","637","null","null","6685","null","522","null","4580","392","null","null","5486","null","421","null","6204","null","412","null",
