"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"0500000US06001","Alameda County, California","564293","1576","null","null","28717","973","null","null","24566","null","1002","null","19440","888","null","null","20781","null","1022","null","18185","null","944","null","18747","803","null","null","18175","857","null","null","18632","888","null","null","17294","null","825","null","35023","null","1300","null","47856","1327","null","null","67428","1762","null","null","57480","1402","null","null","42402","null","1299","null","56858","null","1293","null","72709","null","1407","null",
"0500000US06003","Alpine County, California","343","69","null","null","22","15","null","null","25","null","20","null","29","22","null","null","18","null","16","null","9","null","9","null","10","9","null","null","7","6","null","null","13","10","null","null","0","null","12","null","29","null","23","null","61","32","null","null","33","18","null","null","34","23","null","null","18","null","12","null","9","null","8","null","26","null","18","null",
"0500000US06005","Amador County, California","14248","470","null","null","801","177","null","null","705","null","178","null","829","198","null","null","839","null","162","null","657","null","164","null","768","178","null","null","656","130","null","null","497","129","null","null","703","null","188","null","1053","null","255","null","1828","267","null","null","2016","315","null","null","1136","230","null","null","763","null","168","null","403","null","116","null","594","null","159","null",
"0500000US06007","Butte County, California","85505","991","null","null","7309","590","null","null","6537","null","555","null","5691","438","null","null","5337","null","495","null","4806","null","519","null","5216","508","null","null","4188","394","null","null","4188","437","null","null","3436","null","384","null","6544","null","533","null","7973","539","null","null","8968","556","null","null","5548","434","null","null","3450","null","370","null","3564","null","345","null","2750","null","327","null",
"0500000US06009","Calaveras County, California","17713","499","null","null","863","197","null","null","1010","null","250","null","1106","246","null","null","969","null","215","null","1066","null","251","null","940","227","null","null","774","203","null","null","886","241","null","null","745","null","195","null","1257","null","270","null","1509","284","null","null","2087","318","null","null","1633","272","null","null","1135","null","245","null","955","null","205","null","778","null","203","null",
"0500000US06011","Colusa County, California","6962","200","null","null","271","92","null","null","331","null","106","null","297","97","null","null","397","null","116","null","340","null","108","null","369","111","null","null","334","81","null","null","363","108","null","null","398","null","112","null","714","null","155","null","846","153","null","null","983","167","null","null","548","128","null","null","154","null","64","null","387","null","94","null","230","null","78","null",
"0500000US06013","Contra Costa County, California","387540","1199","null","null","15082","805","null","null","12997","null","855","null","12404","765","null","null","13217","null","764","null","11644","null","755","null","13480","838","null","null","11826","812","null","null","12851","766","null","null","12422","null","680","null","25197","null","1067","null","35549","1241","null","null","47864","1539","null","null","40984","882","null","null","30195","null","1298","null","39034","null","1085","null","52794","null","1238","null",
"0500000US06015","Del Norte County, California","9443","359","null","null","941","190","null","null","881","null","195","null","805","189","null","null","452","null","134","null","531","null","137","null","486","133","null","null","376","123","null","null","426","118","null","null","357","null","117","null","918","null","217","null","932","238","null","null","959","209","null","null","652","165","null","null","243","null","87","null","266","null","105","null","218","null","88","null",
"0500000US06017","El Dorado County, California","67528","668","null","null","2648","361","null","null","2866","null","342","null","2429","343","null","null","2832","null","394","null","2825","null","331","null","2921","374","null","null","3063","417","null","null","2052","271","null","null","2330","null","394","null","4530","null","418","null","6246","432","null","null","8405","593","null","null","6998","473","null","null","4933","null","400","null","5690","null","453","null","6760","null","559","null",
