"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"0500000US06001","Alameda County, California","569070","1516","null","null","26579","null","968","null","22835","null","784","null","17778","877","null","null","19344","942","null","null","17054","980","null","null","18334","null","832","null","17421","null","1014","null","16722","786","null","null","17061","766","null","null","33265","null","1222","null","46396","null","1412","null","67750","null","1653","null","57958","1565","null","null","44877","1293","null","null","62364","null","1417","null","83332","null","1591","null",
"0500000US06003","Alpine County, California","304","57","null","null","10","null","9","null","25","null","21","null","12","13","null","null","14","10","null","null","12","11","null","null","7","null","7","null","18","null","10","null","10","10","null","null","5","8","null","null","16","null","10","null","63","null","31","null","21","null","15","null","42","23","null","null","19","13","null","null","4","null","6","null","26","null","20","null",
"0500000US06005","Amador County, California","14185","362","null","null","606","null","156","null","627","null","213","null","780","212","null","null","845","169","null","null","730","193","null","null","792","null","181","null","557","null","161","null","465","134","null","null","655","177","null","null","932","null","192","null","1904","null","250","null","1980","null","250","null","1335","302","null","null","757","160","null","null","516","null","136","null","704","null","218","null",
"0500000US06007","Butte County, California","86167","856","null","null","6902","null","587","null","6692","null","526","null","5984","559","null","null","4903","436","null","null","4363","454","null","null","4768","null","411","null","4138","null","488","null","3982","447","null","null","3995","493","null","null","6574","null","512","null","8293","null","668","null","9117","null","621","null","5873","477","null","null","3723","403","null","null","3611","null","396","null","3249","null","383","null",
"0500000US06009","Calaveras County, California","17812","489","null","null","868","null","212","null","991","null","234","null","1000","251","null","null","940","215","null","null","1067","236","null","null","804","null","215","null","721","null","192","null","1044","247","null","null","639","172","null","null","1432","null","240","null","1319","null","267","null","2399","null","318","null","1563","263","null","null","979","235","null","null","1234","null","246","null","812","null","179","null",
"0500000US06011","Colusa County, California","7047","174","null","null","287","null","86","null","398","null","118","null","260","88","null","null","431","118","null","null","340","106","null","null","387","null","131","null","314","null","95","null","342","102","null","null","396","105","null","null","546","null","133","null","918","null","223","null","1064","null","190","null","443","114","null","null","248","79","null","null","426","null","107","null","247","null","84","null",
"0500000US06013","Contra Costa County, California","389597","1368","null","null","14949","null","802","null","11889","null","789","null","11451","692","null","null","12253","792","null","null","11910","751","null","null","12219","null","921","null","11878","null","753","null","12282","690","null","null","11954","894","null","null","23485","null","872","null","33397","null","1168","null","48492","null","1655","null","41620","1374","null","null","31060","1226","null","null","40972","null","1305","null","59786","null","1315","null",
"0500000US06015","Del Norte County, California","9683","318","null","null","1116","null","221","null","846","null","176","null","807","179","null","null","442","131","null","null","561","166","null","null","567","null","121","null","399","null","113","null","363","131","null","null","279","94","null","null","946","null","173","null","870","null","215","null","1155","null","245","null","618","162","null","null","250","87","null","null","259","null","111","null","205","null","73","null",
"0500000US06017","El Dorado County, California","68084","749","null","null","2762","null","393","null","2711","null","410","null","2775","362","null","null","2889","412","null","null","2517","386","null","null","2559","null","345","null","2955","null","412","null","2172","292","null","null","1989","284","null","null","4705","null","472","null","6052","null","551","null","8314","null","570","null","7307","570","null","null","4887","428","null","null","6085","null","421","null","7405","null","514","null",
