"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"0500000US06001","Alameda County, California","572870","1547","null","null","24255","1016","null","null","21621","914","null","null","15842","834","null","null","17881","1007","null","null","16424","762","null","null","17541","940","null","null","16042","931","null","null","15373","null","831","null","15907","null","768","null","32350","1091","null","null","44380","null","1300","null","66253","null","1568","null","57461","null","1563","null","47003","null","1358","null","67134","1522","null","null","97403","null","1758","null",
"0500000US06003","Alpine County, California","299","67","null","null","11","9","null","null","20","19","null","null","9","13","null","null","13","13","null","null","7","8","null","null","25","20","null","null","14","11","null","null","12","null","13","null","11","null","19","null","23","15","null","null","28","null","13","null","27","null","20","null","37","null","22","null","14","null","17","null","26","16","null","null","22","null","13","null",
"0500000US06005","Amador County, California","14090","432","null","null","593","149","null","null","550","159","null","null","743","166","null","null","736","192","null","null","834","191","null","null","742","192","null","null","648","176","null","null","555","null","164","null","510","null","158","null","984","187","null","null","1776","null","292","null","1948","null","295","null","1286","null","238","null","869","null","198","null","591","144","null","null","725","null","205","null",
"0500000US06007","Butte County, California","86797","860","null","null","6590","512","null","null","6413","596","null","null","5995","595","null","null","4665","512","null","null","4495","441","null","null","4269","429","null","null","4294","484","null","null","3898","null","407","null","3960","null","417","null","6486","482","null","null","7867","null","601","null","9407","null","712","null","6554","null","508","null","4004","null","443","null","4115","410","null","null","3785","null","427","null",
"0500000US06009","Calaveras County, California","17417","434","null","null","753","218","null","null","792","235","null","null","888","203","null","null","793","178","null","null","888","207","null","null","912","203","null","null","763","151","null","null","938","null","252","null","774","null","180","null","1476","297","null","null","1442","null","278","null","2241","null","377","null","1397","null","278","null","1161","null","215","null","1375","220","null","null","824","null","199","null",
"0500000US06011","Colusa County, California","7113","174","null","null","252","93","null","null","363","121","null","null","340","124","null","null","550","138","null","null","326","107","null","null","409","132","null","null","295","101","null","null","393","null","124","null","296","null","109","null","474","122","null","null","872","null","165","null","1073","null","198","null","499","null","102","null","282","null","92","null","398","103","null","null","291","null","88","null",
"0500000US06013","Contra Costa County, California","392277","1405","null","null","13870","813","null","null","11757","890","null","null","10198","713","null","null","11218","777","null","null","11477","764","null","null","11037","752","null","null","11248","829","null","null","11813","null","852","null","11773","null","646","null","22506","906","null","null","32178","null","1273","null","48475","null","1419","null","41597","null","1347","null","32747","null","1306","null","43088","1284","null","null","67295","null","1518","null",
"0500000US06015","Del Norte County, California","9799","314","null","null","879","189","null","null","829","169","null","null","801","200","null","null","489","158","null","null","504","155","null","null","611","183","null","null","334","131","null","null","437","null","140","null","232","null","85","null","979","209","null","null","1033","null","216","null","1140","null","235","null","678","null","173","null","256","null","86","null","281","111","null","null","316","null","120","null",
"0500000US06017","El Dorado County, California","69172","735","null","null","2593","344","null","null","2436","329","null","null","2491","350","null","null","2609","316","null","null","2520","339","null","null","2369","361","null","null","2394","379","null","null","2074","null","327","null","2366","null","329","null","4492","451","null","null","6147","null","463","null","8942","null","535","null","7723","null","591","null","5158","null","511","null","6287","518","null","null","8571","null","487","null",
"0500000US06019","Fresno County, California","304624","1206","null","null","21380","917","null","null","19989","982","null","null","16672","934","null","null","18703","1085","null","null","16529","946","null","null","17076","1104","null","null","13047","864","null","null","14570","null","846","null","11125","null","719","null","23005","1176","null","null","30086","null","1188","null","35192","null","1195","null","22645","null","1036","null","15356","null","822","null","15704","976","null","null","13545","null","780","null",
"0500000US06021","Glenn County, California","10017","225","null","null","857","262","null","null","863","189","null","null","598","157","null","null","635","177","null","null","506","150","null","null","296","119","null","null","296","114","null","null","694","null","232","null","503","null","146","null","1040","209","null","null","976","null","197","null","1070","null","213","null","613","null","138","null","548","null","159","null","334","101","null","null","188","null","65","null",
"0500000US06023","Humboldt County, California","54267","676","null","null","3804","439","null","null","4175","387","null","null","3365","346","null","null","3524","436","null","null","3402","403","null","null","2757","361","null","null","3049","372","null","null","2775","null","408","null","2418","null","271","null","4699","513","null","null","5226","null","433","null","5712","null","486","null","3647","null","369","null","2017","null","254","null","1888","288","null","null","1809","null","264","null",
"0500000US06025","Imperial County, California","44057","845","null","null","3622","478","null","null","4272","569","null","null","3046","377","null","null","2654","375","null","null","2174","372","null","null","2270","371","null","null","1862","295","null","null","1826","null","313","null","1810","null","292","null","2927","360","null","null","4159","null","478","null","5127","null","523","null","3515","null","365","null","1763","null","333","null","1709","278","null","null","1321","null","242","null",
"0500000US06027","Inyo County, California","8083","212","null","null","240","81","null","null","574","151","null","null","407","123","null","null","387","99","null","null","605","147","null","null","459","149","null","null","345","95","null","null","478","null","138","null","361","null","107","null","623","126","null","null","1044","null","223","null","910","null","135","null","697","null","146","null","388","null","97","null","300","77","null","null","265","null","72","null",
"0500000US06029","Kern County, California","267913","1297","null","null","17667","1080","null","null","15647","970","null","null","14308","972","null","null","15722","1089","null","null","14994","1013","null","null","13635","932","null","null","14003","820","null","null","12039","null","873","null","10696","null","663","null","20655","1057","null","null","26957","null","1232","null","30489","null","1328","null","22739","null","1043","null","12574","null","791","null","14736","822","null","null","11052","null","774","null",
"0500000US06031","Kings County, California","42735","539","null","null","2329","342","null","null","2404","333","null","null","2081","317","null","null","2008","321","null","null","2488","344","null","null","2197","330","null","null","2177","323","null","null","2310","null","323","null","2083","null","282","null","3183","321","null","null","4483","null","448","null","5962","null","467","null","3661","null","383","null","1949","null","311","null","1943","297","null","null","1477","null","260","null",
"0500000US06033","Lake County, California","25966","628","null","null","2374","347","null","null","2051","314","null","null","1691","296","null","null","1512","271","null","null","1745","321","null","null","1502","280","null","null","1404","285","null","null","1154","null","252","null","1049","null","217","null","1880","298","null","null","2150","null","315","null","3178","null","445","null","1641","null","278","null","968","null","203","null","959","246","null","null","708","null","166","null",
"0500000US06035","Lassen County, California","9493","354","null","null","497","139","null","null","609","141","null","null","367","101","null","null","574","129","null","null","440","116","null","null","469","105","null","null","349","88","null","null","463","null","123","null","338","null","101","null","896","160","null","null","1083","null","202","null","1171","null","194","null","887","null","164","null","501","null","120","null","599","135","null","null","250","null","89","null",
"0500000US06037","Los Angeles County, California","3306109","5533","null","null","192319","2727","null","null","168753","2965","null","null","145179","2214","null","null","151685","2317","null","null","140329","2206","null","null","142109","2355","null","null","131332","2265","null","null","136976","null","2665","null","117732","null","1972","null","230413","3252","null","null","304198","null","3758","null","396793","null","4013","null","295737","null","3444","null","204866","null","3367","null","239855","3256","null","null","307833","null","3561","null",
"0500000US06039","Madera County, California","44759","607","null","null","2850","456","null","null","2516","390","null","null","2080","335","null","null","2202","332","null","null","2275","382","null","null","2223","332","null","null","2522","359","null","null","2579","null","400","null","1998","null","371","null","3611","513","null","null","4760","null","473","null","5195","null","486","null","3823","null","449","null","2704","null","331","null","1832","291","null","null","1589","null","266","null",
"0500000US06041","Marin County, California","105258","753","null","null","3448","407","null","null","2877","331","null","null","2503","315","null","null","2971","427","null","null","2544","399","null","null","3010","403","null","null","2580","390","null","null","2544","null","373","null","2734","null","452","null","5336","549","null","null","6910","null","587","null","10687","null","746","null","9490","null","528","null","8268","null","599","null","11730","660","null","null","27626","null","805","null",
"0500000US06043","Mariposa County, California","7700","351","null","null","494","168","null","null","484","158","null","null","448","125","null","null","486","139","null","null","462","129","null","null","249","96","null","null","326","98","null","null","416","null","121","null","391","null","146","null","813","188","null","null","652","null","156","null","1060","null","195","null","461","null","111","null","412","null","112","null","384","126","null","null","162","null","74","null",
"0500000US06045","Mendocino County, California","34090","621","null","null","2289","342","null","null","2555","340","null","null","2096","253","null","null","1872","336","null","null","1887","323","null","null","2002","388","null","null","1592","260","null","null","1544","null","288","null","1441","null","261","null","2720","344","null","null","3705","null","390","null","3957","null","427","null","2518","null","341","null","1476","null","281","null","1280","210","null","null","1156","null","238","null",
"0500000US06047","Merced County, California","79606","596","null","null","5230","471","null","null","5097","550","null","null","4354","451","null","null","4273","439","null","null","4585","410","null","null","3992","477","null","null","4303","451","null","null","4519","null","456","null","3374","null","472","null","6129","617","null","null","8825","null","674","null","9425","null","618","null","5453","null","581","null","3471","null","408","null","3506","383","null","null","3070","null","333","null",
"0500000US06049","Modoc County, California","3660","173","null","null","288","103","null","null","166","65","null","null","256","95","null","null","246","96","null","null","356","122","null","null","218","95","null","null","113","56","null","null","181","null","80","null","187","null","84","null","402","116","null","null","332","null","106","null","424","null","122","null","218","null","98","null","164","null","83","null","81","38","null","null","28","null","40","null",
"0500000US06051","Mono County, California","4847","426","null","null","140","90","null","null","102","68","null","null","26","29","null","null","241","113","null","null","197","97","null","null","142","107","null","null","310","140","null","null","121","null","82","null","314","null","156","null","652","180","null","null","591","null","187","null","801","null","220","null","439","null","174","null","326","null","141","null","218","101","null","null","227","null","134","null",
"0500000US06053","Monterey County, California","126052","906","null","null","4820","429","null","null","4179","372","null","null","4128","429","null","null","5433","490","null","null","5232","476","null","null","5610","491","null","null","5159","491","null","null","5643","null","519","null","5181","null","470","null","10789","726","null","null","13467","null","706","null","17300","null","739","null","11386","null","718","null","8320","null","489","null","9041","608","null","null","10364","null","672","null",
"0500000US06055","Napa County, California","49032","491","null","null","1582","196","null","null","1465","250","null","null","1353","199","null","null","1700","234","null","null","1701","263","null","null","1518","226","null","null","1620","266","null","null","1805","null","285","null","1706","null","237","null","3297","309","null","null","4403","null","456","null","6142","null","458","null","5361","null","438","null","3917","null","336","null","4977","400","null","null","6485","null","362","null",
"0500000US06057","Nevada County, California","40904","677","null","null","2085","308","null","null","1934","349","null","null","1558","309","null","null","1905","309","null","null","2017","265","null","null","1658","317","null","null","1738","299","null","null","1919","null","366","null","1730","null","320","null","3007","368","null","null","3758","null","519","null","5233","null","474","null","4147","null","397","null","2505","null","335","null","2738","280","null","null","2972","null","364","null",
"0500000US06059","Orange County, California","1032373","2799","null","null","43771","1389","null","null","30304","1115","null","null","28568","1198","null","null","34267","1317","null","null","31974","1237","null","null","34070","1247","null","null","31214","1385","null","null","34300","null","1308","null","30574","null","1228","null","65187","1957","null","null","91896","null","2288","null","132431","null","2570","null","106933","null","2131","null","82232","null","1610","null","107421","2145","null","null","147231","null","2421","null",
"0500000US06061","Placer County, California","140661","914","null","null","5616","521","null","null","4796","467","null","null","4100","377","null","null","4665","421","null","null","4685","429","null","null","4942","466","null","null","4223","449","null","null","4406","null","359","null","3962","null","399","null","8586","603","null","null","13265","null","740","null","18041","null","827","null","15378","null","696","null","12369","null","767","null","15169","716","null","null","16458","null","624","null",
"0500000US06063","Plumas County, California","8047","337","null","null","402","115","null","null","610","173","null","null","381","147","null","null","480","129","null","null","288","97","null","null","432","141","null","null","346","133","null","null","485","null","149","null","358","null","127","null","649","150","null","null","849","null","191","null","1057","null","219","null","698","null","146","null","350","null","104","null","397","144","null","null","265","null","105","null",
"0500000US06065","Riverside County, California","718349","2722","null","null","39712","1388","null","null","30031","1135","null","null","30788","1385","null","null","33387","1167","null","null","32468","1083","null","null","32912","1283","null","null","30340","1224","null","null","30430","null","1082","null","26259","null","1093","null","52055","1594","null","null","72876","null","1704","null","94201","null","2192","null","70408","null","1888","null","46138","null","1337","null","51748","1389","null","null","44596","null","1325","null",
"0500000US06067","Sacramento County, California","536029","1825","null","null","29236","1151","null","null","27434","1194","null","null","21956","948","null","null","23297","1012","null","null","23270","1018","null","null","22787","980","null","null","21105","911","null","null","21966","null","1066","null","20208","null","975","null","41626","1296","null","null","52315","null","1698","null","69723","null","1836","null","50968","null","1369","null","34778","null","1277","null","40791","1208","null","null","34569","null","1088","null",
"0500000US06069","San Benito County, California","17740","181","null","null","295","101","null","null","594","177","null","null","455","117","null","null","483","144","null","null","575","158","null","null","550","138","null","null","681","169","null","null","506","null","168","null","752","null","171","null","1016","200","null","null","2182","null","286","null","2420","null","269","null","2508","null","346","null","1341","null","193","null","1766","254","null","null","1616","null","213","null",
"0500000US06071","San Bernardino County, California","630633","2099","null","null","34198","1271","null","null","31835","1294","null","null","28028","1164","null","null","31376","1404","null","null","29804","1269","null","null","28946","1288","null","null","26615","1129","null","null","28458","null","1264","null","24328","null","1039","null","51026","1685","null","null","65978","null","1953","null","83245","null","2007","null","58691","null","1848","null","37270","null","1395","null","40547","1667","null","null","30288","null","1089","null",
"0500000US06073","San Diego County, California","1118980","3147","null","null","51029","1483","null","null","39441","1480","null","null","37574","1180","null","null","40743","1549","null","null","42521","1380","null","null","41750","1373","null","null","41849","1402","null","null","41811","null","1766","null","38912","null","1631","null","78376","2026","null","null","106429","null","1913","null","144979","null","2682","null","115805","null","2288","null","81827","null","1901","null","98349","2099","null","null","117585","null","2256","null",
"0500000US06075","San Francisco County, California","359673","1844","null","null","18633","1108","null","null","18570","856","null","null","11303","775","null","null","11146","817","null","null","9470","706","null","null","9037","676","null","null","7697","635","null","null","8709","null","653","null","7497","null","611","null","14492","769","null","null","23428","null","1101","null","33637","null","1322","null","31612","null","1198","null","26904","null","1273","null","40785","1307","null","null","86753","null","1763","null",
"0500000US06077","San Joaquin County, California","226727","913","null","null","11947","693","null","null","11352","713","null","null","10502","667","null","null","11340","741","null","null","10646","668","null","null","10096","581","null","null","9756","613","null","null","10059","null","651","null","8358","null","716","null","17578","941","null","null","22439","null","896","null","28778","null","996","null","21230","null","864","null","14173","null","915","null","15258","937","null","null","13215","null","789","null",
"0500000US06079","San Luis Obispo County, California","105317","1020","null","null","5649","510","null","null","4287","494","null","null","3608","413","null","null","4307","475","null","null","3717","402","null","null","3718","411","null","null","4276","495","null","null","4265","null","478","null","3329","null","347","null","7766","600","null","null","10626","null","791","null","13799","null","806","null","11439","null","692","null","7423","null","515","null","8158","589","null","null","8950","null","635","null",
"0500000US06081","San Mateo County, California","261969","1067","null","null","7627","560","null","null","6048","546","null","null","5705","488","null","null","5962","599","null","null","6102","496","null","null","6323","590","null","null","6049","621","null","null","6560","null","582","null","5637","null","533","null","12284","819","null","null","18004","null","904","null","28976","null","1087","null","26126","null","1088","null","21178","null","930","null","32301","1113","null","null","67087","null","1239","null",
"0500000US06083","Santa Barbara County, California","144962","885","null","null","6864","553","null","null","5491","456","null","null","5008","512","null","null","5808","600","null","null","5199","460","null","null","6331","478","null","null","5660","529","null","null","5638","null","546","null","5660","null","572","null","9903","601","null","null","13874","null","841","null","18558","null","857","null","13987","null","803","null","9913","null","769","null","11941","730","null","null","15127","null","583","null",
"0500000US06085","Santa Clara County, California","635525","1810","null","null","20454","974","null","null","17520","864","null","null","14317","792","null","null","14773","777","null","null","14573","854","null","null","14703","732","null","null","14926","908","null","null","15293","null","768","null","14016","null","748","null","28824","1140","null","null","42403","null","1426","null","65389","null","1560","null","59791","null","1333","null","54878","null","1400","null","83325","1750","null","null","160340","null","2096","null",
"0500000US06087","Santa Cruz County, California","95756","961","null","null","4893","542","null","null","4046","438","null","null","3273","393","null","null","3818","450","null","null","3275","441","null","null","3459","497","null","null","2894","431","null","null","3506","null","481","null","2776","null","467","null","6636","637","null","null","7717","null","610","null","11540","null","695","null","9305","null","686","null","6350","null","505","null","8902","552","null","null","13366","null","708","null",
"0500000US06089","Shasta County, California","70473","580","null","null","4231","385","null","null","4935","471","null","null","3799","447","null","null","4058","406","null","null","3836","409","null","null","3705","401","null","null","3625","393","null","null","3578","null","419","null","2951","null","310","null","5169","419","null","null","7835","null","624","null","8110","null","561","null","5160","null","481","null","3041","null","353","null","3722","360","null","null","2718","null","268","null",
"0500000US06091","Sierra County, California","1241","141","null","null","45","49","null","null","127","73","null","null","88","71","null","null","57","41","null","null","49","24","null","null","69","39","null","null","15","16","null","null","88","null","51","null","93","null","75","null","76","50","null","null","63","null","38","null","135","null","70","null","176","null","80","null","87","null","64","null","48","28","null","null","25","null","25","null",
