"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Annotation of Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Annotation of Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Annotation of Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Annotation of Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Annotation of Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Annotation of Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Annotation of Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Annotation of Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Annotation of Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Annotation of Margin of Error!!Total:!!$30,000 to $34,999","Annotation of Estimate!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Annotation of Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Annotation of Margin of Error!!Total:!!$40,000 to $44,999","Annotation of Estimate!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Annotation of Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Annotation of Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Annotation of Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Annotation of Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Annotation of Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Annotation of Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Annotation of Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Annotation of Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Annotation of Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Annotation of Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Annotation of Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Annotation of Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Annotation of Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Annotation of Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more","Annotation of Margin of Error!!Total:!!$200,000 or more","Annotation of Estimate!!Total:!!$200,000 or more",
"0500000US06001","Alameda County, California","577177","null","1744","null","23592","null","1012","null","20319","null","908","null","15096","null","817","null","16388","null","937","null","15487","null","771","null","16268","810","null","null","14620","null","856","null","14203","697","null","null","15364","null","876","null","30977","null","1076","null","41005","null","1257","null","66584","null","1561","null","57311","null","1414","null","47160","null","1089","null","70852","null","1824","null","111951","1893","null","null",
"0500000US06003","Alpine County, California","350","null","69","null","11","null","8","null","19","null","16","null","10","null","8","null","14","null","9","null","13","null","11","null","34","23","null","null","12","null","7","null","6","8","null","null","15","null","12","null","38","null","25","null","23","null","14","null","30","null","21","null","42","null","23","null","34","null","22","null","18","null","13","null","31","18","null","null",
"0500000US06005","Amador County, California","14594","null","448","null","656","null","177","null","597","null","179","null","693","null","183","null","662","null","179","null","876","null","245","null","629","160","null","null","623","null","178","null","600","198","null","null","432","null","161","null","1113","null","235","null","1749","null","265","null","2077","null","304","null","1329","null","245","null","969","null","203","null","825","null","192","null","764","188","null","null",
"0500000US06007","Butte County, California","85320","null","891","null","5949","null","587","null","5608","null","506","null","5249","null","532","null","4395","null","436","null","4817","null","460","null","3911","494","null","null","4001","null","408","null","3224","374","null","null","3841","null","406","null","6431","null","463","null","7995","null","551","null","9753","null","645","null","6960","null","530","null","4039","null","410","null","4373","null","415","null","4774","497","null","null",
"0500000US06009","Calaveras County, California","16942","null","552","null","626","null","208","null","549","null","162","null","781","null","242","null","829","null","190","null","815","null","230","null","823","185","null","null","581","null","156","null","699","216","null","null","796","null","248","null","1623","null","281","null","1764","null","361","null","2419","null","368","null","1402","null","271","null","992","null","256","null","1302","null","236","null","941","192","null","null",
"0500000US06011","Colusa County, California","7227","null","159","null","306","null","104","null","388","null","127","null","295","null","109","null","536","null","165","null","251","null","81","null","431","126","null","null","232","null","87","null","502","138","null","null","151","null","64","null","556","null","154","null","907","null","164","null","1092","null","176","null","629","null","136","null","302","null","98","null","365","null","93","null","284","81","null","null",
"0500000US06013","Contra Costa County, California","394769","null","1262","null","13565","null","855","null","11040","null","747","null","8968","null","756","null","10337","null","786","null","10442","null","763","null","10910","684","null","null","10816","null","858","null","10261","826","null","null","10725","null","697","null","21229","null","1089","null","29982","null","1215","null","49623","null","1312","null","41386","null","1267","null","33216","null","1148","null","45573","null","1460","null","76696","1590","null","null",
"0500000US06015","Del Norte County, California","9945","null","282","null","753","null","193","null","733","null","172","null","777","null","210","null","506","null","161","null","503","null","158","null","788","185","null","null","368","null","110","null","529","182","null","null","288","null","119","null","973","null","235","null","900","null","182","null","1044","null","192","null","774","null","195","null","464","null","132","null","211","null","87","null","334","105","null","null",
"0500000US06017","El Dorado County, California","70974","null","770","null","2756","null","347","null","2494","null","369","null","2457","null","397","null","2361","null","366","null","2221","null","347","null","2333","385","null","null","2439","null","373","null","2119","317","null","null","2326","null","317","null","4463","null","495","null","6069","null","518","null","9211","null","667","null","7878","null","487","null","5548","null","492","null","7100","null","481","null","9199","530","null","null",
