"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Annotation of Margin of Error!!Total:!!Less than $10,000","Annotation of Estimate!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Estimate!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Annotation of Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Annotation of Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Annotation of Margin of Error!!Total:!!$20,000 to $24,999","Annotation of Estimate!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Annotation of Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Annotation of Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Annotation of Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Annotation of Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Estimate!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Annotation of Margin of Error!!Total:!!$40,000 to $44,999","Annotation of Estimate!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Annotation of Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Annotation of Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Annotation of Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Annotation of Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Annotation of Margin of Error!!Total:!!$60,000 to $74,999","Annotation of Estimate!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Annotation of Margin of Error!!Total:!!$75,000 to $99,999","Annotation of Estimate!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Annotation of Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Annotation of Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Annotation of Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Annotation of Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Annotation of Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Annotation of Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more","Annotation of Margin of Error!!Total:!!$200,000 or more","Annotation of Estimate!!Total:!!$200,000 or more",
"0500000US06001","Alameda County, California","573174","1395","null","null","23286","1035","null","null","18674","1070","null","null","13589","null","874","null","15459","1036","null","null","14396","null","900","null","15339","null","889","null","12749","861","null","null","14792","1014","null","null","13180","null","908","null","28706","null","1230","null","40080","1577","null","null","64029","1632","null","null","56007","null","1573","null","46561","null","1484","null","72187","null","1734","null","124140","2018","null","null",
"0500000US06003","Alpine County, California","397","79","null","null","6","6","null","null","5","5","null","null","13","null","11","null","14","8","null","null","18","null","17","null","30","null","20","null","9","7","null","null","5","5","null","null","12","null","10","null","45","null","29","null","29","18","null","null","41","21","null","null","52","null","28","null","61","null","42","null","28","null","23","null","29","22","null","null",
"0500000US06005","Amador County, California","14844","451","null","null","691","214","null","null","620","194","null","null","553","null","181","null","808","327","null","null","771","null","209","null","700","null","191","null","644","240","null","null","569","163","null","null","354","null","139","null","1148","null","322","null","1721","382","null","null","2048","369","null","null","1456","null","256","null","942","null","259","null","837","null","216","null","982","242","null","null",
"0500000US06007","Butte County, California","83879","885","null","null","5540","599","null","null","5272","640","null","null","4582","null","485","null","4937","658","null","null","4536","null","467","null","4093","null","573","null","3866","444","null","null","2979","344","null","null","3036","null","327","null","5815","null","523","null","7705","666","null","null","9810","738","null","null","7005","null","592","null","4313","null","550","null","5136","null","594","null","5254","567","null","null",
"0500000US06009","Calaveras County, California","16958","557","null","null","671","213","null","null","630","210","null","null","725","null","228","null","682","220","null","null","753","null","207","null","862","null","250","null","555","170","null","null","619","180","null","null","863","null","271","null","1558","null","343","null","1519","361","null","null","2484","334","null","null","1589","null","321","null","1058","null","311","null","1367","null","306","null","1023","230","null","null",
"0500000US06011","Colusa County, California","7329","163","null","null","349","91","null","null","488","164","null","null","293","null","100","null","504","168","null","null","284","null","102","null","439","null","125","null","238","103","null","null","319","105","null","null","307","null","159","null","474","null","147","null","973","187","null","null","920","197","null","null","515","null","127","null","483","null","181","null","390","null","108","null","353","146","null","null",
"0500000US06013","Contra Costa County, California","398299","1065","null","null","13499","971","null","null","11015","1039","null","null","8097","null","658","null","9679","842","null","null","9059","null","629","null","11158","null","1129","null","10098","790","null","null","9688","821","null","null","9703","null","738","null","21087","null","1290","null","29776","1260","null","null","48894","1625","null","null","41087","null","1464","null","34030","null","1550","null","49614","null","1526","null","81815","1872","null","null",
"0500000US06015","Del Norte County, California","9805","313","null","null","645","182","null","null","745","224","null","null","611","null","173","null","421","161","null","null","586","null","186","null","578","null","155","null","492","188","null","null","540","157","null","null","286","null","122","null","670","null","196","null","867","209","null","null","1216","253","null","null","899","null","217","null","543","null","186","null","357","null","136","null","349","151","null","null",
"0500000US06017","El Dorado County, California","73078","874","null","null","2786","417","null","null","2525","389","null","null","2768","null","547","null","2247","331","null","null","2532","null","482","null","2244","null","350","null","2090","356","null","null","2586","429","null","null","2371","null","453","null","4514","null","478","null","6390","756","null","null","9069","687","null","null","7831","null","635","null","5751","null","549","null","7089","null","645","null","10285","664","null","null",
"0500000US06019","Fresno County, California","310097","1237","null","null","20530","1117","null","null","17151","1107","null","null","14705","null","1017","null","17687","1253","null","null","14528","null","1125","null","15413","null","1094","null","12287","1010","null","null","14552","941","null","null","11482","null","833","null","21993","null","1223","null","31165","1533","null","null","37369","1345","null","null","28032","null","1082","null","16051","null","913","null","19388","null","1202","null","17764","998","null","null",
"0500000US06021","Glenn County, California","10216","234","null","null","564","172","null","null","853","244","null","null","541","null","180","null","590","194","null","null","438","null","146","null","201","null","98","null","508","175","null","null","601","196","null","null","662","null","245","null","969","null","203","null","986","223","null","null","1275","235","null","null","865","null","215","null","515","null","163","null","353","null","130","null","295","89","null","null",
"0500000US06023","Humboldt County, California","54120","782","null","null","3700","457","null","null","4073","463","null","null","2863","null","482","null","3318","533","null","null","3592","null","482","null","2647","null","405","null","2756","416","null","null","2368","341","null","null","2065","null","347","null","3609","null","372","null","5312","591","null","null","6084","558","null","null","4038","null","431","null","2666","null","476","null","2572","null","357","null","2457","385","null","null",
"0500000US06025","Imperial County, California","45768","812","null","null","3433","594","null","null","3921","587","null","null","3257","null","532","null","3151","614","null","null","1977","null","412","null","2094","null","408","null","2425","409","null","null","2170","414","null","null","2020","null","359","null","2776","null","395","null","4012","462","null","null","5642","661","null","null","3854","null","518","null","2061","null","347","null","1659","null","280","null","1316","270","null","null",
"0500000US06027","Inyo County, California","7954","238","null","null","322","108","null","null","469","146","null","null","306","null","111","null","424","116","null","null","374","null","110","null","526","null","128","null","362","109","null","null","367","119","null","null","258","null","76","null","598","null","150","null","1092","255","null","null","993","184","null","null","713","null","148","null","434","null","121","null","456","null","165","null","260","71","null","null",
"0500000US06029","Kern County, California","273556","1327","null","null","17563","1186","null","null","16112","1063","null","null","13422","null","1029","null","14316","980","null","null","13800","null","1162","null","14247","null","1011","null","12639","859","null","null","12116","921","null","null","11425","null","914","null","20331","null","1126","null","27077","1516","null","null","34499","1815","null","null","22716","null","1411","null","14697","null","1000","null","15873","null","881","null","12723","781","null","null",
"0500000US06031","Kings County, California","43604","423","null","null","2382","406","null","null","1517","317","null","null","1905","null","328","null","1623","302","null","null","2136","null","362","null","2109","null","374","null","1765","369","null","null","2386","352","null","null","2004","null","370","null","3232","null","424","null","5230","555","null","null","6453","582","null","null","4232","null","542","null","2281","null","361","null","2578","null","354","null","1771","268","null","null",
"0500000US06033","Lake County, California","25508","604","null","null","1628","309","null","null","1897","342","null","null","1458","null","340","null","1201","303","null","null","1437","null","273","null","1490","null","333","null","1307","287","null","null","1316","285","null","null","1264","null","326","null","2155","null","428","null","2085","305","null","null","2799","402","null","null","1615","null","308","null","1377","null","306","null","1266","null","334","null","1213","295","null","null",
"0500000US06035","Lassen County, California","9172","356","null","null","333","102","null","null","465","146","null","null","480","null","123","null","519","128","null","null","408","null","113","null","452","null","123","null","447","119","null","null","439","140","null","null","446","null","112","null","836","null","173","null","1130","198","null","null","1170","196","null","null","923","null","183","null","467","null","137","null","446","null","120","null","211","76","null","null",
