"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Annotation of Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Annotation of Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Estimate!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Annotation of Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Annotation of Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Annotation of Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Annotation of Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Annotation of Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Annotation of Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Annotation of Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Annotation of Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Estimate!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Annotation of Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Annotation of Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Annotation of Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Annotation of Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Annotation of Margin of Error!!Total:!!$50,000 to $59,999","Annotation of Estimate!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Annotation of Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Annotation of Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Annotation of Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Annotation of Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Annotation of Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Annotation of Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Annotation of Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Annotation of Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Annotation of Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Annotation of Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more","Annotation of Margin of Error!!Total:!!$200,000 or more","Annotation of Estimate!!Total:!!$200,000 or more",
"0500000US06001","Alameda County, California","581683","null","1880","null","23093","null","1288","null","17324","1059","null","null","12730","null","832","null","14392","null","1059","null","14465","null","961","null","13817","null","902","null","12488","784","null","null","14936","null","1035","null","11161","null","864","null","28272","1338","null","null","38199","null","1520","null","61409","null","1809","null","54942","null","1630","null","46844","null","1549","null","73965","null","1815","null","143646","1915","null","null",
"0500000US06003","Alpine County, California","434","null","91","null","5","null","6","null","4","4","null","null","18","null","13","null","12","null","9","null","19","null","21","null","33","null","25","null","6","7","null","null","8","null","8","null","9","null","10","null","48","26","null","null","28","null","24","null","39","null","28","null","37","null","25","null","71","null","40","null","58","null","38","null","39","31","null","null",
"0500000US06005","Amador County, California","15394","null","447","null","769","null","263","null","672","228","null","null","462","null","143","null","633","null","174","null","583","null","165","null","553","null","171","null","759","259","null","null","567","null","184","null","610","null","174","null","1207","305","null","null","1316","null","255","null","2163","null","377","null","1685","null","298","null","1283","null","338","null","1042","null","244","null","1090","254","null","null",
"0500000US06007","Butte County, California","85292","null","767","null","5122","null","549","null","5042","672","null","null","3658","null","422","null","4485","null","545","null","4607","null","594","null","3871","null","583","null","3896","448","null","null","3377","null","432","null","2702","null","332","null","5953","632","null","null","7778","null","701","null","10302","null","670","null","7438","null","597","null","4894","null","508","null","5806","null","673","null","6361","752","null","null",
"0500000US06009","Calaveras County, California","16809","null","529","null","853","null","232","null","632","240","null","null","560","null","205","null","724","null","199","null","584","null","173","null","638","null","175","null","645","235","null","null","563","null","195","null","773","null","225","null","1290","259","null","null","1587","null","317","null","2488","null","440","null","1545","null","316","null","1090","null","285","null","1467","null","297","null","1370","310","null","null",
"0500000US06011","Colusa County, California","7303","null","146","null","451","null","139","null","351","144","null","null","366","null","138","null","503","null","178","null","191","null","89","null","384","null","133","null","404","107","null","null","241","null","106","null","359","null","155","null","336","86","null","null","779","null","171","null","1018","null","217","null","570","null","138","null","493","null","189","null","363","null","115","null","494","152","null","null",
"0500000US06013","Contra Costa County, California","405106","null","1075","null","14340","null","1064","null","10199","822","null","null","7465","null","742","null","8203","null","801","null","8990","null","867","null","10194","null","940","null","9138","773","null","null","9893","null","846","null","8775","null","884","null","20620","1196","null","null","28957","null","1259","null","45903","null","1775","null","42308","null","1734","null","34654","null","1577","null","51734","null","1860","null","93733","1731","null","null",
"0500000US06015","Del Norte County, California","9531","null","284","null","514","null","171","null","796","226","null","null","474","null","140","null","443","null","174","null","443","null","133","null","403","null","136","null","452","177","null","null","615","null","165","null","319","null","134","null","796","162","null","null","925","null","228","null","1194","null","255","null","835","null","230","null","654","null","230","null","328","null","106","null","340","170","null","null",
"0500000US06017","El Dorado County, California","74535","null","913","null","2910","null","417","null","2208","354","null","null","2648","null","518","null","2215","null","434","null","2580","null","524","null","1996","null","395","null","1818","316","null","null","2226","null","381","null","1918","null","409","null","4399","578","null","null","6540","null","661","null","9277","null","678","null","8034","null","625","null","6014","null","595","null","7637","null","665","null","12115","717","null","null",
"0500000US06019","Fresno County, California","314421","null","970","null","20464","null","1321","null","15104","889","null","null","14164","null","908","null","15058","null","1119","null","14491","null","1039","null","15160","null","1047","null","12446","743","null","null","12822","null","867","null","12915","null","955","null","22159","1167","null","null","30758","null","1326","null","37980","null","1534","null","28479","null","1280","null","19216","null","1130","null","22197","null","1171","null","21008","1171","null","null",
"0500000US06021","Glenn County, California","9753","null","267","null","605","null","156","null","581","204","null","null","411","null","144","null","501","null","164","null","544","null","193","null","252","null","104","null","527","218","null","null","510","null","170","null","422","null","170","null","721","199","null","null","1135","null","234","null","1172","null","221","null","973","null","237","null","656","null","167","null","424","null","149","null","319","84","null","null",
"0500000US06023","Humboldt County, California","53729","null","684","null","3556","null","476","null","3861","456","null","null","2547","null","430","null","2673","null","414","null","3631","null","563","null","2759","null","367","null","2273","352","null","null","2389","null","367","null","1796","null","277","null","3688","405","null","null","5307","null","638","null","6376","null","575","null","3931","null","428","null","3052","null","474","null","2896","null","366","null","2994","401","null","null",
"0500000US06025","Imperial County, California","45541","null","790","null","3371","null","527","null","3284","566","null","null","3025","null","472","null","2981","null","610","null","2229","null","355","null","1869","null","363","null","2295","435","null","null","2066","null","395","null","1971","null","409","null","3211","450","null","null","3399","null","431","null","5508","null","665","null","4374","null","667","null","2656","null","427","null","1654","null","310","null","1648","301","null","null",
"0500000US06027","Inyo County, California","7832","null","277","null","383","null","130","null","360","103","null","null","394","null","118","null","328","null","106","null","362","null","108","null","414","null","134","null","405","122","null","null","295","null","112","null","348","null","106","null","590","165","null","null","972","null","220","null","1003","null","187","null","656","null","157","null","424","null","137","null","550","null","187","null","348","85","null","null",
"0500000US06029","Kern County, California","274705","null","1373","null","16223","null","1122","null","15188","1113","null","null","11992","null","954","null","12839","null","1096","null","13698","null","1187","null","14436","null","1183","null","11621","810","null","null","12404","null","1217","null","10473","null","800","null","20622","1308","null","null","25915","null","1394","null","35379","null","1786","null","23682","null","1306","null","16062","null","1034","null","18294","null","1279","null","15877","999","null","null",
"0500000US06031","Kings County, California","43286","null","495","null","2292","null","446","null","1257","247","null","null","1754","null","394","null","1860","null","330","null","1917","null","341","null","1905","null","337","null","2161","381","null","null","1973","null","412","null","1595","null","260","null","3757","602","null","null","4662","null","580","null","6554","null","657","null","4329","null","495","null","2329","null","380","null","3120","null","410","null","1821","329","null","null",
"0500000US06033","Lake County, California","26307","null","542","null","1572","null","278","null","1641","317","null","null","1481","null","306","null","1159","null","247","null","1289","null","275","null","1397","null","311","null","1324","309","null","null","1149","null","284","null","992","null","244","null","2522","460","null","null","2130","null","353","null","3066","null","396","null","2207","null","333","null","1433","null","294","null","1373","null","333","null","1572","384","null","null",
"0500000US06035","Lassen County, California","8910","null","386","null","452","null","125","null","326","101","null","null","377","null","120","null","384","null","112","null","301","null","115","null","594","null","229","null","453","117","null","null","379","null","121","null","420","null","117","null","831","195","null","null","943","null","242","null","1287","null","246","null","943","null","182","null","504","null","128","null","437","null","125","null","279","84","null","null",
"0500000US06037","Los Angeles County, California","3342811","null","5387","null","180980","null","3750","null","142812","2810","null","null","112340","null","2741","null","121032","null","3206","null","119357","null","2551","null","122002","null","2481","null","115562","2466","null","null","116264","null","2932","null","102875","null","2471","null","216948","3094","null","null","296740","null","4539","null","414844","null","4941","null","325230","null","4641","null","237643","null","3257","null","299389","null","3720","null","418793","4962","null","null",
"0500000US06039","Madera County, California","43578","null","647","null","2347","null","439","null","1559","315","null","null","1764","null","353","null","1642","null","310","null","1945","null","358","null","1944","null","469","null","2238","400","null","null","1634","null","319","null","1632","null","322","null","3234","405","null","null","4813","null","530","null","6307","null","673","null","4189","null","556","null","3001","null","433","null","2799","null","368","null","2530","402","null","null",
"0500000US06041","Marin County, California","103751","null","697","null","3221","null","548","null","2265","410","null","null","1918","null","335","null","2414","null","373","null","2140","null","377","null","2107","null","318","null","2109","353","null","null","2469","null","357","null","1906","null","372","null","4385","476","null","null","6482","null","746","null","9752","null","693","null","8750","null","615","null","8026","null","709","null","12472","null","863","null","33335","1158","null","null",
"0500000US06043","Mariposa County, California","7588","null","335","null","413","null","131","null","392","176","null","null","321","null","106","null","471","null","147","null","582","null","232","null","465","null","162","null","378","126","null","null","245","null","102","null","340","null","124","null","683","227","null","null","685","null","189","null","874","null","215","null","485","null","136","null","429","null","119","null","556","null","169","null","269","107","null","null",
"0500000US06045","Mendocino County, California","34183","null","558","null","1789","null","378","null","2255","382","null","null","1561","null","302","null","1731","null","353","null","1802","null","289","null","1524","null","284","null","1598","348","null","null","1470","null","277","null","1507","null","369","null","2897","414","null","null","3173","null","421","null","3645","null","458","null","3425","null","416","null","1882","null","309","null","2085","null","343","null","1839","282","null","null",
"0500000US06047","Merced County, California","81618","null","674","null","4746","null","551","null","4007","499","null","null","3338","null","426","null","3908","null","466","null","3736","null","541","null","3928","null","562","null","3382","454","null","null","4071","null","590","null","3743","null","497","null","6708","624","null","null","9003","null","737","null","10665","null","900","null","7305","null","562","null","4661","null","622","null","4253","null","565","null","4164","441","null","null",
"0500000US06049","Modoc County, California","3413","null","244","null","188","null","76","null","91","42","null","null","312","null","125","null","108","null","54","null","221","null","102","null","323","null","142","null","152","89","null","null","134","null","61","null","113","null","52","null","432","131","null","null","315","null","109","null","485","null","147","null","226","null","83","null","154","null","56","null","75","null","37","null","84","54","null","null",
"0500000US06051","Mono County, California","5361","null","405","null","171","null","89","null","52","48","null","null","30","null","26","null","345","null","185","null","220","null","137","null","90","null","74","null","198","157","null","null","128","null","88","null","227","null","164","null","811","353","null","null","519","null","198","null","1154","null","292","null","668","null","281","null","170","null","90","null","228","null","116","null","350","174","null","null",
"0500000US06053","Monterey County, California","129977","null","846","null","3795","null","434","null","3279","439","null","null","3388","null","433","null","4648","null","650","null","4459","null","648","null","4821","null","584","null","4496","529","null","null","4612","null","550","null","4128","null","487","null","9119","715","null","null","12229","null","836","null","19608","null","1092","null","14004","null","885","null","9919","null","746","null","11805","null","643","null","15667","856","null","null",
"0500000US06055","Napa County, California","48745","null","544","null","1701","null","249","null","1230","225","null","null","994","null","269","null","984","null","201","null","1642","null","299","null","1503","null","342","null","1140","259","null","null","1543","null","279","null","1623","null","328","null","2735","306","null","null","3600","null","377","null","6182","null","422","null","5302","null","449","null","3861","null","407","null","5960","null","517","null","8745","592","null","null",
"0500000US06057","Nevada County, California","40877","null","653","null","1836","null","309","null","1545","310","null","null","1464","null","298","null","1485","null","309","null","1889","null","349","null","1598","null","307","null","1372","273","null","null","1652","null","387","null","1490","null","291","null","2653","471","null","null","3537","null","425","null","5187","null","511","null","3942","null","492","null","2836","null","387","null","3338","null","464","null","5053","435","null","null",
"0500000US06059","Orange County, California","1057592","null","2642","null","44735","null","1819","null","27205","1348","null","null","22906","null","1204","null","25553","null","1207","null","28249","null","1440","null","28638","null","1201","null","27112","1292","null","null","28160","null","1382","null","26061","null","1277","null","56606","1682","null","null","82900","null","2331","null","128247","null","2494","null","112610","null","2480","null","91636","null","2256","null","127014","null","2486","null","199960","2599","null","null",
"0500000US06061","Placer County, California","149714","null","709","null","5501","null","719","null","3586","474","null","null","3343","null","442","null","3927","null","432","null","4274","null","569","null","4106","null","504","null","4338","501","null","null","3579","null","548","null","3421","null","421","null","8121","686","null","null","12093","null","801","null","18808","null","978","null","16665","null","993","null","12433","null","655","null","18747","null","944","null","26772","1157","null","null",
"0500000US06063","Plumas County, California","8231","null","291","null","458","null","170","null","441","117","null","null","303","null","139","null","454","null","134","null","207","null","97","null","449","null","195","null","400","132","null","null","498","null","138","null","362","null","126","null","678","203","null","null","840","null","196","null","964","null","201","null","665","null","176","null","493","null","164","null","466","null","139","null","553","184","null","null",
"0500000US06065","Riverside County, California","740506","null","2031","null","35222","null","1479","null","24545","1346","null","null","25601","null","1463","null","26521","null","1357","null","27726","null","1601","null","27681","null","1338","null","25116","1281","null","null","28047","null","1240","null","25041","null","1489","null","47694","1601","null","null","72706","null","2504","null","97538","null","2141","null","77165","null","2128","null","60013","null","1839","null","66196","null","1937","null","73694","2086","null","null",
"0500000US06067","Sacramento County, California","559036","null","1538","null","25809","null","1245","null","22207","1520","null","null","17504","null","960","null","18288","null","1116","null","18545","null","1146","null","20907","null","1342","null","19575","958","null","null","20914","null","1278","null","17536","null","977","null","41271","1574","null","null","52033","null","1789","null","76313","null","2344","null","58622","null","1659","null","42928","null","1430","null","51653","null","1696","null","54931","1618","null","null",
"0500000US06069","San Benito County, California","19144","null","201","null","405","null","127","null","466","161","null","null","380","null","120","null","278","null","106","null","500","null","165","null","437","null","145","null","548","145","null","null","741","null","196","null","500","null","169","null","1074","216","null","null","2283","null","373","null","2358","null","326","null","2125","null","321","null","2082","null","347","null","2284","null","321","null","2683","344","null","null",
"0500000US06071","San Bernardino County, California","651743","null","2010","null","29656","null","1341","null","24604","1352","null","null","21888","null","1029","null","25622","null","1529","null","25223","null","1473","null","27579","null","1416","null","24339","1453","null","null","25476","null","1511","null","22217","null","1210","null","49578","1599","null","null","68068","null","2178","null","90279","null","1808","null","66716","null","1901","null","46127","null","1665","null","54902","null","1897","null","49469","1802","null","null",
"0500000US06073","San Diego County, California","1139899","null","3376","null","46029","null","1905","null","33022","1533","null","null","31376","null","1403","null","33644","null","1460","null","35316","null","1617","null","36160","null","1609","null","35041","1606","null","null","35975","null","1807","null","32520","null","1411","null","71624","2206","null","null","99339","null","2711","null","143673","null","3087","null","121474","null","2949","null","94356","null","2095","null","123048","null","3266","null","167302","3296","null","null",
