"GEO_ID","NAME","B25064_001M","B25064_001MA","B25064_001E","B25064_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median gross rent","Annotation of Margin of Error!!Median gross rent","Estimate!!Median gross rent","Annotation of Estimate!!Median gross rent",
"0500000US06001","Alameda County, California","7","null","1188","null",
"0500000US06003","Alpine County, California","351","null","913","null",
"0500000US06005","Amador County, California","46","null","1059","null",
"0500000US06007","Butte County, California","14","null","861","null",
"0500000US06009","Calaveras County, California","63","null","948","null",
"0500000US06011","Colusa County, California","85","null","830","null",
"0500000US06013","Contra Costa County, California","19","null","1270","null",
"0500000US06015","Del Norte County, California","53","null","845","null",
"0500000US06017","El Dorado County, California","31","null","1074","null",
"0500000US06019","Fresno County, California","7","null","819","null",
"0500000US06021","Glenn County, California","55","null","728","null",
"0500000US06023","Humboldt County, California","19","null","827","null",
"0500000US06025","Imperial County, California","15","null","682","null",
"0500000US06027","Inyo County, California","49","null","793","null",
"0500000US06029","Kern County, California","9","null","810","null",
"0500000US06031","Kings County, California","24","null","815","null",
"0500000US06033","Lake County, California","38","null","845","null",
"0500000US06035","Lassen County, California","77","null","895","null",
"0500000US06037","Los Angeles County, California","3","null","1117","null",
"0500000US06039","Madera County, California","26","null","864","null",
"0500000US06041","Marin County, California","41","null","1523","null",
"0500000US06043","Mariposa County, California","68","null","682","null",
"0500000US06045","Mendocino County, California","39","null","888","null",
"0500000US06047","Merced County, California","18","null","798","null",
"0500000US06049","Modoc County, California","64","null","560","null",
"0500000US06051","Mono County, California","93","null","1029","null",
"0500000US06053","Monterey County, California","15","null","1123","null",
"0500000US06055","Napa County, California","32","null","1211","null",
"0500000US06057","Nevada County, California","55","null","1119","null",
"0500000US06059","Orange County, California","6","null","1423","null",
"0500000US06061","Placer County, California","19","null","1151","null",
"0500000US06063","Plumas County, California","88","null","708","null",
"0500000US06065","Riverside County, California","10","null","1115","null",
"0500000US06067","Sacramento County, California","6","null","980","null",
"0500000US06069","San Benito County, California","58","null","1150","null",
"0500000US06071","San Bernardino County, California","8","null","1061","null",
"0500000US06073","San Diego County, California","6","null","1228","null",
"0500000US06075","San Francisco County, California","14","null","1328","null",
"0500000US06077","San Joaquin County, California","12","null","972","null",
"0500000US06079","San Luis Obispo County, California","18","null","1118","null",
"0500000US06081","San Mateo County, California","14","null","1443","null",
"0500000US06083","Santa Barbara County, California","21","null","1265","null",
"0500000US06085","Santa Clara County, California","8","null","1402","null",
"0500000US06087","Santa Cruz County, California","30","null","1266","null",
"0500000US06089","Shasta County, California","23","null","857","null",
"0500000US06091","Sierra County, California","146","null","734","null",
"0500000US06093","Siskiyou County, California","44","null","729","null",
"0500000US06095","Solano County, California","17","null","1195","null",
"0500000US06097","Sonoma County, California","16","null","1201","null",
"0500000US06099","Stanislaus County, California","11","null","941","null",
"0500000US06101","Sutter County, California","35","null","856","null",
"0500000US06103","Tehama County, California","31","null","770","null",
"0500000US06105","Trinity County, California","65","null","705","null",
"0500000US06107","Tulare County, California","15","null","755","null",
"0500000US06109","Tuolumne County, California","45","null","901","null",
"0500000US06111","Ventura County, California","16","null","1391","null",
"0500000US06113","Yolo County, California","26","null","1041","null",
"0500000US06115","Yuba County, California","29","null","801","null",
