"GEO_ID","NAME","B25064_001E","B25064_001M","B25064_001MA","B25064_001EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent","Annotation of Margin of Error!!Median gross rent","Annotation of Estimate!!Median gross rent",
"0500000US06001","Alameda County, California","1674","11","null","null",
"0500000US06003","Alpine County, California","540","215","null","null",
"0500000US06005","Amador County, California","1056","55","null","null",
"0500000US06007","Butte County, California","1016","21","null","null",
"0500000US06009","Calaveras County, California","1286","65","null","null",
"0500000US06011","Colusa County, California","877","47","null","null",
"0500000US06013","Contra Costa County, California","1702","15","null","null",
"0500000US06015","Del Norte County, California","862","37","null","null",
"0500000US06017","El Dorado County, California","1200","42","null","null",
"0500000US06019","Fresno County, California","967","7","null","null",
"0500000US06021","Glenn County, California","788","27","null","null",
"0500000US06023","Humboldt County, California","947","22","null","null",
"0500000US06025","Imperial County, California","818","21","null","null",
"0500000US06027","Inyo County, California","891","59","null","null",
"0500000US06029","Kern County, California","956","9","null","null",
"0500000US06031","Kings County, California","971","24","null","null",
"0500000US06033","Lake County, California","968","45","null","null",
"0500000US06035","Lassen County, California","945","71","null","null",
"0500000US06037","Los Angeles County, California","1390","3","null","null",
"0500000US06039","Madera County, California","986","28","null","null",
"0500000US06041","Marin County, California","1970","34","null","null",
"0500000US06043","Mariposa County, California","799","100","null","null",
"0500000US06045","Mendocino County, California","1100","38","null","null",
"0500000US06047","Merced County, California","973","16","null","null",
"0500000US06049","Modoc County, California","705","63","null","null",
"0500000US06051","Mono County, California","1125","139","null","null",
"0500000US06053","Monterey County, California","1401","17","null","null",
"0500000US06055","Napa County, California","1621","36","null","null",
"0500000US06057","Nevada County, California","1222","44","null","null",
"0500000US06059","Orange County, California","1777","6","null","null",
"0500000US06061","Placer County, California","1463","26","null","null",
"0500000US06063","Plumas County, California","868","64","null","null",
"0500000US06065","Riverside County, California","1311","8","null","null",
"0500000US06067","Sacramento County, California","1184","8","null","null",
"0500000US06069","San Benito County, California","1477","75","null","null",
"0500000US06071","San Bernardino County, California","1230","9","null","null",
"0500000US06073","San Diego County, California","1569","9","null","null",
"0500000US06075","San Francisco County, California","1805","23","null","null",
"0500000US06077","San Joaquin County, California","1159","13","null","null",
"0500000US06079","San Luis Obispo County, California","1385","27","null","null",
"0500000US06081","San Mateo County, California","2158","20","null","null",
"0500000US06083","Santa Barbara County, California","1576","21","null","null",
"0500000US06085","Santa Clara County, California","2126","14","null","null",
"0500000US06087","Santa Cruz County, California","1647","36","null","null",
"0500000US06089","Shasta County, California","1000","21","null","null",
"0500000US06091","Sierra County, California","888","105","null","null",
"0500000US06093","Siskiyou County, California","836","29","null","null",
"0500000US06095","Solano County, California","1498","26","null","null",
"0500000US06097","Sonoma County, California","1549","23","null","null",
"0500000US06099","Stanislaus County, California","1099","12","null","null",
"0500000US06101","Sutter County, California","986","27","null","null",
"0500000US06103","Tehama County, California","839","31","null","null",
"0500000US06105","Trinity County, California","815","54","null","null",
"0500000US06107","Tulare County, California","904","14","null","null",
"0500000US06109","Tuolumne County, California","970","47","null","null",
"0500000US06111","Ventura County, California","1705","16","null","null",
"0500000US06113","Yolo County, California","1266","25","null","null",
"0500000US06115","Yuba County, California","951","37","null","null",
