"GEO_ID","NAME","B25064_001E","B25064_001EA","B25064_001M","B25064_001MA",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Annotation of Estimate!!Median gross rent","Margin of Error!!Median gross rent","Annotation of Margin of Error!!Median gross rent",
"0500000US06001","Alameda County, California","1904","null","16","null",
"0500000US06003","Alpine County, California","639","null","405","null",
"0500000US06005","Amador County, California","1057","null","70","null",
"0500000US06007","Butte County, California","1087","null","23","null",
"0500000US06009","Calaveras County, California","1354","null","92","null",
"0500000US06011","Colusa County, California","918","null","80","null",
"0500000US06013","Contra Costa County, California","1928","null","19","null",
"0500000US06015","Del Norte County, California","946","null","44","null",
"0500000US06017","El Dorado County, California","1320","null","40","null",
"0500000US06019","Fresno County, California","1029","null","12","null",
"0500000US06021","Glenn County, California","810","null","57","null",
"0500000US06023","Humboldt County, California","1002","null","30","null",
"0500000US06025","Imperial County, California","847","null","30","null",
"0500000US06027","Inyo County, California","938","null","43","null",
"0500000US06029","Kern County, California","994","null","10","null",
"0500000US06031","Kings County, California","1030","null","33","null",
"0500000US06033","Lake County, California","1028","null","74","null",
"0500000US06035","Lassen County, California","928","null","59","null",
"0500000US06037","Los Angeles County, California","1534","null","5","null",
"0500000US06039","Madera County, California","1068","null","34","null",
"0500000US06041","Marin County, California","2170","null","47","null",
"0500000US06043","Mariposa County, California","1010","null","105","null",
"0500000US06045","Mendocino County, California","1134","null","28","null",
"0500000US06047","Merced County, California","1054","null","19","null",
"0500000US06049","Modoc County, California","757","null","55","null",
"0500000US06051","Mono County, California","1248","null","128","null",
"0500000US06053","Monterey County, California","1600","null","22","null",
"0500000US06055","Napa County, California","1775","null","48","null",
"0500000US06057","Nevada County, California","1315","null","75","null",
"0500000US06059","Orange County, California","1928","null","9","null",
"0500000US06061","Placer County, California","1616","null","27","null",
"0500000US06063","Plumas County, California","944","null","54","null",
"0500000US06065","Riverside County, California","1447","null","11","null",
"0500000US06067","Sacramento County, California","1333","null","11","null",
"0500000US06069","San Benito County, California","1533","null","70","null",
"0500000US06071","San Bernardino County, California","1338","null","13","null",
"0500000US06073","San Diego County, California","1732","null","8","null",
"0500000US06075","San Francisco County, California","2010","null","32","null",
"0500000US06077","San Joaquin County, California","1286","null","19","null",
"0500000US06079","San Luis Obispo County, California","1535","null","31","null",
"0500000US06081","San Mateo County, California","2435","null","25","null",
"0500000US06083","Santa Barbara County, California","1697","null","25","null",
"0500000US06085","Santa Clara County, California","2386","null","15","null",
"0500000US06087","Santa Cruz County, California","1843","null","36","null",
"0500000US06089","Shasta County, California","1075","null","25","null",
"0500000US06091","Sierra County, California","1032","null","170","null",
"0500000US06093","Siskiyou County, California","878","null","26","null",
"0500000US06095","Solano County, California","1684","null","25","null",
"0500000US06097","Sonoma County, California","1743","null","26","null",
"0500000US06099","Stanislaus County, California","1210","null","13","null",
"0500000US06101","Sutter County, California","1095","null","30","null",
"0500000US06103","Tehama County, California","972","null","49","null",
"0500000US06105","Trinity County, California","813","null","80","null",
"0500000US06107","Tulare County, California","974","null","19","null",
"0500000US06109","Tuolumne County, California","1025","null","83","null",
"0500000US06111","Ventura County, California","1854","null","21","null",
"0500000US06113","Yolo County, California","1369","null","30","null",
"0500000US06115","Yuba County, California","1015","null","49","null",
