"GEO_ID","NAME","B19013_001M","B19013_001MA","B19013_001E","B19013_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"0500000US06001","Alameda County, California","876","null","69384","null",
"0500000US06003","Alpine County, California","16309","null","63478","null",
"0500000US06005","Amador County, California","3340","null","54758","null",
"0500000US06007","Butte County, California","982","null","43170","null",
"0500000US06009","Calaveras County, California","4905","null","54971","null",
"0500000US06011","Colusa County, California","4404","null","48016","null",
"0500000US06013","Contra Costa County, California","859","null","78385","null",
"0500000US06015","Del Norte County, California","4870","null","36118","null",
"0500000US06017","El Dorado County, California","1769","null","70000","null",
"0500000US06019","Fresno County, California","658","null","46430","null",
"0500000US06021","Glenn County, California","2413","null","43074","null",
"0500000US06023","Humboldt County, California","1219","null","40089","null",
"0500000US06025","Imperial County, California","1312","null","38685","null",
"0500000US06027","Inyo County, California","3693","null","44808","null",
"0500000US06029","Kern County, California","691","null","47089","null",
"0500000US06031","Kings County, California","1892","null","48684","null",
"0500000US06033","Lake County, California","1615","null","39491","null",
"0500000US06035","Lassen County, California","4275","null","50317","null",
"0500000US06037","Los Angeles County, California","234","null","55476","null",
"0500000US06039","Madera County, California","1652","null","46039","null",
"0500000US06041","Marin County, California","1957","null","89268","null",
"0500000US06043","Mariposa County, California","5838","null","49098","null",
"0500000US06045","Mendocino County, California","1346","null","43759","null",
"0500000US06047","Merced County, California","1566","null","43844","null",
"0500000US06049","Modoc County, California","2797","null","34588","null",
"0500000US06051","Mono County, California","7461","null","55087","null",
"0500000US06053","Monterey County, California","1270","null","59271","null",
"0500000US06055","Napa County, California","2141","null","67389","null",
"0500000US06057","Nevada County, California","1881","null","57121","null",
"0500000US06059","Orange County, California","498","null","74344","null",
"0500000US06061","Placer County, California","1226","null","74447","null",
"0500000US06063","Plumas County, California","2761","null","44000","null",
"0500000US06065","Riverside County, California","598","null","57768","null",
"0500000US06067","Sacramento County, California","590","null","56439","null",
"0500000US06069","San Benito County, California","2445","null","65771","null",
"0500000US06071","San Bernardino County, California","482","null","55845","null",
"0500000US06073","San Diego County, California","464","null","63069","null",
"0500000US06075","San Francisco County, California","899","null","71304","null",
"0500000US06077","San Joaquin County, California","909","null","54341","null",
"0500000US06079","San Luis Obispo County, California","1444","null","57365","null",
"0500000US06081","San Mateo County, California","877","null","85648","null",
"0500000US06083","Santa Barbara County, California","1101","null","60078","null",
"0500000US06085","Santa Clara County, California","730","null","86850","null",
"0500000US06087","Santa Cruz County, California","1187","null","65253","null",
"0500000US06089","Shasta County, California","1009","null","43944","null",
"0500000US06091","Sierra County, California","11434","null","52950","null",
"0500000US06093","Siskiyou County, California","1402","null","36981","null",
"0500000US06095","Solano County, California","1175","null","68409","null",
"0500000US06097","Sonoma County, California","1032","null","63274","null",
"0500000US06099","Stanislaus County, California","771","null","51094","null",
"0500000US06101","Sutter County, California","1785","null","50944","null",
"0500000US06103","Tehama County, California","1107","null","38137","null",
"0500000US06105","Trinity County, California","4735","null","38725","null",
"0500000US06107","Tulare County, California","860","null","43851","null",
"0500000US06109","Tuolumne County, California","2518","null","47462","null",
"0500000US06111","Ventura County, California","951","null","75348","null",
"0500000US06113","Yolo County, California","1608","null","57077","null",
"0500000US06115","Yuba County, California","2824","null","46807","null",
