"GEO_ID","NAME","B19013_001E","B19013_001M","B19013_001MA","B19013_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)",
"0500000US06001","Alameda County, California","73775","762","null","null",
"0500000US06003","Alpine County, California","61343","4265","null","null",
"0500000US06005","Amador County, California","52964","3595","null","null",
"0500000US06007","Butte County, California","43165","1130","null","null",
"0500000US06009","Calaveras County, California","54936","3175","null","null",
"0500000US06011","Colusa County, California","50503","3403","null","null",
"0500000US06013","Contra Costa County, California","79799","955","null","null",
"0500000US06015","Del Norte County, California","39302","4825","null","null",
"0500000US06017","El Dorado County, California","68507","2109","null","null",
"0500000US06019","Fresno County, California","45201","713","null","null",
"0500000US06021","Glenn County, California","40106","4665","null","null",
"0500000US06023","Humboldt County, California","42153","1275","null","null",
"0500000US06025","Imperial County, California","41772","1696","null","null",
"0500000US06027","Inyo County, California","45625","2684","null","null",
"0500000US06029","Kern County, California","48574","913","null","null",
"0500000US06031","Kings County, California","47341","1550","null","null",
"0500000US06033","Lake County, California","35997","2154","null","null",
"0500000US06035","Lassen County, California","53351","3363","null","null",
"0500000US06037","Los Angeles County, California","55870","244","null","null",
"0500000US06039","Madera County, California","45490","1912","null","null",
"0500000US06041","Marin County, California","91529","2681","null","null",
"0500000US06043","Mariposa County, California","50560","3962","null","null",
"0500000US06045","Mendocino County, California","43290","1704","null","null",
"0500000US06047","Merced County, California","43066","1381","null","null",
"0500000US06049","Modoc County, California","38560","3271","null","null",
"0500000US06051","Mono County, California","61814","5460","null","null",
"0500000US06053","Monterey County, California","58582","983","null","null",
"0500000US06055","Napa County, California","70925","2288","null","null",
"0500000US06057","Nevada County, California","56949","2464","null","null",
"0500000US06059","Orange County, California","75998","548","null","null",
"0500000US06061","Placer County, California","73747","1204","null","null",
"0500000US06063","Plumas County, California","48032","3968","null","null",
"0500000US06065","Riverside County, California","56592","523","null","null",
"0500000US06067","Sacramento County, California","55615","606","null","null",
"0500000US06069","San Benito County, California","67874","2626","null","null",
"0500000US06071","San Bernardino County, California","54100","452","null","null",
"0500000US06073","San Diego County, California","63996","576","null","null",
"0500000US06075","San Francisco County, California","78378","1490","null","null",
"0500000US06077","San Joaquin County, California","53253","679","null","null",
"0500000US06079","San Luis Obispo County, California","59454","1455","null","null",
"0500000US06081","San Mateo County, California","91421","1320","null","null",
"0500000US06083","Santa Barbara County, California","63409","1372","null","null",
"0500000US06085","Santa Clara County, California","93854","745","null","null",
"0500000US06087","Santa Cruz County, California","66923","1815","null","null",
"0500000US06089","Shasta County, California","44556","1108","null","null",
"0500000US06091","Sierra County, California","43107","7027","null","null",
"0500000US06093","Siskiyou County, California","37495","1719","null","null",
"0500000US06095","Solano County, California","67341","1369","null","null",
"0500000US06097","Sonoma County, California","63799","1179","null","null",
"0500000US06099","Stanislaus County, California","49573","1110","null","null",
"0500000US06101","Sutter County, California","51527","1534","null","null",
"0500000US06103","Tehama County, California","42369","1978","null","null",
"0500000US06105","Trinity County, California","36862","5463","null","null",
"0500000US06107","Tulare County, California","42863","901","null","null",
"0500000US06109","Tuolumne County, California","48493","1823","null","null",
"0500000US06111","Ventura County, California","77335","779","null","null",
"0500000US06113","Yolo County, California","55508","1754","null","null",
"0500000US06115","Yuba County, California","45470","1777","null","null",
