"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)",
"0500000US06001","Alameda County, California","75619","null","613","null",
"0500000US06003","Alpine County, California","52917","null","13603","null",
"0500000US06005","Amador County, California","54171","null","4208","null",
"0500000US06007","Butte County, California","43444","null","1068","null",
"0500000US06009","Calaveras County, California","53233","null","3774","null",
"0500000US06011","Colusa County, California","52168","null","2583","null",
"0500000US06013","Contra Costa County, California","80185","null","827","null",
"0500000US06015","Del Norte County, California","40847","null","4369","null",
"0500000US06017","El Dorado County, California","69584","null","1835","null",
"0500000US06019","Fresno County, California","45233","null","692","null",
"0500000US06021","Glenn County, California","39349","null","4204","null",
"0500000US06023","Humboldt County, California","42197","null","1183","null",
"0500000US06025","Imperial County, California","41079","null","1556","null",
"0500000US06027","Inyo County, California","45955","null","2280","null",
"0500000US06029","Kern County, California","49026","null","865","null",
"0500000US06031","Kings County, California","46481","null","1200","null",
"0500000US06033","Lake County, California","35578","null","2034","null",
"0500000US06035","Lassen County, California","51555","null","2789","null",
"0500000US06037","Los Angeles County, California","56196","null","270","null",
"0500000US06039","Madera County, California","45073","null","1837","null",
"0500000US06041","Marin County, California","93257","null","2610","null",
"0500000US06043","Mariposa County, California","47681","null","4294","null",
"0500000US06045","Mendocino County, California","42980","null","1757","null",
"0500000US06047","Merced County, California","42462","null","1214","null",
"0500000US06049","Modoc County, California","37860","null","4210","null",
"0500000US06051","Mono County, California","56944","null","10734","null",
"0500000US06053","Monterey County, California","58783","null","1121","null",
"0500000US06055","Napa County, California","71379","null","2063","null",
"0500000US06057","Nevada County, California","56521","null","2539","null",
"0500000US06059","Orange County, California","76509","null","426","null",
"0500000US06061","Placer County, California","73948","null","1220","null",
"0500000US06063","Plumas County, California","47333","null","3575","null",
"0500000US06065","Riverside County, California","56603","null","478","null",
"0500000US06067","Sacramento County, California","55987","null","594","null",
"0500000US06069","San Benito County, California","71077","null","2019","null",
"0500000US06071","San Bernardino County, California","53433","null","571","null",
"0500000US06073","San Diego County, California","64309","null","514","null",
"0500000US06075","San Francisco County, California","81294","null","1099","null",
"0500000US06077","San Joaquin County, California","53274","null","946","null",
"0500000US06079","San Luis Obispo County, California","60691","null","1137","null",
"0500000US06081","San Mateo County, California","93623","null","1412","null",
"0500000US06083","Santa Barbara County, California","63985","null","1293","null",
"0500000US06085","Santa Clara County, California","96310","null","783","null",
"0500000US06087","Santa Cruz County, California","67256","null","1534","null",
"0500000US06089","Shasta County, California","44620","null","1209","null",
"0500000US06091","Sierra County, California","42833","null","8464","null",
"0500000US06093","Siskiyou County, California","37170","null","1702","null",
"0500000US06095","Solano County, California","66828","null","1238","null",
"0500000US06097","Sonoma County, California","64240","null","1224","null",
"0500000US06099","Stanislaus County, California","50125","null","718","null",
"0500000US06101","Sutter County, California","52017","null","1350","null",
"0500000US06103","Tehama County, California","41001","null","2564","null",
"0500000US06105","Trinity County, California","34974","null","4081","null",
"0500000US06107","Tulare County, California","42031","null","920","null",
"0500000US06109","Tuolumne County, California","50306","null","2202","null",
"0500000US06111","Ventura County, California","77348","null","954","null",
"0500000US06113","Yolo County, California","54989","null","1553","null",
"0500000US06115","Yuba County, California","46892","null","1931","null",
