"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Not Hispanic or Latino","Annotation of Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Annotation of Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Annotation of Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1477980","*****","*****","null","1154673","null","*****","*****","519461","null","785","null","183122","1248","null","null","4074","399","null","null","380906","null","1591","null","11871","388","null","null","6729","1140","null","null","48510","null","2070","null","2761","488","null","null","45749","1999","null","null","323307","null","*****","*****","157579","4401","null","null","3370","555","null","null","3423","null","798","null","2985","463","null","null","198","102","null","null","134842","null","4630","null","20910","1594","null","null","11751","null","1193","null","9159","null","976","null",
"0500000US06003","Alpine County, California","1176","177","null","null","1113","null","165","null","746","null","160","null","0","132","null","null","273","49","null","null","48","null","10","null","0","132","null","null","0","132","null","null","46","null","42","null","0","132","null","null","46","42","null","null","63","null","54","null","12","10","null","null","0","132","null","null","4","null","7","null","0","132","null","null","0","132","null","null","40","null","48","null","7","13","null","null","7","null","13","null","0","null","132","null",
"0500000US06005","Amador County, California","38327","*****","*****","null","33761","null","*****","*****","30784","null","46","null","705","142","null","null","563","193","null","null","428","null","59","null","112","130","null","null","43","46","null","null","1126","null","231","null","17","29","null","null","1109","227","null","null","4566","null","*****","*****","2857","300","null","null","9","14","null","null","11","null","18","null","0","132","null","null","7","13","null","null","1367","null","217","null","315","177","null","null","203","null","203","null","112","null","134","null",
"0500000US06007","Butte County, California","218635","*****","*****","null","189123","null","*****","*****","166463","null","150","null","3012","237","null","null","2050","246","null","null","8658","null","399","null","481","60","null","null","243","155","null","null","8216","null","535","null","231","116","null","null","7985","541","null","null","29512","null","*****","*****","15559","1100","null","null","208","111","null","null","819","null","282","null","32","27","null","null","0","132","null","null","9595","null","943","null","3299","566","null","null","1985","null","429","null","1314","null","330","null",
"0500000US06009","Calaveras County, California","45994","*****","*****","null","41399","null","*****","*****","38615","null","128","null","467","36","null","null","695","187","null","null","631","null","80","null","18","25","null","null","82","126","null","null","891","null","211","null","11","18","null","null","880","207","null","null","4595","null","*****","*****","3484","283","null","null","0","132","null","null","82","null","63","null","0","132","null","null","0","132","null","null","705","null","186","null","324","192","null","null","291","null","185","null","33","null","40","null",
"0500000US06011","Colusa County, California","21165","*****","*****","null","10029","null","*****","*****","8899","null","25","null","187","55","null","null","174","108","null","null","192","null","125","null","47","13","null","null","7","12","null","null","523","null","190","null","19","26","null","null","504","186","null","null","11136","null","*****","*****","5270","675","null","null","9","15","null","null","209","null","269","null","26","35","null","null","0","132","null","null","5124","null","627","null","498","210","null","null","204","null","122","null","294","null","158","null",
"0500000US06013","Contra Costa County, California","1024809","*****","*****","null","784973","null","*****","*****","505611","null","622","null","90756","1007","null","null","2661","393","null","null","143283","null","1366","null","4485","315","null","null","4593","855","null","null","33584","null","1811","null","1825","502","null","null","31759","1732","null","null","239836","null","*****","*****","133425","3578","null","null","2054","446","null","null","1721","null","516","null","1710","427","null","null","197","123","null","null","87486","null","3655","null","13243","1360","null","null","7593","null","837","null","5650","null","982","null",
"0500000US06015","Del Norte County, California","28471","*****","*****","null","23575","null","*****","*****","18757","null","53","null","944","172","null","null","1322","287","null","null","892","null","98","null","63","132","null","null","81","72","null","null","1516","null","348","null","14","22","null","null","1502","346","null","null","4896","null","*****","*****","2265","403","null","null","47","58","null","null","197","null","154","null","0","132","null","null","0","132","null","null","2028","null","282","null","359","185","null","null","153","null","90","null","206","null","133","null",
"0500000US06017","El Dorado County, California","179053","*****","*****","null","158412","null","*****","*****","144672","null","180","null","1104","171","null","null","1247","301","null","null","5905","null","408","null","250","111","null","null","145","101","null","null","5089","null","582","null","248","187","null","null","4841","563","null","null","20641","null","*****","*****","13027","972","null","null","36","37","null","null","402","null","192","null","153","107","null","null","0","132","null","null","6235","null","945","null","788","210","null","null","532","null","178","null","256","null","105","null",
