"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009M","B03002_009MA","B03002_009EA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015M","B03002_015MA","B03002_015EA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Annotation of Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Annotation of Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Annotation of Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1494876","null","*****","*****","1162773","null","*****","*****","517548","null","630","null","182827","1448","null","null","3827","null","432","null","388491","null","1943","null","11993","null","468","null","5920","null","969","null","52167","2763","null","null","2993","582","null","null","49174","null","2623","null","332103","null","*****","*****","172713","null","4354","null","3499","631","null","null","3275","612","null","null","3136","null","487","null","198","null","100","null","126038","null","4449","null","23244","null","1597","null","12747","1302","null","null","10497","1134","null","null",
"0500000US06003","Alpine County, California","1167","null","175","null","1085","null","163","null","765","null","166","null","0","95","null","null","232","null","53","null","39","null","6","null","21","null","31","null","0","null","95","null","28","29","null","null","0","95","null","null","28","null","29","null","82","null","61","null","6","null","8","null","0","95","null","null","5","10","null","null","0","null","95","null","0","null","95","null","62","null","47","null","9","null","17","null","9","17","null","null","0","95","null","null",
"0500000US06005","Amador County, California","38244","null","*****","*****","33567","null","*****","*****","30589","null","45","null","834","175","null","null","824","null","282","null","529","null","69","null","79","null","104","null","39","null","45","null","673","266","null","null","17","31","null","null","656","null","260","null","4677","null","*****","*****","2865","null","337","null","36","49","null","null","65","63","null","null","0","null","95","null","3","null","6","null","1393","null","193","null","315","null","240","null","190","206","null","null","125","148","null","null",
"0500000US06007","Butte County, California","219309","null","*****","*****","188833","null","*****","*****","165531","null","176","null","3105","236","null","null","1761","null","324","null","9217","null","406","null","477","null","85","null","176","null","129","null","8566","522","null","null","245","116","null","null","8321","null","513","null","30476","null","*****","*****","17203","null","1004","null","248","125","null","null","752","249","null","null","23","null","20","null","2","null","4","null","8485","null","922","null","3763","null","601","null","1972","425","null","null","1791","423","null","null",
"0500000US06009","Calaveras County, California","45794","null","*****","*****","41106","null","*****","*****","38272","null","134","null","489","35","null","null","506","null","160","null","591","null","161","null","16","null","22","null","85","null","131","null","1147","239","null","null","11","18","null","null","1136","null","236","null","4688","null","*****","*****","3400","null","308","null","7","14","null","null","65","62","null","null","10","null","20","null","0","null","95","null","1029","null","271","null","177","null","101","null","149","100","null","null","28","33","null","null",
"0500000US06011","Colusa County, California","21297","null","*****","*****","9837","null","*****","*****","8735","null","16","null","185","22","null","null","122","null","70","null","219","null","65","null","41","null","14","null","4","null","7","null","531","113","null","null","14","18","null","null","517","null","111","null","11460","null","*****","*****","5756","null","562","null","18","20","null","null","166","220","null","null","33","null","50","null","0","null","95","null","4889","null","574","null","598","null","248","null","300","161","null","null","298","157","null","null",
"0500000US06013","Contra Costa County, California","1037817","null","*****","*****","789728","null","*****","*****","503705","null","535","null","92044","1121","null","null","2488","null","422","null","146195","null","1648","null","4435","null","383","null","4350","null","715","null","36511","1966","null","null","1524","432","null","null","34987","null","1866","null","248089","null","*****","*****","152606","null","4173","null","2738","722","null","null","1887","553","null","null","1753","null","386","null","292","null","139","null","75148","null","4108","null","13665","null","1153","null","7401","914","null","null","6264","776","null","null",
"0500000US06015","Del Norte County, California","28561","null","*****","*****","23558","null","*****","*****","18704","null","95","null","911","151","null","null","1351","null","194","null","891","null","90","null","271","null","112","null","30","null","30","null","1400","223","null","null","7","14","null","null","1393","null","225","null","5003","null","*****","*****","2100","null","424","null","26","32","null","null","220","185","null","null","0","null","95","null","0","null","95","null","2313","null","394","null","344","null","205","null","81","59","null","null","263","177","null","null",
"0500000US06017","El Dorado County, California","179878","null","*****","*****","158656","null","*****","*****","144557","null","165","null","1331","205","null","null","1252","null","271","null","6034","null","524","null","167","null","117","null","92","null","75","null","5223","700","null","null","223","160","null","null","5000","null","650","null","21222","null","*****","*****","13296","null","952","null","36","37","null","null","550","310","null","null","226","null","143","null","0","null","95","null","6231","null","952","null","883","null","253","null","578","201","null","null","305","155","null","null",
