"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018M","B03002_018MA","B03002_018EA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Estimate!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Annotation of Margin of Error!!Total!!Hispanic or Latino","Annotation of Estimate!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1515136","*****","*****","null","1175695","*****","*****","null","516580","null","633","null","181711","null","1360","null","4318","432","null","null","397475","2067","null","null","12442","430","null","null","5419","967","null","null","57750","null","2475","null","3765","null","704","null","53985","2244","null","null","339441","*****","*****","null","179267","4268","null","null","3903","null","698","null","4138","null","768","null","2990","null","527","null","232","90","null","null","122353","4088","null","null","26558","1732","null","null","13695","null","1360","null","12863","null","1111","null",
"0500000US06003","Alpine County, California","1197","231","null","null","1119","204","null","null","835","null","201","null","0","null","13","null","230","43","null","null","32","7","null","null","22","31","null","null","0","13","null","null","0","null","13","null","0","null","13","null","0","13","null","null","78","76","null","null","17","22","null","null","0","null","13","null","6","null","10","null","0","null","13","null","0","13","null","null","40","58","null","null","15","18","null","null","9","null","14","null","6","null","10","null",
"0500000US06005","Amador County, California","37764","*****","*****","null","33091","*****","*****","null","30248","null","37","null","946","null","100","null","707","143","null","null","473","97","null","null","46","54","null","null","25","37","null","null","646","null","204","null","0","null","27","null","646","204","null","null","4673","*****","*****","null","3054","245","null","null","39","null","34","null","71","null","58","null","13","null","16","null","3","7","null","null","1214","190","null","null","279","184","null","null","58","null","50","null","221","null","177","null",
"0500000US06007","Butte County, California","220101","*****","*****","null","188845","*****","*****","null","165440","null","110","null","2982","null","271","null","1712","307","null","null","9195","464","null","null","390","87","null","null","111","81","null","null","9015","null","622","null","165","null","86","null","8850","626","null","null","31256","*****","*****","null","19213","943","null","null","224","null","112","null","564","null","215","null","46","null","38","null","21","35","null","null","7017","838","null","null","4171","681","null","null","1845","null","340","null","2326","null","543","null",
"0500000US06009","Calaveras County, California","45507","*****","*****","null","40769","*****","*****","null","37944","null","112","null","468","null","41","null","354","159","null","null","619","170","null","null","20","24","null","null","81","110","null","null","1283","null","247","null","12","null","18","null","1271","244","null","null","4738","*****","*****","null","3399","330","null","null","8","null","14","null","84","null","83","null","19","null","30","null","0","27","null","null","1000","296","null","null","228","149","null","null","196","null","148","null","32","null","39","null",
"0500000US06011","Colusa County, California","21329","*****","*****","null","9589","*****","*****","null","8535","null","24","null","157","null","19","null","109","68","null","null","223","58","null","null","45","20","null","null","0","24","null","null","520","null","89","null","6","null","11","null","514","88","null","null","11740","*****","*****","null","6913","701","null","null","20","null","21","null","150","null","174","null","0","null","24","null","0","24","null","null","3979","648","null","null","678","242","null","null","345","null","191","null","333","null","151","null",
"0500000US06013","Contra Costa County, California","1052047","*****","*****","null","796919","*****","*****","null","503249","null","473","null","93001","null","1081","null","2580","353","null","null","150514","1784","null","null","4507","393","null","null","3637","742","null","null","39431","null","2025","null","1701","null","470","null","37730","1918","null","null","255128","*****","*****","null","167275","3671","null","null","3209","null","660","null","2076","null","677","null","1769","null","419","null","353","223","null","null","66620","3387","null","null","13826","1368","null","null","7083","null","963","null","6743","null","1006","null",
"0500000US06015","Del Norte County, California","28496","*****","*****","null","23377","*****","*****","null","18514","null","28","null","1069","null","95","null","1366","269","null","null","866","114","null","null","139","89","null","null","48","42","null","null","1375","null","286","null","6","null","14","null","1369","287","null","null","5119","*****","*****","null","2734","329","null","null","16","null","26","null","179","null","137","null","0","null","24","null","0","24","null","null","1819","302","null","null","371","172","null","null","72","null","50","null","299","null","160","null",
"0500000US06017","El Dorado County, California","180441","*****","*****","null","158791","*****","*****","null","144479","null","148","null","1298","null","163","null","1247","279","null","null","6094","427","null","null","104","99","null","null","42","31","null","null","5527","null","588","null","228","null","157","null","5299","542","null","null","21650","*****","*****","null","12922","888","null","null","56","null","55","null","543","null","261","null","89","null","82","null","0","30","null","null","6976","924","null","null","1064","259","null","null","672","null","194","null","392","null","143","null",
