"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018M","B03002_018MA","B03002_018EA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Not Hispanic or Latino","Annotation of Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Annotation of Margin of Error!!Total!!Hispanic or Latino","Annotation of Estimate!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1535248","*****","*****","null","1189401","null","*****","*****","517764","null","500","null","181315","null","1418","null","4484","352","null","null","408556","1775","null","null","12230","507","null","null","4399","null","738","null","60653","null","2224","null","3571","null","555","null","57082","2124","null","null","345847","*****","*****","null","182346","3847","null","null","4152","null","735","null","4435","null","827","null","2684","null","410","null","349","null","140","null","122343","3900","null","null","29538","2063","null","null","15556","null","1386","null","13982","null","1399","null",
"0500000US06003","Alpine County, California","1165","214","null","null","1078","null","203","null","823","null","194","null","7","null","11","null","200","56","null","null","17","14","null","null","27","32","null","null","0","null","12","null","4","null","8","null","0","null","12","null","4","8","null","null","87","64","null","null","25","25","null","null","0","null","12","null","4","null","10","null","0","null","12","null","0","null","12","null","34","42","null","null","24","24","null","null","9","null","14","null","15","null","18","null",
"0500000US06005","Amador County, California","37422","*****","*****","null","32712","null","*****","*****","29928","null","26","null","893","null","100","null","623","149","null","null","503","89","null","null","79","71","null","null","0","null","26","null","686","null","238","null","0","null","26","null","686","238","null","null","4710","*****","*****","null","2838","311","null","null","30","null","26","null","77","null","54","null","21","null","23","null","4","null","8","null","1201","249","null","null","539","239","null","null","69","null","50","null","470","null","236","null",
"0500000US06007","Butte County, California","220542","*****","*****","null","188458","null","*****","*****","164932","null","81","null","2795","null","308","null","1677","271","null","null","9406","445","null","null","333","106","null","null","66","null","64","null","9249","null","568","null","119","null","66","null","9130","566","null","null","32084","*****","*****","null","20419","863","null","null","168","null","101","null","676","null","210","null","95","null","68","null","23","null","44","null","6170","715","null","null","4533","581","null","null","1861","null","368","null","2672","null","502","null",
"0500000US06009","Calaveras County, California","45147","*****","*****","null","40353","null","*****","*****","37570","null","25","null","378","null","86","null","349","165","null","null","553","187","null","null","9","16","null","null","7","null","14","null","1487","null","278","null","13","null","21","null","1474","270","null","null","4794","*****","*****","null","3750","230","null","null","8","null","16","null","81","null","86","null","15","null","27","null","0","null","26","null","689","207","null","null","251","117","null","null","177","null","114","null","74","null","68","null",
"0500000US06011","Colusa County, California","21366","*****","*****","null","9413","null","*****","*****","8338","null","23","null","174","null","20","null","181","83","null","null","245","54","null","null","16","14","null","null","0","null","23","null","459","null","94","null","8","null","11","null","451","95","null","null","11953","*****","*****","null","8304","631","null","null","19","null","23","null","19","null","32","null","0","null","23","null","0","null","23","null","3084","613","null","null","527","199","null","null","268","null","151","null","259","null","133","null",
"0500000US06013","Contra Costa County, California","1065794","*****","*****","null","804367","null","*****","*****","503167","null","442","null","93777","null","992","null","2869","459","null","null","154869","1663","null","null","4731","300","null","null","3133","null","639","null","41821","null","1976","null","1793","null","447","null","40028","1983","null","null","261427","*****","*****","null","169790","3378","null","null","3284","null","842","null","2551","null","650","null","1882","null","474","null","370","null","224","null","68174","3366","null","null","15376","1447","null","null","8199","null","1064","null","7177","null","978","null",
"0500000US06015","Del Norte County, California","28357","*****","*****","null","23140","null","*****","*****","18205","null","25","null","889","null","195","null","1223","300","null","null","709","143","null","null","100","74","null","null","40","null","33","null","1974","null","313","null","22","null","24","null","1952","311","null","null","5217","*****","*****","null","3151","387","null","null","19","null","29","null","93","null","105","null","0","null","23","null","0","null","23","null","1507","329","null","null","447","205","null","null","68","null","62","null","379","null","174","null",
"0500000US06017","El Dorado County, California","180982","*****","*****","null","158948","null","*****","*****","144293","null","83","null","1480","null","170","null","1281","289","null","null","6358","413","null","null","188","118","null","null","78","null","66","null","5270","null","516","null","165","null","132","null","5105","501","null","null","22034","*****","*****","null","13917","825","null","null","225","null","141","null","565","null","287","null","84","null","95","null","0","null","29","null","6211","768","null","null","1032","252","null","null","665","null","201","null","367","null","162","null",
