"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018M","B03002_018MA","B03002_018EA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Estimate!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Annotation of Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Annotation of Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1559308","*****","*****","null","1206808","*****","*****","null","519375","null","522","null","179984","1363","null","null","4688","311","null","null","421451","null","2080","null","12502","458","null","null","4387","708","null","null","64421","null","2619","null","3549","null","596","null","60872","2480","null","null","352500","null","*****","*****","187642","null","4076","null","4801","695","null","null","4627","null","857","null","2610","null","418","null","421","156","null","null","122089","3851","null","null","30310","1758","null","null","15458","null","1447","null","14852","1299","null","null",
"0500000US06003","Alpine County, California","1202","190","null","null","1116","173","null","null","830","null","173","null","11","17","null","null","208","64","null","null","12","null","12","null","14","21","null","null","0","12","null","null","41","null","27","null","0","null","12","null","41","27","null","null","86","null","62","null","24","null","21","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","34","41","null","null","28","26","null","null","6","null","10","null","22","22","null","null",
"0500000US06005","Amador County, California","37159","*****","*****","null","32435","*****","*****","null","29696","null","4","null","781","117","null","null","643","167","null","null","482","null","85","null","80","75","null","null","2","4","null","null","751","null","234","null","0","null","26","null","751","234","null","null","4724","null","*****","*****","2855","null","346","null","31","27","null","null","101","null","86","null","19","null","21","null","0","26","null","null","1189","283","null","null","529","248","null","null","125","null","101","null","404","218","null","null",
"0500000US06007","Butte County, California","221578","*****","*****","null","188610","*****","*****","null","164509","null","115","null","2996","345","null","null","1649","277","null","null","9298","null","529","null","338","112","null","null","120","89","null","null","9700","null","657","null","150","null","92","null","9550","646","null","null","32968","null","*****","*****","20568","null","952","null","252","127","null","null","1018","null","361","null","86","null","59","null","32","51","null","null","6466","754","null","null","4546","706","null","null","1608","null","347","null","2938","586","null","null",
"0500000US06009","Calaveras County, California","44921","*****","*****","null","40020","*****","*****","null","37234","null","26","null","280","132","null","null","324","166","null","null","513","null","143","null","131","156","null","null","0","26","null","null","1538","null","287","null","0","null","26","null","1538","287","null","null","4901","null","*****","*****","3895","null","262","null","12","19","null","null","37","null","42","null","13","null","22","null","0","26","null","null","671","223","null","null","273","129","null","null","192","null","110","null","81","77","null","null",
"0500000US06011","Colusa County, California","21424","*****","*****","null","9269","*****","*****","null","8184","null","23","null","180","13","null","null","274","58","null","null","283","null","52","null","19","17","null","null","0","23","null","null","329","null","79","null","7","null","11","null","322","78","null","null","12155","null","*****","*****","9255","null","618","null","18","21","null","null","12","null","13","null","0","null","23","null","0","23","null","null","2407","581","null","null","463","196","null","null","252","null","140","null","211","137","null","null",
"0500000US06013","Contra Costa County, California","1081232","*****","*****","null","813373","*****","*****","null","503515","null","478","null","93141","1132","null","null","3002","358","null","null","159608","null","2109","null","4809","313","null","null","3151","620","null","null","46147","null","2301","null","1709","null","448","null","44438","2381","null","null","267859","null","*****","*****","167869","null","3845","null","3894","937","null","null","2480","null","513","null","1773","null","475","null","324","242","null","null","74265","3725","null","null","17254","1466","null","null","8781","null","1180","null","8473","948","null","null",
"0500000US06015","Del Norte County, California","28066","*****","*****","null","22835","*****","*****","null","17906","null","33","null","991","166","null","null","1232","193","null","null","594","null","127","null","46","17","null","null","35","33","null","null","2031","null","312","null","15","null","18","null","2016","312","null","null","5231","null","*****","*****","3531","null","356","null","16","22","null","null","175","null","133","null","8","null","14","null","0","23","null","null","1068","275","null","null","433","176","null","null","55","null","43","null","378","175","null","null",
"0500000US06017","El Dorado County, California","181465","*****","*****","null","159054","*****","*****","null","143978","null","117","null","1533","225","null","null","1160","322","null","null","6780","null","435","null","191","122","null","null","76","75","null","null","5336","null","609","null","151","null","103","null","5185","607","null","null","22411","null","*****","*****","14389","null","908","null","248","141","null","null","469","null","317","null","105","null","97","null","0","29","null","null","6292","821","null","null","908","281","null","null","530","null","205","null","378","154","null","null",
