"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009M","B03002_009MA","B03002_009EA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015M","B03002_015MA","B03002_015EA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Not Hispanic or Latino","Annotation of Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Annotation of Margin of Error!!Total!!Hispanic or Latino","Annotation of Estimate!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1584983","*****","*****","null","1226815","null","*****","*****","522707","365","null","null","179400","1124","null","null","4851","303","null","null","436207","1965","null","null","13243","null","345","null","4178","622","null","null","66229","2196","null","null","3611","534","null","null","62618","2157","null","null","358168","*****","*****","null","185851","null","4370","null","5483","845","null","null","4962","1017","null","null","2848","520","null","null","517","171","null","null","127161","null","4084","null","31346","1849","null","null","15857","1142","null","null","15489","1394","null","null",
"0500000US06003","Alpine County, California","1131","167","null","null","1023","null","146","null","725","137","null","null","11","17","null","null","219","60","null","null","14","21","null","null","16","null","21","null","0","12","null","null","38","25","null","null","0","12","null","null","38","25","null","null","108","57","null","null","58","null","38","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","50","31","null","null","0","12","null","null","50","31","null","null",
"0500000US06005","Amador County, California","36995","*****","*****","null","32211","null","*****","*****","29496","6","null","null","822","97","null","null","666","152","null","null","510","92","null","null","35","null","27","null","3","6","null","null","679","212","null","null","0","25","null","null","679","212","null","null","4784","*****","*****","null","2510","null","347","null","33","28","null","null","163","138","null","null","28","29","null","null","3","6","null","null","1521","null","348","null","526","247","null","null","170","196","null","null","356","181","null","null",
"0500000US06007","Butte County, California","222564","*****","*****","null","188764","null","*****","*****","164214","150","null","null","3017","331","null","null","1525","264","null","null","9477","461","null","null","361","null","127","null","148","88","null","null","10022","637","null","null","211","122","null","null","9811","645","null","null","33800","*****","*****","null","21194","null","1170","null","172","103","null","null","1028","376","null","null","114","88","null","null","44","69","null","null","7149","null","1000","null","4099","665","null","null","1403","371","null","null","2696","575","null","null",
"0500000US06009","Calaveras County, California","44767","*****","*****","null","39800","null","*****","*****","36951","12","null","null","259","109","null","null","396","209","null","null","390","124","null","null","151","null","178","null","0","25","null","null","1653","291","null","null","7","12","null","null","1646","289","null","null","4967","*****","*****","null","4259","null","264","null","2","6","null","null","0","25","null","null","12","20","null","null","0","25","null","null","532","null","234","null","162","127","null","null","83","84","null","null","79","75","null","null",
"0500000US06011","Colusa County, California","21396","*****","*****","null","9119","null","*****","*****","8017","22","null","null","131","70","null","null","216","62","null","null","419","34","null","null","39","null","34","null","0","22","null","null","297","89","null","null","0","22","null","null","297","89","null","null","12277","*****","*****","null","10171","null","489","null","20","22","null","null","15","15","null","null","0","22","null","null","0","22","null","null","1629","null","467","null","442","207","null","null","229","125","null","null","213","152","null","null",
"0500000US06013","Contra Costa County, California","1096068","*****","*****","null","822718","null","*****","*****","503815","579","null","null","94046","1333","null","null","3071","351","null","null","165336","1925","null","null","5200","null","310","null","3660","796","null","null","47590","2472","null","null","1557","430","null","null","46033","2452","null","null","273350","*****","*****","null","159591","null","3735","null","3292","745","null","null","2988","672","null","null","1879","436","null","null","348","257","null","null","85525","null","3578","null","19727","1462","null","null","10578","1082","null","null","9149","1038","null","null",
"0500000US06015","Del Norte County, California","27788","*****","*****","null","22488","null","*****","*****","17582","53","null","null","787","156","null","null","1339","222","null","null","594","146","null","null","79","null","55","null","27","32","null","null","2080","262","null","null","46","42","null","null","2034","257","null","null","5300","*****","*****","null","3666","null","346","null","15","20","null","null","145","124","null","null","6","12","null","null","0","22","null","null","1131","null","305","null","337","147","null","null","41","40","null","null","296","133","null","null",
"0500000US06017","El Dorado County, California","182093","*****","*****","null","159374","null","*****","*****","143804","126","null","null","1564","220","null","null","1041","264","null","null","7068","468","null","null","234","null","137","null","102","91","null","null","5561","522","null","null","192","116","null","null","5369","523","null","null","22719","*****","*****","null","14089","null","933","null","222","142","null","null","524","335","null","null","131","109","null","null","0","28","null","null","6713","null","926","null","1040","262","null","null","554","190","null","null","486","198","null","null",
