"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Estimate!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Annotation of Margin of Error!!Total!!Hispanic or Latino","Annotation of Estimate!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1605217","null","*****","*****","1243147","*****","*****","null","523797","541","null","null","176819","null","1344","null","4959","null","325","null","449676","1640","null","null","13223","300","null","null","4524","null","752","null","70149","null","2328","null","3836","null","631","null","66313","2218","null","null","362070","*****","*****","null","180176","null","3877","null","5273","768","null","null","5217","null","945","null","2906","null","446","null","588","218","null","null","136019","null","3897","null","31891","1742","null","null","15681","null","1351","null","16210","null","1248","null",
"0500000US06003","Alpine County, California","1184","null","191","null","1092","177","null","null","804","164","null","null","10","null","15","null","224","null","62","null","9","13","null","null","0","12","null","null","0","null","12","null","45","null","32","null","0","null","12","null","45","32","null","null","92","54","null","null","53","null","35","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","39","32","null","null","0","null","12","null","39","null","32","null",
"0500000US06005","Amador County, California","36963","null","*****","*****","32141","*****","*****","null","29436","7","null","null","860","null","116","null","458","null","124","null","521","96","null","null","72","48","null","null","4","null","7","null","790","null","193","null","0","null","25","null","790","193","null","null","4822","*****","*****","null","2603","null","295","null","38","26","null","null","44","null","29","null","26","null","26","null","4","7","null","null","1549","null","352","null","558","198","null","null","87","null","103","null","471","null","171","null",
"0500000US06007","Butte County, California","223877","null","*****","*****","189374","*****","*****","null","164398","199","null","null","3279","null","312","null","1553","null","222","null","9497","436","null","null","380","155","null","null","340","null","187","null","9927","null","644","null","183","null","126","null","9744","626","null","null","34503","*****","*****","null","21707","null","950","null","87","70","null","null","892","null","287","null","154","null","92","null","77","69","null","null","7824","null","903","null","3762","571","null","null","1443","null","324","null","2319","null","462","null",
"0500000US06009","Calaveras County, California","44787","null","*****","*****","39759","*****","*****","null","36857","54","null","null","256","null","120","null","400","null","216","null","448","99","null","null","155","179","null","null","33","null","52","null","1610","null","271","null","7","null","11","null","1603","270","null","null","5028","*****","*****","null","4447","null","225","null","2","6","null","null","53","null","75","null","0","null","25","null","0","25","null","null","361","null","149","null","165","113","null","null","80","null","78","null","85","null","90","null",
"0500000US06011","Colusa County, California","21361","null","*****","*****","9010","*****","*****","null","7881","22","null","null","212","null","67","null","191","null","74","null","346","37","null","null","20","18","null","null","51","null","55","null","309","null","136","null","0","null","22","null","309","136","null","null","12351","*****","*****","null","10840","null","440","null","10","19","null","null","20","null","19","null","0","null","22","null","0","22","null","null","1172","null","390","null","309","153","null","null","120","null","78","null","189","null","131","null",
"0500000US06013","Contra Costa County, California","1107925","null","*****","*****","830249","*****","*****","null","504792","632","null","null","93809","null","1314","null","2823","null","408","null","169695","1694","null","null","5177","271","null","null","3485","null","833","null","50468","null","2312","null","1694","null","451","null","48774","2326","null","null","277676","*****","*****","null","157065","null","3707","null","3223","801","null","null","2624","null","667","null","2158","null","472","null","334","258","null","null","91641","null","3532","null","20631","1737","null","null","10785","null","1267","null","9846","null","1063","null",
"0500000US06015","Del Norte County, California","27628","null","*****","*****","22302","*****","*****","null","17427","46","null","null","632","null","138","null","1671","null","286","null","650","143","null","null","31","30","null","null","41","null","37","null","1850","null","333","null","19","null","32","null","1831","329","null","null","5326","*****","*****","null","4058","null","283","null","10","12","null","null","163","null","114","null","22","null","27","null","0","22","null","null","627","null","208","null","446","166","null","null","127","null","77","null","319","null","145","null",
"0500000US06017","El Dorado County, California","183000","null","*****","*****","160132","*****","*****","null","144069","183","null","null","1576","null","185","null","1203","null","327","null","7542","360","null","null","331","147","null","null","235","null","167","null","5176","null","502","null","112","null","64","null","5064","505","null","null","22868","*****","*****","null","15096","null","885","null","208","140","null","null","291","null","120","null","54","null","54","null","12","18","null","null","5969","null","887","null","1238","373","null","null","619","null","228","null","619","null","239","null",
