"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015M","B03002_015MA","B03002_015EA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Not Hispanic or Latino","Annotation of Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Annotation of Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Annotation of Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1629615","*****","*****","null","1262574","null","*****","*****","524881","389","null","null","175063","1490","null","null","5008","325","null","null","468356","2261","null","null","13000","null","371","null","4489","null","739","null","71777","null","2853","null","3476","602","null","null","68301","2766","null","null","367041","null","*****","*****","169839","3788","null","null","5383","682","null","null","5144","924","null","null","2979","518","null","null","652","187","null","null","150759","null","4089","null","32285","null","1786","null","16551","1186","null","null","15734","1327","null","null",
"0500000US06003","Alpine County, California","1203","179","null","null","1086","null","171","null","777","163","null","null","18","25","null","null","248","56","null","null","8","15","null","null","0","null","12","null","0","null","12","null","35","null","34","null","0","12","null","null","35","34","null","null","117","null","58","null","49","34","null","null","0","12","null","null","15","17","null","null","0","12","null","null","8","13","null","null","0","null","12","null","45","null","37","null","0","12","null","null","45","37","null","null",
"0500000US06005","Amador County, California","37306","*****","*****","null","32363","null","*****","*****","29571","13","null","null","764","111","null","null","264","104","null","null","565","97","null","null","79","null","45","null","1","null","13","null","1119","null","198","null","0","26","null","null","1119","198","null","null","4943","null","*****","*****","2882","335","null","null","32","27","null","null","31","24","null","null","17","16","null","null","5","8","null","null","1365","null","369","null","611","null","216","null","84","144","null","null","527","211","null","null",
"0500000US06007","Butte County, California","225207","*****","*****","null","189762","null","*****","*****","164184","195","null","null","3282","300","null","null","1639","306","null","null","9852","414","null","null","359","null","154","null","369","null","192","null","10077","null","609","null","199","138","null","null","9878","593","null","null","35445","null","*****","*****","21037","1075","null","null","90","67","null","null","994","337","null","null","322","246","null","null","65","63","null","null","9277","null","926","null","3660","null","614","null","1492","368","null","null","2168","509","null","null",
"0500000US06009","Calaveras County, California","45057","*****","*****","null","39891","null","*****","*****","36932","66","null","null","258","129","null","null","391","233","null","null","527","107","null","null","208","null","224","null","56","null","64","null","1519","null","334","null","10","17","null","null","1509","333","null","null","5166","null","*****","*****","4424","266","null","null","3","6","null","null","106","89","null","null","0","26","null","null","0","26","null","null","416","null","173","null","217","null","176","null","43","59","null","null","174","165","null","null",
"0500000US06011","Colusa County, California","21479","*****","*****","null","8940","null","*****","*****","7800","23","null","null","186","86","null","null","230","70","null","null","328","62","null","null","16","null","17","null","54","null","59","null","326","null","146","null","0","23","null","null","326","146","null","null","12539","null","*****","*****","11164","436","null","null","12","20","null","null","17","24","null","null","0","23","null","null","0","23","null","null","1115","null","415","null","231","null","112","null","80","70","null","null","151","107","null","null",
"0500000US06013","Contra Costa County, California","1123678","*****","*****","null","839675","null","*****","*****","504818","597","null","null","93140","1657","null","null","2668","332","null","null","177544","1691","null","null","5195","null","353","null","3734","null","748","null","52576","null","2334","null","1824","337","null","null","50752","2296","null","null","284003","null","*****","*****","153751","4580","null","null","3205","815","null","null","2742","690","null","null","2528","438","null","null","347","288","null","null","99142","null","4536","null","22288","null","1782","null","11524","1470","null","null","10764","1025","null","null",
"0500000US06015","Del Norte County, California","27442","*****","*****","null","22161","null","*****","*****","17233","154","null","null","484","114","null","null","1965","287","null","null","741","193","null","null","21","null","29","null","134","null","154","null","1583","null","353","null","25","26","null","null","1558","356","null","null","5281","null","*****","*****","3840","294","null","null","9","14","null","null","193","149","null","null","35","29","null","null","0","23","null","null","775","null","235","null","429","null","153","null","110","92","null","null","319","127","null","null",
"0500000US06017","El Dorado County, California","185015","*****","*****","null","161736","null","*****","*****","145153","181","null","null","1614","211","null","null","1054","326","null","null","7805","402","null","null","322","null","138","null","209","null","155","null","5579","null","550","null","136","86","null","null","5443","544","null","null","23279","null","*****","*****","16728","871","null","null","175","153","null","null","293","117","null","null","59","58","null","null","11","18","null","null","4817","null","888","null","1196","null","344","null","590","227","null","null","606","245","null","null",
