"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Margin of Error!!Total!!Not Hispanic or Latino","Annotation of Estimate!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Annotation of Margin of Error!!Total!!Hispanic or Latino","Annotation of Estimate!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Annotation of Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1643700","*****","*****","null","1274639","*****","*****","null","523391","408","null","null","172329","null","1410","null","5288","null","261","null","483067","1874","null","null","13192","null","386","null","4977","644","null","null","72395","null","2411","null","4001","651","null","null","68394","null","2358","null","369061","*****","*****","null","158334","null","4422","null","4806","790","null","null","5424","null","875","null","3367","null","562","null","576","null","191","null","164794","null","4915","null","31760","null","1652","null","16043","1203","null","null","15717","null","1280","null",
"0500000US06003","Alpine County, California","1146","161","null","null","1041","155","null","null","678","152","null","null","9","null","20","null","294","null","57","null","8","16","null","null","0","null","12","null","0","12","null","null","52","null","38","null","0","12","null","null","52","null","38","null","105","57","null","null","45","null","28","null","0","12","null","null","17","null","18","null","0","null","12","null","8","null","14","null","0","null","12","null","35","null","34","null","0","12","null","null","35","null","34","null",
"0500000US06005","Amador County, California","37829","*****","*****","null","32697","*****","*****","null","29763","17","null","null","749","null","128","null","270","null","96","null","466","96","null","null","69","null","47","null","10","17","null","null","1370","null","234","null","0","26","null","null","1370","null","234","null","5132","*****","*****","null","3226","null","295","null","41","28","null","null","35","null","29","null","33","null","31","null","4","null","8","null","1364","null","252","null","429","null","189","null","188","155","null","null","241","null","105","null",
"0500000US06007","Butte County, California","227075","*****","*****","null","190717","*****","*****","null","164390","235","null","null","3303","null","320","null","1738","null","303","null","9900","582","null","null","341","null","147","null","406","208","null","null","10639","null","703","null","289","190","null","null","10350","null","681","null","36358","*****","*****","null","21705","null","1197","null","174","113","null","null","1147","null","316","null","251","null","130","null","86","null","80","null","9484","null","1040","null","3511","null","611","null","1402","292","null","null","2109","null","494","null",
"0500000US06009","Calaveras County, California","45235","*****","*****","null","39938","*****","*****","null","36905","66","null","null","299","null","143","null","374","null","232","null","568","138","null","null","126","null","42","null","52","62","null","null","1614","null","274","null","19","22","null","null","1595","null","272","null","5297","*****","*****","null","4470","null","332","null","3","6","null","null","118","null","118","null","0","null","26","null","0","null","26","null","495","null","247","null","211","null","161","null","63","65","null","null","148","null","140","null",
"0500000US06011","Colusa County, California","21464","*****","*****","null","8809","*****","*****","null","7672","23","null","null","277","null","22","null","159","null","56","null","324","53","null","null","53","null","35","null","30","42","null","null","294","null","90","null","0","23","null","null","294","null","90","null","12655","*****","*****","null","11182","null","355","null","85","88","null","null","42","null","47","null","0","null","23","null","0","null","23","null","1082","null","356","null","264","null","167","null","24","21","null","null","240","null","164","null",
"0500000US06013","Contra Costa County, California","1133247","*****","*****","null","845146","*****","*****","null","502951","607","null","null","93683","null","1433","null","2376","null","353","null","182135","1993","null","null","5251","null","363","null","3829","790","null","null","54921","null","2186","null","1740","441","null","null","53181","null","2150","null","288101","*****","*****","null","145374","null","4346","null","3650","928","null","null","3153","null","688","null","2930","null","602","null","334","null","274","null","109147","null","3978","null","23513","null","1703","null","12348","1408","null","null","11165","null","1238","null",
"0500000US06015","Del Norte County, California","27424","*****","*****","null","22084","*****","*****","null","17172","113","null","null","758","null","199","null","1841","null","229","null","937","131","null","null","17","null","19","null","128","118","null","null","1231","null","370","null","26","26","null","null","1205","null","364","null","5340","*****","*****","null","3786","null","283","null","27","29","null","null","183","null","136","null","40","null","40","null","0","null","23","null","840","null","268","null","464","null","147","null","206","116","null","null","258","null","94","null",
"0500000US06017","El Dorado County, California","186661","*****","*****","null","163030","*****","*****","null","145990","166","null","null","1432","null","209","null","939","null","307","null","8237","402","null","null","396","null","128","null","184","146","null","null","5852","null","551","null","131","81","null","null","5721","null","563","null","23631","*****","*****","null","18212","null","911","null","62","61","null","null","329","null","166","null","54","null","46","null","10","null","15","null","3867","null","777","null","1097","null","283","null","528","229","null","null","569","null","199","null",
