"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:","Annotation of Estimate!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Annotation of Margin of Error!!Total:!!Hispanic or Latino:","Annotation of Estimate!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1656754","*****","*****","null","1285735","*****","*****","null","520447","487","null","null","171168","null","1541","null","5210","null","310","null","496006","null","2088","null","13277","null","397","null","5407","852","null","null","74220","null","2515","null","4091","null","530","null","70129","2411","null","null","371019","*****","*****","null","149917","4200","null","null","4583","null","656","null","5910","null","893","null","3376","null","569","null","623","null","181","null","173837","null","4242","null","32773","1822","null","null","16655","null","1275","null","16118","null","1291","null",
"0500000US06003","Alpine County, California","1039","161","null","null","909","128","null","null","551","118","null","null","9","null","22","null","314","null","47","null","10","null","16","null","0","null","12","null","0","12","null","null","25","null","19","null","0","null","12","null","25","19","null","null","130","67","null","null","48","31","null","null","0","null","12","null","39","null","44","null","0","null","12","null","6","null","12","null","9","null","22","null","28","32","null","null","0","null","12","null","28","null","32","null",
"0500000US06005","Amador County, California","38429","*****","*****","null","33089","*****","*****","null","30035","34","null","null","848","null","107","null","249","null","86","null","477","null","135","null","52","null","46","null","10","13","null","null","1418","null","226","null","22","null","33","null","1396","228","null","null","5340","*****","*****","null","3292","348","null","null","56","null","32","null","54","null","58","null","31","null","32","null","5","null","9","null","1490","null","340","null","412","167","null","null","106","null","70","null","306","null","159","null",
"0500000US06007","Butte County, California","225817","*****","*****","null","188901","*****","*****","null","162537","240","null","null","3342","null","347","null","1699","null","292","null","10057","null","573","null","476","null","151","null","321","191","null","null","10469","null","813","null","301","null","230","null","10168","781","null","null","36916","*****","*****","null","21643","1150","null","null","119","null","99","null","917","null","274","null","375","null","210","null","127","null","110","null","10433","null","1177","null","3302","642","null","null","1705","null","436","null","1597","null","415","null",
"0500000US06009","Calaveras County, California","45514","*****","*****","null","40025","*****","*****","null","36837","99","null","null","315","null","157","null","184","null","113","null","684","null","146","null","19","null","21","null","55","64","null","null","1931","null","260","null","61","null","75","null","1870","256","null","null","5489","*****","*****","null","4336","337","null","null","0","null","26","null","169","null","127","null","0","null","26","null","0","null","26","null","553","null","272","null","431","248","null","null","62","null","68","null","369","null","237","null",
"0500000US06011","Colusa County, California","21454","*****","*****","null","8716","*****","*****","null","7576","23","null","null","256","null","45","null","143","null","67","null","273","null","79","null","38","null","30","null","36","45","null","null","394","null","112","null","0","null","23","null","394","112","null","null","12738","*****","*****","null","11373","405","null","null","71","null","73","null","82","null","78","null","36","null","62","null","0","null","23","null","961","null","374","null","215","119","null","null","26","null","37","null","189","null","116","null",
"0500000US06013","Contra Costa County, California","1142251","*****","*****","null","849953","*****","*****","null","500592","537","null","null","95892","null","1240","null","2278","null","322","null","188237","null","1851","null","5297","null","369","null","3657","700","null","null","54000","null","2120","null","1848","null","432","null","52152","2013","null","null","292298","*****","*****","null","137312","4358","null","null","3750","null","704","null","3228","null","729","null","2746","null","583","null","334","null","211","null","120972","null","4094","null","23956","1800","null","null","12811","null","1483","null","11145","null","1148","null",
"0500000US06015","Del Norte County, California","27495","*****","*****","null","22066","*****","*****","null","17028","197","null","null","899","null","132","null","1943","null","248","null","862","null","148","null","44","null","34","null","176","192","null","null","1114","null","331","null","19","null","30","null","1095","327","null","null","5429","*****","*****","null","3553","418","null","null","41","null","47","null","43","null","33","null","26","null","29","null","0","null","23","null","1144","null","279","null","622","282","null","null","374","null","240","null","248","null","129","null",
"0500000US06017","El Dorado County, California","188563","*****","*****","null","164364","*****","*****","null","146747","230","null","null","1426","null","162","null","1031","null","307","null","8487","null","452","null","472","null","105","null","295","238","null","null","5906","null","573","null","112","null","68","null","5794","570","null","null","24199","*****","*****","null","18487","816","null","null","90","null","72","null","501","null","264","null","53","null","45","null","14","null","21","null","3697","null","730","null","1357","406","null","null","638","null","279","null","719","null","245","null",
