"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Annotation of Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Annotation of Margin of Error!!Total:!!Hispanic or Latino:","Annotation of Estimate!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1661584","null","*****","*****","1292038","null","*****","*****","508583","null","886","null","167316","1387","null","null","4942","null","249","null","515105","null","2453","null","12924","533","null","null","6764","null","961","null","76404","null","3004","null","6085","null","888","null","70319","null","2631","null","369546","*****","*****","null","122454","null","4223","null","4606","null","749","null","6095","null","940","null","4144","877","null","null","724","null","247","null","177431","null","4471","null","54092","null","3288","null","35985","2793","null","null","18107","1767","null","null",
"0500000US06003","Alpine County, California","1159","null","172","null","976","null","127","null","595","null","120","null","10","23","null","null","333","null","41","null","6","null","9","null","0","13","null","null","0","null","13","null","32","null","23","null","1","null","2","null","31","null","23","null","183","111","null","null","68","null","66","null","0","null","13","null","27","null","34","null","0","13","null","null","4","null","9","null","5","null","11","null","79","null","81","null","65","84","null","null","14","13","null","null",
"0500000US06005","Amador County, California","39023","null","*****","*****","33432","null","*****","*****","29961","null","291","null","867","125","null","null","205","null","70","null","352","null","104","null","30","35","null","null","249","null","248","null","1768","null","244","null","163","null","190","null","1605","null","147","null","5591","*****","*****","null","3079","null","368","null","64","null","42","null","71","null","60","null","23","31","null","null","0","null","28","null","1288","null","263","null","1066","null","281","null","635","276","null","null","431","193","null","null",
"0500000US06007","Butte County, California","223344","null","*****","*****","185759","null","*****","*****","158924","null","309","null","3778","316","null","null","1725","null","323","null","10350","null","507","null","487","138","null","null","335","null","152","null","10160","null","792","null","563","null","322","null","9597","null","701","null","37585","*****","*****","null","19644","null","1238","null","88","null","57","null","903","null","222","null","393","252","null","null","230","null","159","null","10879","null","1044","null","5448","null","844","null","3571","814","null","null","1877","514","null","null",
"0500000US06009","Calaveras County, California","45828","null","*****","*****","40118","null","*****","*****","36780","null","118","null","450","159","null","null","271","null","146","null","864","null","152","null","18","21","null","null","44","null","52","null","1691","null","284","null","154","null","110","null","1537","null","264","null","5710","*****","*****","null","3278","null","407","null","0","null","28","null","247","null","161","null","0","28","null","null","0","null","28","null","964","null","459","null","1221","null","388","null","814","314","null","null","407","231","null","null",
"0500000US06011","Colusa County, California","21491","null","*****","*****","8651","null","*****","*****","7482","null","25","null","263","61","null","null","149","null","71","null","160","null","85","null","32","35","null","null","53","null","58","null","512","null","120","null","0","null","25","null","512","null","120","null","12840","*****","*****","null","9530","null","618","null","67","null","84","null","90","null","76","null","41","59","null","null","0","null","25","null","1316","null","534","null","1796","null","530","null","1670","532","null","null","126","68","null","null",
"0500000US06013","Contra Costa County, California","1147788","null","*****","*****","851997","null","*****","*****","489135","null","1486","null","94463","1509","null","null","2198","null","370","null","196904","null","2267","null","5269","370","null","null","4153","null","994","null","59875","null","3550","null","4656","null","1496","null","55219","null","2912","null","295791","*****","*****","null","119654","null","4326","null","4106","null","934","null","2993","null","626","null","3255","641","null","null","407","null","220","null","120494","null","4712","null","44882","null","3562","null","31279","3116","null","null","13603","1928","null","null",
"0500000US06015","Del Norte County, California","27692","null","*****","*****","22140","null","*****","*****","16928","null","254","null","723","126","null","null","1867","null","228","null","851","null","174","null","50","36","null","null","341","null","285","null","1380","null","358","null","125","null","142","null","1255","null","339","null","5552","*****","*****","null","3074","null","467","null","24","null","28","null","76","null","66","null","29","28","null","null","0","null","25","null","1569","null","425","null","780","null","269","null","528","226","null","null","252","120","null","null",
"0500000US06017","El Dorado County, California","190345","null","*****","*****","165572","null","*****","*****","146919","null","262","null","1439","203","null","null","864","null","294","null","9023","null","470","null","439","100","null","null","309","null","168","null","6579","null","624","null","365","null","192","null","6214","null","595","null","24773","*****","*****","null","17633","null","1132","null","147","null","97","null","448","null","201","null","88","54","null","null","40","null","45","null","4337","null","975","null","2080","null","428","null","1371","357","null","null","709","251","null","null",
