"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Annotation of Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Annotation of Margin of Error!!Total:!!Hispanic or Latino:","Annotation of Estimate!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US06001","Alameda County, California","1673133","*****","*****","null","1298591","null","*****","*****","499730","988","null","null","166017","1837","null","null","5248","318","null","null","524980","2437","null","null","12699","566","null","null","8642","1208","null","null","81275","null","3259","null","8438","1001","null","null","72837","2964","null","null","374542","*****","*****","null","101061","3946","null","null","4615","781","null","null","7209","null","813","null","3522","695","null","null","612","null","194","null","189184","null","4800","null","68339","3458","null","null","48564","3228","null","null","19775","1810","null","null",
"0500000US06003","Alpine County, California","1344","228","null","null","1147","null","153","null","730","153","null","null","8","19","null","null","354","40","null","null","10","8","null","null","0","13","null","null","0","13","null","null","45","null","31","null","15","17","null","null","30","22","null","null","197","146","null","null","66","79","null","null","0","13","null","null","33","null","53","null","0","13","null","null","7","null","15","null","4","null","9","null","87","92","null","null","72","90","null","null","15","18","null","null",
"0500000US06005","Amador County, California","40095","*****","*****","null","34129","null","*****","*****","30081","412","null","null","930","113","null","null","257","91","null","null","429","118","null","null","18","12","null","null","316","258","null","null","2098","null","393","null","531","351","null","null","1567","171","null","null","5966","*****","*****","null","2713","407","null","null","67","54","null","null","89","null","56","null","29","29","null","null","0","null","28","null","1600","null","298","null","1468","345","null","null","1132","356","null","null","336","169","null","null",
"0500000US06007","Butte County, California","217884","*****","*****","null","179902","null","*****","*****","153153","300","null","null","3897","316","null","null","1451","287","null","null","10617","595","null","null","517","105","null","null","299","134","null","null","9968","null","752","null","732","294","null","null","9236","685","null","null","37982","*****","*****","null","16397","1049","null","null","102","57","null","null","1013","null","304","null","357","238","null","null","107","null","70","null","11403","null","1123","null","8603","938","null","null","6188","899","null","null","2415","561","null","null",
"0500000US06009","Calaveras County, California","45349","*****","*****","null","39421","null","*****","*****","35925","129","null","null","439","164","null","null","284","148","null","null","1020","152","null","null","18","18","null","null","18","29","null","null","1717","null","299","null","240","128","null","null","1477","267","null","null","5928","*****","*****","null","2448","579","null","null","0","28","null","null","264","null","136","null","0","28","null","null","0","null","28","null","1313","null","491","null","1903","509","null","null","1418","460","null","null","485","277","null","null",
"0500000US06011","Colusa County, California","21780","*****","*****","null","8603","null","*****","*****","7398","3","null","null","293","64","null","null","140","83","null","null","144","85","null","null","31","33","null","null","18","25","null","null","579","null","139","null","0","25","null","null","579","139","null","null","13177","*****","*****","null","7577","722","null","null","69","87","null","null","152","null","116","null","52","65","null","null","0","null","25","null","2833","null","670","null","2494","642","null","null","2375","643","null","null","119","80","null","null",
"0500000US06013","Contra Costa County, California","1161643","*****","*****","null","857322","null","*****","*****","483519","1519","null","null","96256","1554","null","null","2158","279","null","null","203875","1997","null","null","5268","489","null","null","4956","819","null","null","61290","null","2647","null","6290","1437","null","null","55000","2340","null","null","304321","*****","*****","null","97004","3884","null","null","4004","949","null","null","5649","null","998","null","3043","668","null","null","343","null","226","null","131247","null","4514","null","63031","4128","null","null","48164","3777","null","null","14867","1767","null","null",
"0500000US06015","Del Norte County, California","27655","*****","*****","null","21992","null","*****","*****","16617","283","null","null","799","138","null","null","1683","220","null","null","810","200","null","null","43","39","null","null","401","287","null","null","1639","null","401","null","185","163","null","null","1454","339","null","null","5663","*****","*****","null","2567","402","null","null","24","30","null","null","187","null","114","null","14","27","null","null","0","null","25","null","1812","null","473","null","1059","254","null","null","783","174","null","null","276","170","null","null",
"0500000US06017","El Dorado County, California","190568","*****","*****","null","165206","null","*****","*****","145363","461","null","null","1492","213","null","null","632","243","null","null","9145","415","null","null","280","161","null","null","381","211","null","null","7913","null","695","null","1046","389","null","null","6867","571","null","null","25362","*****","*****","null","16018","1097","null","null","147","101","null","null","459","null","221","null","301","154","null","null","24","null","40","null","4869","null","879","null","3544","610","null","null","2706","534","null","null","838","258","null","null",
