"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"P5_001N"," !!Total:"
"P5_001NA","Annotation of  !!Total:"
"P5_002N"," !!Total:!!Institutionalized population:"
"P5_002NA","Annotation of  !!Total:!!Institutionalized population:"
"P5_003N"," !!Total:!!Institutionalized population:!!Correctional facilities for adults"
"P5_003NA","Annotation of  !!Total:!!Institutionalized population:!!Correctional facilities for adults"
"P5_004N"," !!Total:!!Institutionalized population:!!Juvenile facilities"
"P5_004NA","Annotation of  !!Total:!!Institutionalized population:!!Juvenile facilities"
"P5_005N"," !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"
"P5_005NA","Annotation of  !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"
"P5_006N"," !!Total:!!Institutionalized population:!!Other institutional facilities"
"P5_006NA","Annotation of  !!Total:!!Institutionalized population:!!Other institutional facilities"
"P5_007N"," !!Total:!!Noninstitutionalized population:"
"P5_007NA","Annotation of  !!Total:!!Noninstitutionalized population:"
"P5_008N"," !!Total:!!Noninstitutionalized population:!!College/University student housing"
"P5_008NA","Annotation of  !!Total:!!Noninstitutionalized population:!!College/University student housing"
"P5_009N"," !!Total:!!Noninstitutionalized population:!!Military quarters"
"P5_009NA","Annotation of  !!Total:!!Noninstitutionalized population:!!Military quarters"
"P5_010N"," !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities"
"P5_010NA","Annotation of  !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities"
