"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Annotation of Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Annotation of Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Annotation of Margin of Error!!Total!!$45,000 to $49,999","Annotation of Estimate!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Annotation of Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Annotation of Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Annotation of Margin of Error!!Total!!$75,000 to $99,999","Annotation of Estimate!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Annotation of Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Annotation of Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Annotation of Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more","Annotation of Margin of Error!!Total!!$200,000 or more",
"1400000US06001400100","Census Tract 4001, Alameda County, California","1286","null","63","null","31","null","24","null","12","null","19","null","0","null","12","null","7","null","11","null","39","null","38","null","51","null","30","null","0","null","12","null","0","null","12","null","9","15","null","null","41","28","null","null","41","null","28","null","154","56","null","null","112","null","63","null","87","43","null","null","113","null","55","null","589","null","97","null",
"1400000US06001400200","Census Tract 4002, Alameda County, California","832","null","43","null","20","null","14","null","0","null","12","null","10","null","11","null","0","null","12","null","6","null","8","null","10","null","11","null","22","null","16","null","11","null","11","null","0","12","null","null","47","22","null","null","57","null","24","null","45","22","null","null","111","null","40","null","112","47","null","null","108","null","45","null","273","null","54","null",
"1400000US06001400300","Census Tract 4003, Alameda County, California","2489","null","98","null","59","null","44","null","262","null","142","null","78","null","82","null","55","null","51","null","119","null","85","null","53","null","52","null","40","null","37","null","103","null","95","null","12","20","null","null","196","126","null","null","192","null","90","null","208","92","null","null","172","null","85","null","231","106","null","null","257","null","104","null","452","null","123","null",
"1400000US06001400400","Census Tract 4004, Alameda County, California","1801","null","87","null","74","null","43","null","51","null","32","null","57","null","41","null","42","null","34","null","39","null","34","null","96","null","57","null","13","null","16","null","14","null","17","null","29","26","null","null","75","52","null","null","118","null","56","null","282","97","null","null","242","null","96","null","137","62","null","null","335","null","106","null","197","null","72","null",
"1400000US06001400500","Census Tract 4005, Alameda County, California","1624","null","57","null","50","null","29","null","81","null","52","null","43","null","41","null","81","null","60","null","70","null","43","null","76","null","47","null","36","null","28","null","76","null","53","null","18","19","null","null","113","64","null","null","146","null","61","null","373","90","null","null","219","null","91","null","82","52","null","null","109","null","50","null","51","null","32","null",
"1400000US06001400600","Census Tract 4006, Alameda County, California","701","null","45","null","35","null","33","null","45","null","31","null","17","null","20","null","51","null","31","null","32","null","31","null","40","null","40","null","39","null","36","null","8","null","12","null","30","21","null","null","49","36","null","null","36","null","23","null","64","30","null","null","77","null","46","null","41","25","null","null","78","null","34","null","59","null","30","null",
"1400000US06001400700","Census Tract 4007, Alameda County, California","1793","null","87","null","89","null","74","null","193","null","97","null","115","null","63","null","160","null","89","null","120","null","60","null","87","null","67","null","141","null","69","null","94","null","62","null","129","78","null","null","68","39","null","null","96","null","44","null","134","60","null","null","116","null","60","null","90","46","null","null","93","null","39","null","68","null","48","null",
"1400000US06001400800","Census Tract 4008, Alameda County, California","1572","null","108","null","99","null","53","null","74","null","45","null","10","null","16","null","54","null","43","null","108","null","71","null","94","null","51","null","111","null","62","null","41","null","26","null","56","30","null","null","141","62","null","null","148","null","62","null","217","73","null","null","134","null","65","null","86","50","null","null","116","null","55","null","83","null","48","null",
"1400000US06001400900","Census Tract 4009, Alameda County, California","1013","null","75","null","85","null","54","null","47","null","34","null","54","null","36","null","26","null","23","null","41","null","41","null","41","null","37","null","30","null","34","null","34","null","34","null","12","13","null","null","152","79","null","null","80","null","52","null","123","60","null","null","119","null","60","null","40","35","null","null","80","null","49","null","49","null","34","null",
