"GEO_ID","NAME","B25064_001E","B25064_001M","B25064_001MA","B25064_001EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent","Annotation of Margin of Error!!Median gross rent","Annotation of Estimate!!Median gross rent",
"1400000US06001400100","Census Tract 4001, Alameda County, California","3,500+","***","***","3,500+",
"1400000US06001400200","Census Tract 4002, Alameda County, California","1902","200","null","null",
"1400000US06001400300","Census Tract 4003, Alameda County, California","1481","184","null","null",
"1400000US06001400400","Census Tract 4004, Alameda County, California","1624","149","null","null",
"1400000US06001400500","Census Tract 4005, Alameda County, California","1627","175","null","null",
"1400000US06001400600","Census Tract 4006, Alameda County, California","1640","209","null","null",
"1400000US06001400700","Census Tract 4007, Alameda County, California","1593","217","null","null",
"1400000US06001400800","Census Tract 4008, Alameda County, California","1460","159","null","null",
"1400000US06001400900","Census Tract 4009, Alameda County, California","1668","140","null","null",
"1400000US06001401000","Census Tract 4010, Alameda County, California","1617","216","null","null",
"1400000US06001401100","Census Tract 4011, Alameda County, California","1608","161","null","null",
"1400000US06001401200","Census Tract 4012, Alameda County, California","1657","250","null","null",
"1400000US06001401300","Census Tract 4013, Alameda County, California","1126","62","null","null",
"1400000US06001401400","Census Tract 4014, Alameda County, California","1275","146","null","null",
"1400000US06001401500","Census Tract 4015, Alameda County, California","1260","246","null","null",
"1400000US06001401600","Census Tract 4016, Alameda County, California","1288","136","null","null",
"1400000US06001401700","Census Tract 4017, Alameda County, California","1679","326","null","null",
"1400000US06001401800","Census Tract 4018, Alameda County, California","920","265","null","null",
"1400000US06001402200","Census Tract 4022, Alameda County, California","1340","350","null","null",
"1400000US06001402400","Census Tract 4024, Alameda County, California","1065","315","null","null",
"1400000US06001402500","Census Tract 4025, Alameda County, California","742","194","null","null",
"1400000US06001402600","Census Tract 4026, Alameda County, California","887","185","null","null",
"1400000US06001402700","Census Tract 4027, Alameda County, California","1307","193","null","null",
"1400000US06001402800","Census Tract 4028, Alameda County, California","1016","472","null","null",
"1400000US06001402900","Census Tract 4029, Alameda County, California","957","103","null","null",
"1400000US06001403000","Census Tract 4030, Alameda County, California","879","270","null","null",
"1400000US06001403100","Census Tract 4031, Alameda County, California","950","713","null","null",
"1400000US06001403300","Census Tract 4033, Alameda County, California","1636","551","null","null",
"1400000US06001403400","Census Tract 4034, Alameda County, California","1322","143","null","null",
"1400000US06001403501","Census Tract 4035.01, Alameda County, California","1097","135","null","null",
"1400000US06001403502","Census Tract 4035.02, Alameda County, California","1570","110","null","null",
"1400000US06001403600","Census Tract 4036, Alameda County, California","1472","116","null","null",
"1400000US06001403701","Census Tract 4037.01, Alameda County, California","1403","83","null","null",
"1400000US06001403702","Census Tract 4037.02, Alameda County, California","1713","85","null","null",
"1400000US06001403800","Census Tract 4038, Alameda County, California","1709","131","null","null",
"1400000US06001403900","Census Tract 4039, Alameda County, California","1474","115","null","null",
"1400000US06001404000","Census Tract 4040, Alameda County, California","1532","109","null","null",
"1400000US06001404101","Census Tract 4041.01, Alameda County, California","1642","119","null","null",
"1400000US06001404102","Census Tract 4041.02, Alameda County, California","1482","136","null","null",
"1400000US06001404200","Census Tract 4042, Alameda County, California","2674","575","null","null",
"1400000US06001404300","Census Tract 4043, Alameda County, California","1821","965","null","null",
"1400000US06001404400","Census Tract 4044, Alameda County, California","2727","742","null","null",
"1400000US06001404501","Census Tract 4045.01, Alameda County, California","1839","542","null","null",
"1400000US06001404502","Census Tract 4045.02, Alameda County, California","2254","290","null","null",
"1400000US06001404600","Census Tract 4046, Alameda County, California","3185","1872","null","null",
"1400000US06001404700","Census Tract 4047, Alameda County, California","3250","1299","null","null",
"1400000US06001404800","Census Tract 4048, Alameda County, California","1339","258","null","null",
"1400000US06001404900","Census Tract 4049, Alameda County, California","1446","177","null","null",
"1400000US06001405000","Census Tract 4050, Alameda County, California","1493","203","null","null",
"1400000US06001405100","Census Tract 4051, Alameda County, California","2569","286","null","null",
"1400000US06001405200","Census Tract 4052, Alameda County, California","1548","123","null","null",
"1400000US06001405301","Census Tract 4053.01, Alameda County, California","1500","132","null","null",
"1400000US06001405302","Census Tract 4053.02, Alameda County, California","1102","86","null","null",
"1400000US06001405401","Census Tract 4054.01, Alameda County, California","1160","50","null","null",
"1400000US06001405402","Census Tract 4054.02, Alameda County, California","1167","55","null","null",
"1400000US06001405500","Census Tract 4055, Alameda County, California","1315","118","null","null",
"1400000US06001405600","Census Tract 4056, Alameda County, California","1303","125","null","null",
"1400000US06001405700","Census Tract 4057, Alameda County, California","1152","69","null","null",
"1400000US06001405800","Census Tract 4058, Alameda County, California","1305","210","null","null",
"1400000US06001405901","Census Tract 4059.01, Alameda County, California","1071","114","null","null",
"1400000US06001405902","Census Tract 4059.02, Alameda County, California","1246","120","null","null",
"1400000US06001406000","Census Tract 4060, Alameda County, California","1028","131","null","null",
"1400000US06001406100","Census Tract 4061, Alameda County, California","1392","194","null","null",
"1400000US06001406201","Census Tract 4062.01, Alameda County, California","1032","89","null","null",
"1400000US06001406202","Census Tract 4062.02, Alameda County, California","1159","81","null","null",
"1400000US06001406300","Census Tract 4063, Alameda County, California","1155","114","null","null",
"1400000US06001406400","Census Tract 4064, Alameda County, California","1314","229","null","null",
"1400000US06001406500","Census Tract 4065, Alameda County, California","1283","128","null","null",
"1400000US06001406601","Census Tract 4066.01, Alameda County, California","1410","68","null","null",
"1400000US06001406602","Census Tract 4066.02, Alameda County, California","1165","78","null","null",
"1400000US06001406700","Census Tract 4067, Alameda County, California","1396","217","null","null",
"1400000US06001406800","Census Tract 4068, Alameda County, California","1583","602","null","null",
