"GEO_ID","NAME","B19013_001M","B19013_001MA","B19013_001E","B19013_001EA",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"1400000US06001400100","Census Tract 4001, Alameda County, California","32914","null","173472","null",
"1400000US06001400200","Census Tract 4002, Alameda County, California","36592","null","95833","null",
"1400000US06001400300","Census Tract 4003, Alameda County, California","14890","null","52314","null",
"1400000US06001400400","Census Tract 4004, Alameda County, California","14317","null","79071","null",
"1400000US06001400500","Census Tract 4005, Alameda County, California","11346","null","52076","null",
"1400000US06001400600","Census Tract 4006, Alameda County, California","15509","null","47792","null",
"1400000US06001400700","Census Tract 4007, Alameda County, California","12071","null","38790","null",
"1400000US06001400800","Census Tract 4008, Alameda County, California","15366","null","37143","null",
"1400000US06001400900","Census Tract 4009, Alameda County, California","9651","null","50341","null",
"1400000US06001401000","Census Tract 4010, Alameda County, California","10226","null","41588","null",
"1400000US06001401100","Census Tract 4011, Alameda County, California","6007","null","40539","null",
"1400000US06001401200","Census Tract 4012, Alameda County, California","20544","null","68398","null",
"1400000US06001401300","Census Tract 4013, Alameda County, California","7169","null","26897","null",
"1400000US06001401400","Census Tract 4014, Alameda County, California","9579","null","24861","null",
"1400000US06001401500","Census Tract 4015, Alameda County, California","9867","null","26311","null",
"1400000US06001401600","Census Tract 4016, Alameda County, California","8071","null","36820","null",
"1400000US06001401700","Census Tract 4017, Alameda County, California","20257","null","48229","null",
"1400000US06001401800","Census Tract 4018, Alameda County, California","3158","null","27520","null",
"1400000US06001402200","Census Tract 4022, Alameda County, California","14459","null","28269","null",
"1400000US06001402400","Census Tract 4024, Alameda County, California","8083","null","22226","null",
"1400000US06001402500","Census Tract 4025, Alameda County, California","12016","null","27500","null",
"1400000US06001402600","Census Tract 4026, Alameda County, California","5828","null","21792","null",
"1400000US06001402700","Census Tract 4027, Alameda County, California","14267","null","33922","null",
"1400000US06001402800","Census Tract 4028, Alameda County, California","5574","null","18013","null",
"1400000US06001402900","Census Tract 4029, Alameda County, California","5754","null","18706","null",
"1400000US06001403000","Census Tract 4030, Alameda County, California","3060","null","17349","null",
"1400000US06001403100","Census Tract 4031, Alameda County, California","17055","null","31719","null",
"1400000US06001403300","Census Tract 4033, Alameda County, California","17868","null","63913","null",
"1400000US06001403400","Census Tract 4034, Alameda County, California","10477","null","45194","null",
"1400000US06001403501","Census Tract 4035.01, Alameda County, California","10328","null","30235","null",
"1400000US06001403502","Census Tract 4035.02, Alameda County, California","7140","null","61367","null",
"1400000US06001403600","Census Tract 4036, Alameda County, California","8073","null","56458","null",
"1400000US06001403701","Census Tract 4037.01, Alameda County, California","9237","null","55674","null",
