"GEO_ID","NAME","B19013_001E","B19013_001M","B19013_001MA","B19013_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)",
"1400000US06001400100","Census Tract 4001, Alameda County, California","156250","44608","null","null",
"1400000US06001400200","Census Tract 4002, Alameda County, California","111667","34550","null","null",
"1400000US06001400300","Census Tract 4003, Alameda County, California","66094","27606","null","null",
"1400000US06001400400","Census Tract 4004, Alameda County, California","87306","15231","null","null",
"1400000US06001400500","Census Tract 4005, Alameda County, California","62386","14585","null","null",
"1400000US06001400600","Census Tract 4006, Alameda County, California","55658","15209","null","null",
"1400000US06001400700","Census Tract 4007, Alameda County, California","38646","8270","null","null",
"1400000US06001400800","Census Tract 4008, Alameda County, California","52837","9604","null","null",
"1400000US06001400900","Census Tract 4009, Alameda County, California","59091","13205","null","null",
"1400000US06001401000","Census Tract 4010, Alameda County, California","40402","6714","null","null",
"1400000US06001401100","Census Tract 4011, Alameda County, California","44140","4898","null","null",
"1400000US06001401200","Census Tract 4012, Alameda County, California","59554","26846","null","null",
"1400000US06001401300","Census Tract 4013, Alameda County, California","31080","5723","null","null",
"1400000US06001401400","Census Tract 4014, Alameda County, California","30777","6150","null","null",
"1400000US06001401500","Census Tract 4015, Alameda County, California","27183","16193","null","null",
"1400000US06001401600","Census Tract 4016, Alameda County, California","37679","4998","null","null",
"1400000US06001401700","Census Tract 4017, Alameda County, California","62895","23513","null","null",
"1400000US06001401800","Census Tract 4018, Alameda County, California","30370","3073","null","null",
"1400000US06001402200","Census Tract 4022, Alameda County, California","39286","15579","null","null",
"1400000US06001402400","Census Tract 4024, Alameda County, California","20874","2716","null","null",
"1400000US06001402500","Census Tract 4025, Alameda County, California","21571","7249","null","null",
"1400000US06001402600","Census Tract 4026, Alameda County, California","22531","4484","null","null",
"1400000US06001402700","Census Tract 4027, Alameda County, California","35080","13906","null","null",
"1400000US06001402800","Census Tract 4028, Alameda County, California","21993","3218","null","null",
"1400000US06001402900","Census Tract 4029, Alameda County, California","19766","6997","null","null",
"1400000US06001403000","Census Tract 4030, Alameda County, California","17569","2662","null","null",
"1400000US06001403100","Census Tract 4031, Alameda County, California","42625","19190","null","null",
"1400000US06001403300","Census Tract 4033, Alameda County, California","69605","20577","null","null",
"1400000US06001403400","Census Tract 4034, Alameda County, California","42358","10863","null","null",
"1400000US06001403501","Census Tract 4035.01, Alameda County, California","33635","8091","null","null",
"1400000US06001403502","Census Tract 4035.02, Alameda County, California","63199","9801","null","null",
"1400000US06001403600","Census Tract 4036, Alameda County, California","56303","9891","null","null",
"1400000US06001403701","Census Tract 4037.01, Alameda County, California","60278","7642","null","null",
"1400000US06001403702","Census Tract 4037.02, Alameda County, California","66761","22546","null","null",
"1400000US06001403800","Census Tract 4038, Alameda County, California","78036","7921","null","null",
"1400000US06001403900","Census Tract 4039, Alameda County, California","61995","11666","null","null",
"1400000US06001404000","Census Tract 4040, Alameda County, California","61632","7828","null","null",
"1400000US06001404101","Census Tract 4041.01, Alameda County, California","73899","29487","null","null",
"1400000US06001404102","Census Tract 4041.02, Alameda County, California","50684","6475","null","null",
"1400000US06001404200","Census Tract 4042, Alameda County, California","152853","24006","null","null",
"1400000US06001404300","Census Tract 4043, Alameda County, California","195227","39482","null","null",
"1400000US06001404400","Census Tract 4044, Alameda County, California","133347","15826","null","null",
"1400000US06001404501","Census Tract 4045.01, Alameda County, California","134574","30903","null","null",
"1400000US06001404502","Census Tract 4045.02, Alameda County, California","125714","12880","null","null",
"1400000US06001404600","Census Tract 4046, Alameda County, California","147778","16863","null","null",
"1400000US06001404700","Census Tract 4047, Alameda County, California","137232","20905","null","null",
"1400000US06001404800","Census Tract 4048, Alameda County, California","88833","25640","null","null",
"1400000US06001404900","Census Tract 4049, Alameda County, California","65158","7137","null","null",
"1400000US06001405000","Census Tract 4050, Alameda County, California","108472","14368","null","null",
"1400000US06001405100","Census Tract 4051, Alameda County, California","166554","21812","null","null",
"1400000US06001405200","Census Tract 4052, Alameda County, California","59332","9602","null","null",
"1400000US06001405301","Census Tract 4053.01, Alameda County, California","61750","14466","null","null",
"1400000US06001405302","Census Tract 4053.02, Alameda County, California","20787","4720","null","null",
"1400000US06001405401","Census Tract 4054.01, Alameda County, California","27360","6636","null","null",
"1400000US06001405402","Census Tract 4054.02, Alameda County, California","30534","8140","null","null",
"1400000US06001405500","Census Tract 4055, Alameda County, California","41550","12070","null","null",
"1400000US06001405600","Census Tract 4056, Alameda County, California","41820","8288","null","null",
"1400000US06001405700","Census Tract 4057, Alameda County, California","43750","21486","null","null",
"1400000US06001405800","Census Tract 4058, Alameda County, California","38472","8914","null","null",
"1400000US06001405901","Census Tract 4059.01, Alameda County, California","38879","5193","null","null",
"1400000US06001405902","Census Tract 4059.02, Alameda County, California","38523","10460","null","null",
"1400000US06001406000","Census Tract 4060, Alameda County, California","24922","8147","null","null",
"1400000US06001406100","Census Tract 4061, Alameda County, California","52917","8926","null","null",
"1400000US06001406201","Census Tract 4062.01, Alameda County, California","29727","9870","null","null",
"1400000US06001406202","Census Tract 4062.02, Alameda County, California","25417","8921","null","null",
"1400000US06001406300","Census Tract 4063, Alameda County, California","37731","9987","null","null",
"1400000US06001406400","Census Tract 4064, Alameda County, California","48694","6368","null","null",
"1400000US06001406500","Census Tract 4065, Alameda County, California","34669","9610","null","null",
