"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)",
"1400000US06001400100","Census Tract 4001, Alameda County, California","174113","null","37080","null",
"1400000US06001400200","Census Tract 4002, Alameda County, California","141806","null","12739","null",
"1400000US06001400300","Census Tract 4003, Alameda County, California","84598","null","15779","null",
"1400000US06001400400","Census Tract 4004, Alameda County, California","102386","null","13037","null",
"1400000US06001400500","Census Tract 4005, Alameda County, California","76038","null","4925","null",
"1400000US06001400600","Census Tract 4006, Alameda County, California","60804","null","22129","null",
"1400000US06001400700","Census Tract 4007, Alameda County, California","39614","null","6204","null",
"1400000US06001400800","Census Tract 4008, Alameda County, California","59886","null","5934","null",
"1400000US06001400900","Census Tract 4009, Alameda County, California","57003","null","11564","null",
"1400000US06001401000","Census Tract 4010, Alameda County, California","44766","null","18411","null",
"1400000US06001401100","Census Tract 4011, Alameda County, California","59500","null","9352","null",
"1400000US06001401200","Census Tract 4012, Alameda County, California","78203","null","8179","null",
"1400000US06001401300","Census Tract 4013, Alameda County, California","36788","null","5112","null",
"1400000US06001401400","Census Tract 4014, Alameda County, California","28532","null","5696","null",
"1400000US06001401500","Census Tract 4015, Alameda County, California","48490","null","4382","null",
"1400000US06001401600","Census Tract 4016, Alameda County, California","37946","null","14261","null",
"1400000US06001401700","Census Tract 4017, Alameda County, California","72386","null","26442","null",
"1400000US06001401800","Census Tract 4018, Alameda County, California","26806","null","5077","null",
"1400000US06001402200","Census Tract 4022, Alameda County, California","41500","null","8594","null",
"1400000US06001402400","Census Tract 4024, Alameda County, California","29835","null","7865","null",
"1400000US06001402500","Census Tract 4025, Alameda County, California","19042","null","5859","null",
"1400000US06001402600","Census Tract 4026, Alameda County, California","20270","null","2287","null",
"1400000US06001402700","Census Tract 4027, Alameda County, California","40169","null","20621","null",
"1400000US06001402800","Census Tract 4028, Alameda County, California","17278","null","3058","null",
"1400000US06001402900","Census Tract 4029, Alameda County, California","31319","null","8045","null",
"1400000US06001403000","Census Tract 4030, Alameda County, California","17609","null","2790","null",
"1400000US06001403100","Census Tract 4031, Alameda County, California","59250","null","26444","null",
"1400000US06001403300","Census Tract 4033, Alameda County, California","57064","null","12335","null",
"1400000US06001403400","Census Tract 4034, Alameda County, California","42982","null","5671","null",
"1400000US06001403501","Census Tract 4035.01, Alameda County, California","40000","null","10467","null",
"1400000US06001403502","Census Tract 4035.02, Alameda County, California","61000","null","20736","null",
"1400000US06001403600","Census Tract 4036, Alameda County, California","63068","null","10075","null",
"1400000US06001403701","Census Tract 4037.01, Alameda County, California","64044","null","14967","null",
"1400000US06001403702","Census Tract 4037.02, Alameda County, California","72214","null","11876","null",
"1400000US06001403800","Census Tract 4038, Alameda County, California","86250","null","7968","null",
"1400000US06001403900","Census Tract 4039, Alameda County, California","63624","null","11259","null",
"1400000US06001404000","Census Tract 4040, Alameda County, California","72870","null","10448","null",
"1400000US06001404101","Census Tract 4041.01, Alameda County, California","70845","null","9091","null",
"1400000US06001404102","Census Tract 4041.02, Alameda County, California","65139","null","10179","null",
"1400000US06001404200","Census Tract 4042, Alameda County, California","156613","null","15423","null",
"1400000US06001404300","Census Tract 4043, Alameda County, California","178385","null","22464","null",
"1400000US06001404400","Census Tract 4044, Alameda County, California","143664","null","24222","null",
"1400000US06001404501","Census Tract 4045.01, Alameda County, California","176058","null","13986","null",
"1400000US06001404502","Census Tract 4045.02, Alameda County, California","119688","null","19340","null",
"1400000US06001404600","Census Tract 4046, Alameda County, California","155000","null","14681","null",
"1400000US06001404700","Census Tract 4047, Alameda County, California","151083","null","20416","null",
"1400000US06001404800","Census Tract 4048, Alameda County, California","59375","null","13884","null",
"1400000US06001404900","Census Tract 4049, Alameda County, California","73787","null","5103","null",
"1400000US06001405000","Census Tract 4050, Alameda County, California","118207","null","14114","null",
"1400000US06001405100","Census Tract 4051, Alameda County, California","188769","null","8942","null",
"1400000US06001405200","Census Tract 4052, Alameda County, California","72344","null","10030","null",
"1400000US06001405301","Census Tract 4053.01, Alameda County, California","58689","null","12545","null",
"1400000US06001405302","Census Tract 4053.02, Alameda County, California","34567","null","6843","null",
"1400000US06001405401","Census Tract 4054.01, Alameda County, California","34676","null","9161","null",
"1400000US06001405402","Census Tract 4054.02, Alameda County, California","29913","null","6775","null",
"1400000US06001405500","Census Tract 4055, Alameda County, California","47059","null","10361","null",
"1400000US06001405600","Census Tract 4056, Alameda County, California","49295","null","6964","null",
"1400000US06001405700","Census Tract 4057, Alameda County, California","40614","null","8873","null",
"1400000US06001405800","Census Tract 4058, Alameda County, California","43278","null","7050","null",
"1400000US06001405901","Census Tract 4059.01, Alameda County, California","32643","null","7522","null",
"1400000US06001405902","Census Tract 4059.02, Alameda County, California","34408","null","9110","null",
"1400000US06001406000","Census Tract 4060, Alameda County, California","25302","null","10437","null",
"1400000US06001406100","Census Tract 4061, Alameda County, California","50573","null","19549","null",
"1400000US06001406201","Census Tract 4062.01, Alameda County, California","34694","null","5347","null",
