"GEO_ID","NAME","P052001","P052002","P052003","P052004","P052005","P052006","P052007","P052008","P052009","P052010","P052011","P052012","P052013","P052014","P052015","P052016","P052017",
"Geography","Label for GEO_ID","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $19,999","Total!!$20,000 to $24,999","Total!!$25,000 to $29,999","Total!!$30,000 to $34,999","Total!!$35,000 to $39,999","Total!!$40,000 to $44,999","Total!!$45,000 to $49,999","Total!!$50,000 to $59,999","Total!!$60,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $124,999","Total!!$125,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more",
"1500000US060014001001","Block Group 1, Census Tract 4001, Alameda County, California","1091","35","5","10","7","22","48","25","11","24","40","68","100","112","103","135","346",
"1500000US060014002001","Block Group 1, Census Tract 4002, Alameda County, California","453","0","21","7","7","0","13","37","6","12","6","42","117","64","6","40","75",
"1500000US060014002002","Block Group 2, Census Tract 4002, Alameda County, California","463","14","17","8","33","32","17","35","18","3","27","48","71","44","27","22","47",
"1500000US060014003001","Block Group 1, Census Tract 4003, Alameda County, California","505","23","8","10","8","31","10","19","15","25","65","60","48","50","37","62","34",
"1500000US060014003002","Block Group 2, Census Tract 4003, Alameda County, California","733","40","31","39","59","57","8","8","54","28","65","123","59","77","19","35","31",
"1500000US060014003003","Block Group 3, Census Tract 4003, Alameda County, California","581","64","60","37","27","51","11","23","23","29","39","55","97","15","20","25","5",
"1500000US060014003004","Block Group 4, Census Tract 4003, Alameda County, California","681","65","37","23","30","16","20","19","15","54","27","62","97","33","59","73","51",
"1500000US060014004001","Block Group 1, Census Tract 4004, Alameda County, California","370","16","20","19","12","22","17","25","24","18","18","42","43","23","22","26","23",
"1500000US060014004002","Block Group 2, Census Tract 4004, Alameda County, California","795","16","24","51","38","40","47","33","50","19","112","107","129","40","29","46","14",
"1500000US060014004003","Block Group 3, Census Tract 4004, Alameda County, California","356","61","14","7","4","0","8","17","6","13","55","44","20","64","6","31","6",
"1500000US060014004004","Block Group 4, Census Tract 4004, Alameda County, California","285","6","0","13","15","6","0","20","15","15","44","51","52","31","0","9","8",
"1500000US060014005001","Block Group 1, Census Tract 4005, Alameda County, California","647","98","11","56","36","37","31","36","7","17","82","51","94","53","27","11","0",
