"GEO_ID","NAME","P002001","P002001ERR","P002002","P002003","P002004","P002005","P002006",
"Geography","Geographic Area Name","Total","Errata of Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file",
"1500000US060014001001","Block Group 1, Census Tract 4001, Alameda County, California","2937","null","2937","2937","0","0","0",
"1500000US060014002001","Block Group 1, Census Tract 4002, Alameda County, California","1018","null","1018","1018","0","0","0",
"1500000US060014002002","Block Group 2, Census Tract 4002, Alameda County, California","956","null","956","956","0","0","0",
"1500000US060014003001","Block Group 1, Census Tract 4003, Alameda County, California","1078","null","1078","1078","0","0","0",
"1500000US060014003002","Block Group 2, Census Tract 4003, Alameda County, California","1298","null","1298","1298","0","0","0",
"1500000US060014003003","Block Group 3, Census Tract 4003, Alameda County, California","1091","null","1091","1091","0","0","0",
"1500000US060014003004","Block Group 4, Census Tract 4003, Alameda County, California","1398","null","1398","1398","0","0","0",
"1500000US060014004001","Block Group 1, Census Tract 4004, Alameda County, California","1421","null","1421","1421","0","0","0",
"1500000US060014004002","Block Group 2, Census Tract 4004, Alameda County, California","1172","null","1172","1172","0","0","0",
"1500000US060014004003","Block Group 3, Census Tract 4004, Alameda County, California","1110","null","1110","1110","0","0","0",
"1500000US060014005001","Block Group 1, Census Tract 4005, Alameda County, California","2008","null","2008","2008","0","0","0",
"1500000US060014005002","Block Group 2, Census Tract 4005, Alameda County, California","822","null","822","822","0","0","0",
"1500000US060014005003","Block Group 3, Census Tract 4005, Alameda County, California","687","null","687","687","0","0","0",
"1500000US060014006001","Block Group 1, Census Tract 4006, Alameda County, California","950","null","950","950","0","0","0",
"1500000US060014006002","Block Group 2, Census Tract 4006, Alameda County, California","621","null","621","621","0","0","0",
"1500000US060014007001","Block Group 1, Census Tract 4007, Alameda County, California","1078","null","1078","1078","0","0","0",
"1500000US060014007002","Block Group 2, Census Tract 4007, Alameda County, California","1178","null","1178","1178","0","0","0",
"1500000US060014007003","Block Group 3, Census Tract 4007, Alameda County, California","724","null","724","724","0","0","0",
"1500000US060014007004","Block Group 4, Census Tract 4007, Alameda County, California","1226","null","1226","1226","0","0","0",
"1500000US060014008001","Block Group 1, Census Tract 4008, Alameda County, California","1268","null","1268","1268","0","0","0",
"1500000US060014008002","Block Group 2, Census Tract 4008, Alameda County, California","1051","null","1051","1051","0","0","0",
"1500000US060014008003","Block Group 3, Census Tract 4008, Alameda County, California","1275","null","1275","1275","0","0","0",
"1500000US060014009001","Block Group 1, Census Tract 4009, Alameda County, California","1172","null","1172","1172","0","0","0",
"1500000US060014009002","Block Group 2, Census Tract 4009, Alameda County, California","1130","null","1130","1130","0","0","0",
"1500000US060014010001","Block Group 1, Census Tract 4010, Alameda County, California","898","null","898","898","0","0","0",
"1500000US060014010002","Block Group 2, Census Tract 4010, Alameda County, California","824","null","824","824","0","0","0",
"1500000US060014010003","Block Group 3, Census Tract 4010, Alameda County, California","1260","null","1260","1260","0","0","0",
"1500000US060014010004","Block Group 4, Census Tract 4010, Alameda County, California","710","null","710","710","0","0","0",
"1500000US060014010005","Block Group 5, Census Tract 4010, Alameda County, California","1031","null","1031","1031","0","0","0",
"1500000US060014010006","Block Group 6, Census Tract 4010, Alameda County, California","955","null","955","955","0","0","0",
"1500000US060014011001","Block Group 1, Census Tract 4011, Alameda County, California","663","null","663","663","0","0","0",
"1500000US060014011002","Block Group 2, Census Tract 4011, Alameda County, California","1321","null","1321","1321","0","0","0",
"1500000US060014011003","Block Group 3, Census Tract 4011, Alameda County, California","1047","null","1047","1047","0","0","0",
"1500000US060014011004","Block Group 4, Census Tract 4011, Alameda County, California","1125","null","1125","1125","0","0","0",
"1500000US060014012001","Block Group 1, Census Tract 4012, Alameda County, California","1064","null","1064","1064","0","0","0",
"1500000US060014012002","Block Group 2, Census Tract 4012, Alameda County, California","780","null","780","780","0","0","0",
"1500000US060014012003","Block Group 3, Census Tract 4012, Alameda County, California","572","null","572","572","0","0","0",
"1500000US060014013001","Block Group 1, Census Tract 4013, Alameda County, California","1031","null","1031","1031","0","0","0",
"1500000US060014013002","Block Group 2, Census Tract 4013, Alameda County, California","1458","null","1458","1458","0","0","0",
"1500000US060014013003","Block Group 3, Census Tract 4013, Alameda County, California","1039","null","1039","1039","0","0","0",
"1500000US060014014001","Block Group 1, Census Tract 4014, Alameda County, California","1095","null","1095","1095","0","0","0",
"1500000US060014014002","Block Group 2, Census Tract 4014, Alameda County, California","1694","null","1694","1694","0","0","0",
"1500000US060014014003","Block Group 3, Census Tract 4014, Alameda County, California","1525","null","1525","1525","0","0","0",
"1500000US060014015001","Block Group 1, Census Tract 4015, Alameda County, California","1301","null","1301","1301","0","0","0",
"1500000US060014015002","Block Group 2, Census Tract 4015, Alameda County, California","619","null","619","619","0","0","0",
"1500000US060014015003","Block Group 3, Census Tract 4015, Alameda County, California","710","null","710","710","0","0","0",
"1500000US060014016001","Block Group 1, Census Tract 4016, Alameda County, California","1205","null","1205","1205","0","0","0",
"1500000US060014016002","Block Group 2, Census Tract 4016, Alameda County, California","958","null","958","958","0","0","0",
