"Column Name","Label"
"GEO_ID","Geography"
"NAME","Label for GEO_ID"
"H062001","Total"
"H062002","Total!!With cash rent"
"H062003","Total!!With cash rent!!Less than $100"
"H062004","Total!!With cash rent!!$100 to $149"
"H062005","Total!!With cash rent!!$150 to $199"
"H062006","Total!!With cash rent!!$200 to $249"
"H062007","Total!!With cash rent!!$250 to $299"
"H062008","Total!!With cash rent!!$300 to $349"
"H062009","Total!!With cash rent!!$350 to $399"
"H062010","Total!!With cash rent!!$400 to $449"
"H062011","Total!!With cash rent!!$450 to $499"
"H062012","Total!!With cash rent!!$500 to $549"
"H062013","Total!!With cash rent!!$550 to $599"
"H062014","Total!!With cash rent!!$600 to $649"
"H062015","Total!!With cash rent!!$650 to $699"
"H062016","Total!!With cash rent!!$700 to $749"
"H062017","Total!!With cash rent!!$750 to $799"
"H062018","Total!!With cash rent!!$800 to $899"
"H062019","Total!!With cash rent!!$900 to $999"
"H062020","Total!!With cash rent!!$1,000 to $1,249"
"H062021","Total!!With cash rent!!$1,250 to $1,499"
"H062022","Total!!With cash rent!!$1,500 to $1,999"
"H062023","Total!!With cash rent!!$2,000 or more"
"H062024","Total!!No cash rent"
