"GEO_ID","NAME","H062001","H062002","H062003","H062004","H062005","H062006","H062007","H062008","H062009","H062010","H062011","H062012","H062013","H062014","H062015","H062016","H062017","H062018","H062019","H062020","H062021","H062022","H062023","H062024",
"Geography","Label for GEO_ID","Total","Total!!With cash rent","Total!!With cash rent!!Less than $100","Total!!With cash rent!!$100 to $149","Total!!With cash rent!!$150 to $199","Total!!With cash rent!!$200 to $249","Total!!With cash rent!!$250 to $299","Total!!With cash rent!!$300 to $349","Total!!With cash rent!!$350 to $399","Total!!With cash rent!!$400 to $449","Total!!With cash rent!!$450 to $499","Total!!With cash rent!!$500 to $549","Total!!With cash rent!!$550 to $599","Total!!With cash rent!!$600 to $649","Total!!With cash rent!!$650 to $699","Total!!With cash rent!!$700 to $749","Total!!With cash rent!!$750 to $799","Total!!With cash rent!!$800 to $899","Total!!With cash rent!!$900 to $999","Total!!With cash rent!!$1,000 to $1,249","Total!!With cash rent!!$1,250 to $1,499","Total!!With cash rent!!$1,500 to $1,999","Total!!With cash rent!!$2,000 or more","Total!!No cash rent",
"0500000US06001","Alameda County, California","236606","231762","721","1421","4104","3972","2719","3271","3616","4805","6298","8173","10444","12469","13165","14129","13344","25420","23206","38622","21502","16002","4359","4844",
"0500000US06003","Alpine County, California","141","132","0","0","3","10","10","3","9","6","5","6","9","2","17","15","12","13","6","4","0","2","0","9",
"0500000US06005","Amador County, California","2945","2789","0","46","88","83","65","100","85","142","161","152","169","150","222","232","212","319","232","285","40","6","0","156",
"0500000US06007","Butte County, California","30852","29556","133","175","501","667","841","1193","1847","2882","2878","2937","2744","2369","2135","1723","1495","2044","1094","1246","276","224","152","1296",
"0500000US06009","Calaveras County, California","3214","2958","15","11","75","91","107","106","184","117","225","289","262","196","228","219","205","264","186","129","28","21","0","256",
"0500000US06011","Colusa County, California","2042","1827","23","33","67","105","79","100","122","172","241","165","207","153","113","30","62","59","42","26","18","0","10","215",
"0500000US06013","Contra Costa County, California","105389","102847","434","546","1609","1733","1128","1408","1337","1408","1639","2468","3053","4346","5174","6139","6294","12967","11452","18890","9754","7549","3519","2542",
"0500000US06015","Del Norte County, California","3280","3095","34","25","168","212","137","185","182","240","271","249","219","237","119","218","247","205","80","57","0","0","10","185",
"0500000US06017","El Dorado County, California","14486","13878","42","84","166","167","128","230","321","509","953","832","915","1151","1398","1034","836","1442","1035","1444","641","493","57","608",
"0500000US06019","Fresno County, California","107575","102982","554","979","2142","2756","2788","4318","7506","10847","11386","12007","9555","7760","6542","5067","4045","5933","3724","3708","598","597","170","4593",
"0500000US06021","Glenn County, California","3015","2747","25","43","110","130","201","265","234","303","379","348","210","149","128","101","28","46","14","33","0","0","0","268",
