"GEO_ID","NAME","P052001","P052002","P052003","P052004","P052005","P052006","P052007","P052008","P052009","P052010","P052011","P052012","P052013","P052014","P052015","P052016","P052017",
"Geography","Label for GEO_ID","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $19,999","Total!!$20,000 to $24,999","Total!!$25,000 to $29,999","Total!!$30,000 to $34,999","Total!!$35,000 to $39,999","Total!!$40,000 to $44,999","Total!!$45,000 to $49,999","Total!!$50,000 to $59,999","Total!!$60,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $124,999","Total!!$125,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more",
"0500000US06001","Alameda County, California","523787","41257","23184","22491","24020","23956","25648","25555","24575","22250","44382","59171","70947","44781","25911","24782","20877",
"0500000US06003","Alpine County, California","492","61","24","22","36","37","10","41","32","22","35","78","46","17","11","2","18",
"0500000US06005","Amador County, California","12741","948","869","845","833","818","781","847","713","648","1078","1438","1555","631","220","263","254",
"0500000US06007","Butte County, California","79674","10218","7664","7099","6597","6020","5110","4637","4572","3810","6472","6456","5649","2436","1010","832","1092",
"0500000US06009","Calaveras County, California","16449","1593","992","1139","1093","1154","908","1097","1014","958","1531","1604","1697","744","362","273","290",
"0500000US06011","Colusa County, California","6081","633","442","492","525","415","528","364","399","326","562","527","486","141","109","68","64",
"0500000US06013","Contra Costa County, California","344422","17656","12393","12400","13508","13704","15641","15240","16084","14992","28816","40660","51287","33589","18853","19385","20214",
"0500000US06015","Del Norte County, California","9185","1467","1062","765","781","560","548","508","473","399","749","668","674","305","89","86","51",
"0500000US06017","El Dorado County, California","59013","3429","2742","2805","3205","3270","3428","3274","3066","3278","5256","7313","7815","4145","2273","1781","1933",
"0500000US06019","Fresno County, California","253304","30920","19681","20173","20320","18346","18087","14996","13788","11913","20444","22434","20411","9898","4422","3517","3954",
"0500000US06021","Glenn County, California","9197","973","844","926","776","846","651","703","579","467","700","677","617","246","68","57","67",
"0500000US06023","Humboldt County, California","51235","7059","5057","4624","4179","3711","3589","3213","2832","2366","4119","4019","3485","1259","652","471","600",
"0500000US06025","Imperial County, California","39433","5540","3566","3538","3337","2745","2310","2251","2059","1933","3173","3355","2805","1458","609","391","363",
"0500000US06027","Inyo County, California","7673","907","680","689","526","521","513","469","432","309","766","607","606","362","144","80","62",
"0500000US06029","Kern County, California","208786","25140","16865","16900","15700","14807","13722","12380","10982","10019","17132","19325","18459","8675","3506","2674","2500",
"0500000US06031","Kings County, California","34429","3262","2658","2686","3066","2596","2542","2440","1860","1720","2976","3191","2848","1206","474","420","484",
"0500000US06033","Lake County, California","23984","3521","2221","2416","2022","1946","1699","1406","1307","1067","1615","1709","1747","646","280","170","212",
"0500000US06035","Lassen County, California","9629","1120","752","738","676","727","606","649","529","564","913","930","792","373","124","79","57",
"0500000US06037","Los Angeles County, California","3136279","330000","203819","196731","201561","191887","189179","169484","162317","140505","253707","304843","318521","181732","95240","87864","108889",
"0500000US06039","Madera County, California","36207","3810","2821","3247","2468","2506","2521","2495","2277","1741","3349","3317","2702","1305","661","534","453",
"0500000US06041","Marin County, California","100736","4884","2927","3369","3485","3734","3665","4324","4105","3722","7949","10291","12947","9804","6324","7049","12157",
"0500000US06043","Mariposa County, California","6592","786","587","505","561","481","407","392","346","301","619","604","534","248","66","91","64",
"0500000US06045","Mendocino County, California","33331","3533","2448","2725","2811","2241","2456","2120","1872","1620","2987","2965","2715","1329","501","446","562",
"0500000US06047","Merced County, California","63933","7057","5055","4589","5118","5101","4565","4212","3684","3116","5554","6277","5197","2068","849","812","679",
"0500000US06049","Modoc County, California","3766","536","441","380","326","314","231","187","159","161","279","281","280","106","18","18","49",
"0500000US06051","Mono County, California","5163","285","307","249","386","402","382","295","276","307","587","662","428","204","142","110","141",
"0500000US06053","Monterey County, California","121199","7700","5995","6515","7082","7440","7159","7427","6782","6764","12152","13239","14469","8000","3872","2967","3636",
"0500000US06055","Napa County, California","45395","2533","1864","2150","2675","2467","2780","2537","2616","2178","4021","5126","6022","3203","1859","1570","1794",
"0500000US06057","Nevada County, California","36956","2592","2005","2035","2352","2408","2376","2163","2149","1993","3547","4367","3997","2101","927","1025","919",
"0500000US06059","Orange County, California","936154","45705","35871","37794","43413","43993","48359","47744","46709","42770","83551","109828","130633","83992","46305","44399","45088",
"0500000US06061","Placer County, California","93510","4437","3793","4040","4014","4607","4801","4877","4790","4465","8949","11621","13909","8031","4032","3656","3488",
"0500000US06063","Plumas County, California","9006","1075","739","676","730","496","667","461","489","505","933","879","694","346","146","100","70",
