"GEO_ID","NAME","P053001","P053001A",
"Geography","Label for GEO_ID","Median household income in 1999","Annotation of Median household income in 1999",
"0500000US06001","Alameda County, California","55946","null",
"0500000US06003","Alpine County, California","41875","null",
"0500000US06005","Amador County, California","42280","null",
"0500000US06007","Butte County, California","31924","null",
"0500000US06009","Calaveras County, California","41022","null",
"0500000US06011","Colusa County, California","35062","null",
"0500000US06013","Contra Costa County, California","63675","null",
"0500000US06015","Del Norte County, California","29642","null",
"0500000US06017","El Dorado County, California","51484","null",
"0500000US06019","Fresno County, California","34725","null",
"0500000US06021","Glenn County, California","32107","null",
"0500000US06023","Humboldt County, California","31226","null",
"0500000US06025","Imperial County, California","31870","null",
"0500000US06027","Inyo County, California","35006","null",
"0500000US06029","Kern County, California","35446","null",
"0500000US06031","Kings County, California","35749","null",
"0500000US06033","Lake County, California","29627","null",
"0500000US06035","Lassen County, California","36310","null",
"0500000US06037","Los Angeles County, California","42189","null",
"0500000US06039","Madera County, California","36286","null",
"0500000US06041","Marin County, California","71306","null",
"0500000US06043","Mariposa County, California","34626","null",
"0500000US06045","Mendocino County, California","35996","null",
"0500000US06047","Merced County, California","35532","null",
"0500000US06049","Modoc County, California","27522","null",
"0500000US06051","Mono County, California","44992","null",
"0500000US06053","Monterey County, California","48305","null",
"0500000US06055","Napa County, California","51738","null",
"0500000US06057","Nevada County, California","45864","null",
"0500000US06059","Orange County, California","58820","null",
"0500000US06061","Placer County, California","57535","null",
"0500000US06063","Plumas County, California","36351","null",
"0500000US06065","Riverside County, California","42887","null",
"0500000US06067","Sacramento County, California","43816","null",
"0500000US06069","San Benito County, California","57469","null",
"0500000US06071","San Bernardino County, California","42066","null",
"0500000US06073","San Diego County, California","47067","null",
"0500000US06075","San Francisco County, California","55221","null",
"0500000US06077","San Joaquin County, California","41282","null",
"0500000US06079","San Luis Obispo County, California","42428","null",
"0500000US06081","San Mateo County, California","70819","null",
"0500000US06083","Santa Barbara County, California","46677","null",
"0500000US06085","Santa Clara County, California","74335","null",
"0500000US06087","Santa Cruz County, California","53998","null",
"0500000US06089","Shasta County, California","34335","null",
"0500000US06091","Sierra County, California","35827","null",
"0500000US06093","Siskiyou County, California","29530","null",
"0500000US06095","Solano County, California","54099","null",
"0500000US06097","Sonoma County, California","53076","null",
"0500000US06099","Stanislaus County, California","40101","null",
"0500000US06101","Sutter County, California","38375","null",
"0500000US06103","Tehama County, California","31206","null",
"0500000US06105","Trinity County, California","27711","null",
"0500000US06107","Tulare County, California","33983","null",
"0500000US06109","Tuolumne County, California","38725","null",
"0500000US06111","Ventura County, California","59666","null",
"0500000US06113","Yolo County, California","40769","null",
"0500000US06115","Yuba County, California","30460","null",
