"GEO_ID","NAME","P004001","P004002","P004003","P004004","P004005","P004006","P004007","P004008","P004009","P004010","P004011","P004012","P004013","P004014","P004015","P004016","P004017","P004018","P004019","P004020","P004021","P004022","P004023","P004024","P004025","P004026","P004027","P004028","P004029","P004030","P004031","P004032","P004033","P004034","P004035","P004036","P004037","P004038","P004039","P004040","P004041","P004042","P004043","P004044","P004045","P004046","P004047","P004048","P004049","P004050","P004051","P004052","P004053","P004054","P004055","P004056","P004057","P004058","P004059","P004060","P004061","P004062","P004063","P004064","P004065","P004066","P004067","P004068","P004069","P004070","P004071","P004072","P004073",
"Geography","Label for GEO_ID","Total","Total!!Hispanic or Latino","Total!!Not Hispanic or Latino","Total!!Not Hispanic or Latino!!Population of one race","Total!!Not Hispanic or Latino!!Population of one race!!White alone","Total!!Not Hispanic or Latino!!Population of one race!!Black or African American alone","Total!!Not Hispanic or Latino!!Population of one race!!American Indian and Alaska Native alone","Total!!Not Hispanic or Latino!!Population of one race!!Asian alone","Total!!Not Hispanic or Latino!!Population of one race!!Native Hawaiian and Other Pacific Islander alone","Total!!Not Hispanic or Latino!!Population of one race!!Some other race alone","Total!!Not Hispanic or Latino!!Population of two or more races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Black or African American","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; American Indian and Alaska Native","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; American Indian and Alaska Native","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Black or African American; American Indian and Alaska Native","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Black or African American; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Black or African American; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Black or African American; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; Asian;Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!American Indian and Alaska Native; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of six races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of six races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race",
"0500000US06001","Alameda County, California","1443741","273910","1169831","1113332","591095","211124","5306","292673","8458","4676","56499","51705","5748","4796","15779","1633","9679","2145","2045","293","1651","659","96","132","3034","3434","581","4352","1347","318","54","257","285","58","115","818","493","74","128","17","50","92","92","20","41","7","2","84","366","168","9","50","20","17","4","41","8","2","29","7","5","0","6","0","75","60","11","0","0","4","0","1","1",
"0500000US06003","Alpine County, California","1208","94","1114","1073","867","7","188","4","1","6","41","39","2","27","0","2","3","0","4","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"0500000US06005","Amador County, California","35100","3126","31974","31339","28920","1348","538","326","29","178","635","605","44","331","93","19","78","6","4","0","1","6","1","11","4","6","1","28","4","0","0","4","0","1","5","8","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0",
"0500000US06007","Butte County, California","203171","21339","181832","175942","162564","2699","3295","6676","273","435","5890","5511","572","2439","794","157","865","88","33","8","40","75","1","61","75","296","7","340","78","17","2","27","38","12","63","46","30","5","4","2","4","2","3","1","5","1","0","0","27","15","1","2","1","0","0","5","0","0","3","0","0","0","0","0","12","12","0","0","0","0","0","0","0",
"0500000US06009","Calaveras County, California","40554","2765","37789","36770","35465","300","607","322","36","40","1019","979","57","559","123","42","141","14","10","4","6","6","1","8","8","0","0","38","11","0","0","3","3","0","4","9","4","2","1","0","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"0500000US06011","Colusa County, California","18804","8752","10052","9743","9018","88","316","220","67","34","309","292","7","101","31","6","63","6","3","0","0","11","0","6","29","24","5","16","1","0","0","1","1","0","2","5","3","2","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"0500000US06013","Contra Costa County, California","948816","167776","781040","748382","549409","86851","3648","102681","3157","2636","32658","30096","3333","4336","9739","835","5880","908","1037","124","517","268","26","69","1165","1688","171","2287","567","173","18","173","207","16","112","484","285","22","65","2","32","40","52","3","8","7","3","18","232","99","10","17","18","6","1","44","4","2","22","3","3","0","2","1","43","34","6","0","0","0","3","0","0",
"0500000US06015","Del Norte County, California","27507","3829","23678","22730","19294","1167","1593","619","18","39","948","906","50","600","84","21","83","10","3","0","0","12","1","16","10","16","0","41","8","3","0","2","7","3","3","10","4","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"0500000US06017","El Dorado County, California","156299","14566","141733","138398","132725","745","1272","3250","169","237","3335","3139","241","1318","846","93","437","26","17","1","7","22","4","18","55","53","1","172","42","15","0","6","21","17","13","38","13","0","0","0","1","1","0","0","3","1","0","1","10","7","0","0","0","0","0","2","0","0","1","0","0","0","0","0","4","4","0","0","0","0","0","10","10",
