"GEO_ID","NAME","H062001","H062002","H062003","H062004","H062005","H062006","H062007","H062008","H062009","H062010","H062011","H062012","H062013","H062014","H062015","H062016","H062017","H062018","H062019","H062020","H062021","H062022","H062023","H062024",
"Geography","Label for GEO_ID","Total","Total!!With cash rent","Total!!With cash rent!!Less than $100","Total!!With cash rent!!$100 to $149","Total!!With cash rent!!$150 to $199","Total!!With cash rent!!$200 to $249","Total!!With cash rent!!$250 to $299","Total!!With cash rent!!$300 to $349","Total!!With cash rent!!$350 to $399","Total!!With cash rent!!$400 to $449","Total!!With cash rent!!$450 to $499","Total!!With cash rent!!$500 to $549","Total!!With cash rent!!$550 to $599","Total!!With cash rent!!$600 to $649","Total!!With cash rent!!$650 to $699","Total!!With cash rent!!$700 to $749","Total!!With cash rent!!$750 to $799","Total!!With cash rent!!$800 to $899","Total!!With cash rent!!$900 to $999","Total!!With cash rent!!$1,000 to $1,249","Total!!With cash rent!!$1,250 to $1,499","Total!!With cash rent!!$1,500 to $1,999","Total!!With cash rent!!$2,000 or more","Total!!No cash rent",
"1400000US06001400100","Census Tract 4001, Alameda County, California","88","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","7","13","0","23","32","8",
"1400000US06001400200","Census Tract 4002, Alameda County, California","387","387","0","0","0","0","0","7","0","6","0","22","13","22","22","42","5","47","45","43","50","43","20","0",
"1400000US06001400300","Census Tract 4003, Alameda County, California","1491","1467","16","26","50","8","8","25","71","8","16","101","74","54","79","87","156","175","51","201","112","129","20","24",
"1400000US06001400400","Census Tract 4004, Alameda County, California","1082","1082","0","0","0","0","0","0","0","15","8","14","49","73","121","64","81","118","131","169","103","106","30","0",
"1400000US06001400500","Census Tract 4005, Alameda County, California","951","944","0","4","5","7","0","21","6","29","30","57","45","70","107","92","64","126","74","86","99","16","6","7",
"1400000US06001400600","Census Tract 4006, Alameda County, California","440","440","0","6","8","6","8","0","10","22","16","47","0","30","57","46","40","37","55","28","9","15","0","0",
"1400000US06001400700","Census Tract 4007, Alameda County, California","1081","1065","0","22","43","26","28","25","12","54","74","57","95","67","51","82","85","76","47","150","24","33","14","16",
"1400000US06001400800","Census Tract 4008, Alameda County, California","905","890","13","0","45","21","24","21","9","30","35","60","66","99","40","57","96","139","26","63","27","19","0","15",
"1400000US06001400900","Census Tract 4009, Alameda County, California","672","646","0","0","0","8","6","11","0","7","33","71","74","65","35","39","42","98","35","100","19","3","0","26",
