"GEO_ID","NAME","P004001","P004002","P004003","P004004","P004005","P004006","P004007","P004008","P004009","P004010","P004011","P004012","P004013","P004014","P004015","P004016","P004017","P004018","P004019","P004020","P004021","P004022","P004023","P004024","P004025","P004026","P004027","P004028","P004029","P004030","P004031","P004032","P004033","P004034","P004035","P004036","P004037","P004038","P004039","P004040","P004041","P004042","P004043","P004044","P004045","P004046","P004047","P004048","P004049","P004050","P004051","P004052","P004053","P004054","P004055","P004056","P004057","P004058","P004059","P004060","P004061","P004062","P004063","P004064","P004065","P004066","P004067","P004068","P004069","P004070","P004071","P004072","P004073",
"Geography","Label for GEO_ID","Total","Total!!Hispanic or Latino","Total!!Not Hispanic or Latino","Total!!Not Hispanic or Latino!!Population of one race","Total!!Not Hispanic or Latino!!Population of one race!!White alone","Total!!Not Hispanic or Latino!!Population of one race!!Black or African American alone","Total!!Not Hispanic or Latino!!Population of one race!!American Indian and Alaska Native alone","Total!!Not Hispanic or Latino!!Population of one race!!Asian alone","Total!!Not Hispanic or Latino!!Population of one race!!Native Hawaiian and Other Pacific Islander alone","Total!!Not Hispanic or Latino!!Population of one race!!Some other race alone","Total!!Not Hispanic or Latino!!Population of two or more races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Black or African American","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; American Indian and Alaska Native","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!White; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; American Indian and Alaska Native","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Black or African American; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!American Indian and Alaska Native; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of two races!!Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Black or African American; American Indian and Alaska Native","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Black or African American; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Black or African American; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Black or African American; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; American Indian and Alaska Native; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!White; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; American Indian and Alaska Native; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; Asian;Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Black or African American; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!American Indian and Alaska Native; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of three races!!Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Asian","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!White; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of four races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of five races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of six races","Total!!Not Hispanic or Latino!!Population of two or more races!!Population of six races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race",
"1400000US06001400100","Census Tract 4001, Alameda County, California","2498","97","2401","2346","1937","114","4","280","5","6","55","49","3","6","20","2","14","0","2","0","1","1","0","0","0","0","0","6","2","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06001400200","Census Tract 4002, Alameda County, California","1910","117","1793","1728","1509","58","5","147","0","9","65","57","4","10","23","0","13","1","3","0","0","0","0","1","2","0","0","7","5","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06001400300","Census Tract 4003, Alameda County, California","4878","314","4564","4357","3277","662","15","352","10","41","207","196","20","16","54","5","18","6","4","0","66","1","0","1","3","2","0","10","8","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1400000US06001400400","Census Tract 4004, Alameda County, California","3659","241","3418","3250","2357","608","13","245","12","15","168","153","26","13","47","2","35","10","6","6","4","0","0","0","1","3","0","14","7","1","0","1","0","0","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"1400000US06001400500","Census Tract 4005, Alameda County, California","3410","363","3047","2887","1268","1415","10","168","2","24","160","147","47","12","29","1","18","12","11","0","14","1","0","0","0","2","0","11","8","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06001400600","Census Tract 4006, Alameda County, California","1707","148","1559","1476","396","985","6","74","0","15","83","66","13","4","6","0","10","12","6","0","10","0","0","0","2","3","0","15","10","0","0","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"1400000US06001400700","Census Tract 4007, Alameda County, California","4451","299","4152","3931","752","2975","12","170","6","16","221","199","35","8","12","2","50","33","16","1","25","7","0","1","0","9","0","18","12","0","0","1","0","0","1","1","0","1","0","0","0","0","2","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06001400800","Census Tract 4008, Alameda County, California","3368","301","3067","2932","705","1907","19","286","2","13","135","107","22","11","11","2","14","11","18","1","3","0","0","0","1","13","0","28","21","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06001400900","Census Tract 4009, Alameda County, California","2456","202","2254","2144","499","1505","11","109","3","17","110","90","28","9","6","1","14","13","4","0","5","1","0","0","0","5","4","17","8","2","0","0","1","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
