"GEO_ID","NAME","P002001","P002001ERR","P002002","P002003","P002004","P002005","P002006",
"Geography","Geographic Area Name","Total","Errata of Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file",
"1400000US06001400100","Census Tract 4001, Alameda County, California","2937","null","2937","2937","0","0","0",
"1400000US06001400200","Census Tract 4002, Alameda County, California","1974","null","1974","1974","0","0","0",
"1400000US06001400300","Census Tract 4003, Alameda County, California","4865","null","4865","4865","0","0","0",
"1400000US06001400400","Census Tract 4004, Alameda County, California","3703","null","3703","3703","0","0","0",
"1400000US06001400500","Census Tract 4005, Alameda County, California","3517","null","3517","3517","0","0","0",
"1400000US06001400600","Census Tract 4006, Alameda County, California","1571","null","1571","1571","0","0","0",
"1400000US06001400700","Census Tract 4007, Alameda County, California","4206","null","4206","4206","0","0","0",
"1400000US06001400800","Census Tract 4008, Alameda County, California","3594","null","3594","3594","0","0","0",
"1400000US06001400900","Census Tract 4009, Alameda County, California","2302","null","2302","2302","0","0","0",
"1400000US06001401000","Census Tract 4010, Alameda County, California","5678","null","5678","5678","0","0","0",
"1400000US06001401100","Census Tract 4011, Alameda County, California","4156","null","4156","4156","0","0","0",
"1400000US06001401200","Census Tract 4012, Alameda County, California","2416","null","2416","2416","0","0","0",
"1400000US06001401300","Census Tract 4013, Alameda County, California","3528","null","3528","3528","0","0","0",
"1400000US06001401400","Census Tract 4014, Alameda County, California","4314","null","4314","4314","0","0","0",
"1400000US06001401500","Census Tract 4015, Alameda County, California","2630","null","2630","2630","0","0","0",
"1400000US06001401600","Census Tract 4016, Alameda County, California","2163","null","2163","2163","0","0","0",
"1400000US06001401700","Census Tract 4017, Alameda County, California","2667","null","2667","2667","0","0","0",
"1400000US06001401800","Census Tract 4018, Alameda County, California","1703","null","1703","1703","0","0","0",
"1400000US06001402200","Census Tract 4022, Alameda County, California","2385","null","2385","2385","0","0","0",
"1400000US06001402400","Census Tract 4024, Alameda County, California","2351","null","2351","2351","0","0","0",
"1400000US06001402500","Census Tract 4025, Alameda County, California","1784","null","1784","1784","0","0","0",
"1400000US06001402600","Census Tract 4026, Alameda County, California","1151","null","1151","1151","0","0","0",
"1400000US06001402700","Census Tract 4027, Alameda County, California","1569","null","1569","1569","0","0","0",
"1400000US06001402800","Census Tract 4028, Alameda County, California","3345","null","3345","3345","0","0","0",
"1400000US06001402900","Census Tract 4029, Alameda County, California","1434","null","1434","1434","0","0","0",
"1400000US06001403000","Census Tract 4030, Alameda County, California","2788","null","2788","2788","0","0","0",
"1400000US06001403100","Census Tract 4031, Alameda County, California","2238","null","2238","2238","0","0","0",
"1400000US06001403300","Census Tract 4033, Alameda County, California","4054","null","4054","4054","0","0","0",
"1400000US06001403400","Census Tract 4034, Alameda County, California","4146","null","4146","4146","0","0","0",
"1400000US06001403501","Census Tract 4035.01, Alameda County, California","4374","null","4374","4374","0","0","0",
"1400000US06001403502","Census Tract 4035.02, Alameda County, California","1991","null","1991","1991","0","0","0",
"1400000US06001403600","Census Tract 4036, Alameda County, California","4482","null","4482","4482","0","0","0",
"1400000US06001403701","Census Tract 4037.01, Alameda County, California","2587","null","2587","2587","0","0","0",
"1400000US06001403702","Census Tract 4037.02, Alameda County, California","1724","null","1724","1724","0","0","0",
"1400000US06001403800","Census Tract 4038, Alameda County, California","3461","null","3461","3461","0","0","0",
"1400000US06001403900","Census Tract 4039, Alameda County, California","3584","null","3584","3584","0","0","0",
"1400000US06001404000","Census Tract 4040, Alameda County, California","2819","null","2819","2819","0","0","0",
"1400000US06001404101","Census Tract 4041.01, Alameda County, California","2929","null","2929","2929","0","0","0",
"1400000US06001404102","Census Tract 4041.02, Alameda County, California","2283","null","2283","2283","0","0","0",
"1400000US06001404200","Census Tract 4042, Alameda County, California","3483","null","3483","3483","0","0","0",
"1400000US06001404300","Census Tract 4043, Alameda County, California","3218","null","3218","3218","0","0","0",
"1400000US06001404400","Census Tract 4044, Alameda County, California","5314","null","5314","5314","0","0","0",
"1400000US06001404501","Census Tract 4045.01, Alameda County, California","1677","null","1677","1677","0","0","0",
