bg2010gj,bg2010ge,bg2020gj,bg2020ge,wt_pop,wt_adult,wt_hh,wt_fam,wt_hu,parea
G06000104001001,060014001001,G06000104001001,060014001001,0.580649956948,0.569014879424,0.55356429224,0.561645322045,0.550856067193,0.819476851744
G06000104001001,060014001001,G06000104237002,060014237002,7.743475e-6,8.363807e-6,7.988263e-6,8.660543e-6,7.519039e-6,4.17726122e-4
G06000104001001,060014001001,G06000109821001,060019821001,0,0,0,0,0,1.09874803e-4
G06000104001001,060014001001,G06000104237001,060014237001,3.84873885e-4,4.05313602e-4,4.30127322e-4,4.1969354e-4,4.04861963e-4,2.16000598e-4
G06000104001001,060014001001,G06000104227001,060014227001,0.004745958669,0.005128456735,0.006589557534,0.002746233534,0.007078398231,7.43024752e-4
G06000104001001,060014001001,G06001303540011,060133540011,0,0,0,0,0,0.003124799031
G06000104001001,060014001001,G06000104238001,060014238001,0.01132424603,0.010787147875,0.010366997589,0.011277718994,0.010160443518,0.002011343348
G06000104001001,060014001001,G06000104001002,060014001002,0.402887220994,0.414655838557,0.429041037052,0.423902371344,0.431492710057,0.173881346171
G06000104001001,060014001001,G06000104238002,060014238002,0,0,0,0,0,1.903343e-5
G06000104002001,060014002001,G06000104002001,060014002001,0.96405351275,0.96352823026,0.960430514162,0.965646892043,0.961107246051,0.973351577635
G06000104002001,060014002001,G06000104238002,060014238002,0.02340931187,0.023005264937,0.022965809695,0.026009400924,0.022143186431,0.020020186146
G06000104002001,060014002001,G06000104238003,060014238003,0.01253717538,0.013466504802,0.016603676143,0.008343707034,0.016749567518,0.006628236219
G06000104002002,060014002002,G06000104002002,060014002002,1,1,1,1,1,1
G06000104003001,060014003001,G06000104003001,060014003001,1,1,1,1,1,1
G06000104003002,060014003002,G06000104003002,060014003002,1,1,1,1,1,1
G06000104003003,060014003003,G06000104003003,060014003003,1,1,1,1,1,1
G06000104003004,060014003004,G06000104003004,060014003004,1,1,1,1,1,1
G06000104004001,060014004001,G06000104004001,060014004001,0.99491507732,0.994481670387,0.994395271385,0.996545696773,0.99395317993,0.996554690921
G06000104004001,060014004001,G06000104238003,060014238003,0.00508492268,0.005518329613,0.005604728615,0.003454303227,0.00604682007,0.003445309079
G06000104004002,060014004002,G06000104004002,060014004002,1,1,1,1,1,1
G06000104004003,060014004003,G06000104004003,060014004003,1,1,1,1,1,1
G06000104005001,060014005001,G06000104005001,060014005001,1,1,1,1,1,1
G06000104005002,060014005002,G06000104005002,060014005002,0.996845957765,0.997156398545,0.997996040412,0.997412552178,0.996816077365,0.995418022932
G06000104005002,060014005002,G06000104239011,060014239011,0.003154042235,0.002843601455,0.002003959588,0.002587447822,0.003183922635,0.004581977068
G06000104005003,060014005003,G06000104005003,060014005003,0.989210783276,0.988182732583,0.984080547494,0.992129074995,0.984708541409,0.986615740492
G06000104005003,060014005003,G06000104239011,060014239011,0.010789216724,0.011817267417,0.015919452506,0.007870925005,0.015291458591,0.013384259508
G06000104006001,060014006001,G06000104006001,060014006001,1,1,1,1,1,1
G06000104006002,060014006002,G06000104006002,060014006002,1,1,1,1,1,1
G06000104007001,060014007001,G06000104007001,060014007001,0.979324982413,0.978805146797,0.979406759107,0.978791743268,0.978993639906,0.911691731447
G06000104007001,060014007001,G06000104239011,060014239011,0.001707038974,0.001609359832,0.001859955448,0.002136523876,0.00196942145,0.003867261675
G06000104007001,060014007001,G06000104240014,060014240014,0.018967978613,0.019585493371,0.018733285445,0.019071732856,0.019036938645,0.021013570178
G06000104007001,060014007001,G06000104008001,060014008001,0,0,0,0,0,0.007565059074
G06000104007001,060014007001,G06000104240022,060014240022,0,0,0,0,0,1.9988094e-4
G06000104007001,060014007001,G06000104008002,060014008002,0,0,0,0,0,0.038159878681
G06000104007001,060014007001,G06000104008003,060014008003,0,0,0,0,0,0.017502618006
G06000104007002,060014007002,G06000104007002,060014007002,1,1,1,1,1,1
G06000104007003,060014007003,G06000104007003,060014007003,1,1,1,1,1,1
G06000104007004,060014007004,G06000104007004,060014007004,0.998871212392,0.998907947902,0.998581531216,0.99856218846,0.998529510925,0.999282252996
G06000104007004,060014007004,G06000104251041,060014251041,0.001128787608,0.001092052098,0.001418468784,0.00143781154,0.001470489075,7.17747004e-4
G06000104008001,060014008001,G06000104008001,060014008001,0.953946075984,0.959885294877,0.962534819224,0.950828543708,0.959398444975,0.971912817513
G06000104008001,060014008001,G06000104240021,060014240021,0.008992321153,0.008741385482,0.008992321153,0.006961088658,0.008965501693,0.006864606091
G06000104008001,060014008001,G06000104240022,060014240022,0.037061602862,0.031373319641,0.028472859623,0.042210367634,0.031636053332,0.021222576396
G06000104008002,060014008002,G06000104008002,060014008002,1,1,1,1,1,1
G06000104008003,060014008003,G06000104008003,060014008003,1,1,1,1,1,1
G06000104009001,060014009001,G06000104008003,060014008003,0,0,0,0,0,0.053917831234
G06000104009001,060014009001,G06000104009001,060014009001,1,1,1,1,1,0.946082168766
G06000104009002,060014009002,G06000104009002,060014009002,0.969473874521,0.970276712057,0.974452394127,0.971439873124,0.975583137282,0.963645058656
G06000104009002,060014009002,G06000104008003,060014008003,0.00796460177,0.009933774834,0.004237288136,0.004484304933,0.00364298725,0.006509730437
G06000104009002,060014009002,G06000104251041,060014251041,0.022535408548,0.01976445781,0.021281461677,0.024045283691,0.020747412691,0.029635377017999998
G06000104009002,060014009002,G06000104251045,060014251045,2.6115161e-5,2.5055299e-5,2.8856061e-5,3.0538253e-5,2.6462777e-5,2.0983389e-4
G06000104010001,060014010001,G06000104010001,060014010001,1,1,1,1,1,1
G06000104010002,060014010002,G06000104010002,060014010002,1,1,1,1,1,1
G06000104010003,060014010003,G06000104010003,060014010003,0.871428571429,0.875,0.86827458256,0.88,0.871237458194,0.863541653351
G06000104010003,060014010003,G06000104010006,060014010006,0.128571428571,0.125,0.13172541744,0.12,0.128762541806,0.136458346649
G06000104010004,060014010004,G06000104010004,060014010004,1,1,1,1,1,1
G06000104010005,060014010005,G06000104010005,060014010005,0.9391980851,0.938950708487,0.943579441303,0.936369632747,0.942642447457,0.98450356368
G06000104010005,060014010005,G06000104251042,060014251042,0.0608019149,0.061049291513,0.056420558697,0.063630367253,0.057357552543,0.01549643632
G06000104010006,060014010006,G06000104010006,060014010006,0.9948964,0.994401922924,0.992587855017,0.99798735597,0.993237596765,0.994925431904
G06000104010006,060014010006,G06000104251042,060014251042,8.13440226e-4,8.2067201e-4,8.30934641e-4,7.57404268e-4,8.32386337e-4,0.004001575036
G06000104010006,060014010006,G06000104251041,060014251041,0.004290159774,0.004777405066,0.006581210343,0.001255239762,0.005930016898,0.00107299306
G06000104011001,060014011001,G06000104011001,060014011001,1,1,1,1,1,1
G06000104011002,060014011002,G06000104011002,060014011002,1,1,1,1,1,1
G06000104011003,060014011003,G06000104011003,060014011003,1,1,1,1,1,0.977345760691
G06000104011003,060014011003,G06000104010005,060014010005,0,0,0,0,0,0.022654239309
G06000104011004,060014011004,G06000104003003,060014003003,0.012444444444,0.014358974359,0.007936507937,0,0.007299270073,0.015350337289
G06000104011004,060014011004,G06000104011004,060014011004,0.987555555556,0.985641025641,0.992063492063,1,0.992700729927,0.984649662711
G06000104012001,060014012001,G06000104012001,060014012001,1,1,1,1,0.998102466793,0.999244529667
G06000104012001,060014012001,G06000104011001,060014011001,0,0,0,0,0.001897533207,7.55470333e-4
G06000104012002,060014012002,G06000104012002,060014012002,1,1,1,1,1,1
G06000104012003,060014012003,G06000104012003,060014012003,1,1,1,1,1,1
G06000104013001,060014013001,G06000104013001,060014013001,1,1,1,1,1,1
G06000104013002,060014013002,G06000104013002,060014013002,1,1,1,1,1,1
G06000104013003,060014013003,G06000104013003,060014013003,1,1,1,1,1,1
G06000104014001,060014014001,G06000104013001,060014013001,0,0,0,0,0,0.014431767545
G06000104014001,060014014001,G06000104010005,060014010005,1.5758004e-5,1.5812155e-5,2.1514981e-5,1.7341723e-5,2.1390514e-5,1.55541916e-4
G06000104014001,060014014001,G06000104014001,060014014001,0.999984241996,0.999984187845,0.999978485019,0.999982658277,0.999978609486,0.985412690539
G06000104014002,060014014002,G06000104014002,060014014002,1,1,1,1,1,1
G06000104014003,060014014003,G06000104014003,060014014003,1,1,1,1,1,1
G06000104015001,060014015001,G06000104015001,060014015001,1,1,1,1,1,1
G06000104015002,060014015002,G06000104015002,060014015002,1,1,1,1,1,1
G06000104015003,060014015003,G06000104015003,060014015003,1,1,1,1,1,1
G06000104016001,060014016001,G06000104016001,060014016001,1,1,1,1,1,1
G06000104016002,060014016002,G06000104016002,060014016002,1,1,1,1,1,1
G06000104017001,060014017001,G06000104017003,060014017003,0.999707008874,0.999657209023,0.999527310786,0.999827017516,0.999338852106,0.973705760189
G06000104017001,060014017001,G06000104251042,060014251042,2.92991126e-4,3.42790977e-4,4.72689214e-4,1.72982484e-4,4.2927898e-4,3.70773917e-4
G06000104017001,060014017001,G06000104251043,060014251043,0,0,0,0,0,0.003380184295
G06000104017001,060014017001,G06000104251044,060014251044,0,0,0,0,2.31868914e-4,0.003224368263
G06000104017001,060014017001,G06000104251022,060014251022,0,0,0,0,0,0.019318913337
G06000104017002,060014017002,G06000104017001,060014017001,0.587814705848,0.587681689365,0.573508683014,0.576966313227,0.572015189978,0.390371968386
G06000104017002,060014017002,G06000104017002,060014017002,0.412185294152,0.412318310635,0.426491316986,0.423033686773,0.427984810022,0.609628031614
G06000104017003,060014017003,G06000104017003,060014017003,0.979166666667,0.978723404255,0.6,1,0.6,0.984979827647
G06000104017003,060014017003,G06000104251012,060014251012,0.020833333333,0.021276595745,0.4,0,0.4,0.015020172353
G06000104018001,060014018001,G06000104018001,060014018001,1,1,1,1,1,1
G06000104018002,060014018002,G06000104018002,060014018002,1,1,1,1,1,1
G06000104022001,060014022001,G06000104022001,060014022001,1,1,1,1,1,1
G06000104022002,060014022002,G06000104022001,060014022001,0.314726840855,0.325434439179,0.265734265734,0.288461538462,0.266055045872,0.252889788526
G06000104022002,060014022002,G06000104022002,060014022002,0.685273159145,0.674565560821,0.734265734266,0.711538461538,0.733944954128,0.747110211474
G06000104022003,060014022003,G06000104022003,060014022003,1,1,1,1,1,0.989754788269
G06000104022003,060014022003,G06000104022002,060014022002,0,0,0,0,0,7.57519078e-4
G06000104022003,060014022003,G06000104017001,060014017001,0,0,0,0,0,0.003918524615
G06000104022003,060014022003,G06000104018002,060014018002,0,0,0,0,0,0.005569168038
G06000104024001,060014024001,G06000104024001,060014024001,0.741959064327,0.738334858188,0.705454545455,0.683823529412,0.715384615385,0.739051198354
G06000104024001,060014024001,G06000104024002,060014024002,0.258040935673,0.261665141812,0.294545454545,0.316176470588,0.284615384615,0.260948801646
