bgp2000gj,bg2010gj,bg2010ge,wt_pop,wt_fam,wt_hh,wt_hu
G06000109002000562427100R1,G06000104271003,060014271003,0.0,0.0,0.0,0.0
G06000109002000562427100R4,G06000104271001,060014271001,0.0,0.0,0.0,0.0
G06000109002000562427100U1,G06000104271003,060014271003,1.0,1.0,1.0,1.0
G06000109002000562427100U2,G06000104271002,060014271002,1.0,1.0,1.0,1.0
G06000109002000562427100U3,G06000104271001,060014271001,0.5767634855,0.5513307985,0.5854271357,0.5851851852
G06000109002000562427100U3,G06000104271003,060014271003,0.4232365145,0.4486692015,0.4145728643,0.4148148148
G06000109002000562427100U4,G06000104271001,060014271001,1.0,1.0,1.0,1.0
G06000109002000562427200R5,G06000104272005,060014272005,1.0,0.0,0.0,0.0
G06000109002000562427200U1,G06000104272001,060014272001,0.9796739475,0.9821244716,0.981062559,0.9813850945
G06000109002000562427200U1,G06000104272004,060014272004,0.0203260525,0.0178755284,0.018937441,0.0186149055
G06000109002000562427200U2,G06000104272002,060014272002,1.0,1.0,1.0,1.0
G06000109002000562427200U3,G06000104272003,060014272003,1.0,1.0,1.0,1.0
G06000109002000562427200U4,G06000104272004,060014272004,1.0,1.0,1.0,1.0
G06000109002000562427300R2,G06000104273002,060014273002,0.0,0.0,0.0,0.0
G06000109002000562427300U1,G06000104273001,060014273001,1.0,1.0,1.0,1.0
G06000109002000562427300U2,G06000104273002,060014273002,1.0,1.0,1.0,1.0
G06000109002000562427300U3,G06000104273003,060014273003,1.0,1.0,1.0,1.0
G06000109002000562427300U4,G06000104273004,060014273004,1.0,1.0,1.0,1.0
G06000109002000562427300U5,G06000104273005,060014273005,1.0,1.0,1.0,1.0
G06000109002000562427400R2,G06000104287001,060014287001,0.0,0.0,0.0,0.0
G06000109002000562427400U1,G06000104287001,060014287001,0.0,0.0,0.0,0.0
G06000109002000562427400U2,G06000104287001,060014287001,1.0,1.0,1.0,1.0
G06000109002000562427500R1,G06000104287002,060014287002,0.0,0.0,0.0,0.0
G06000109002000562427500R1,G06000109900000,060019900000,0.0,0.0,0.0,0.0
G06000109002000562427500U1,G06000104287001,060014287001,0.0,0.0,0.0,0.0
G06000109002000562427500U1,G06000104287002,060014287002,1.0,1.0,1.0,1.0
G06000109002000562427600U1,G06000104276001,060014276001,0.5467177767,0.5645756458,0.5339398181,0.5337001376
G06000109002000562427600U1,G06000104276002,060014276002,0.4532822233,0.4354243542,0.4660601819,0.4662998624
G06000109002000562427600U2,G06000104276003,060014276003,1.0,1.0,1.0,1.0
G06000109002000562427700R3,G06000104277003,060014277003,0.0,0.0,0.0,0.0
G06000109002000562427700R3,G06000109900000,060019900000,0.0,0.0,0.0,0.0
G06000109002000562427700U1,G06000104277001,060014277001,1.0,1.0,1.0,1.0
G06000109002000562427700U2,G06000104277002,060014277002,1.0,1.0,1.0,1.0
G06000109002000562427700U3,G06000104277003,060014277003,1.0,1.0,1.0,1.0
G06000109002000562427700U4,G06000104277004,060014277004,1.0,1.0,1.0,1.0
G06000109002000562427800U1,G06000104278001,060014278001,1.0,1.0,1.0,1.0
G06000109002000562427800U2,G06000104278002,060014278002,1.0,1.0,1.0,1.0
G06000109002000562427800U3,G06000104278003,060014278003,1.0,1.0,1.0,1.0
G06000109002000562427800U4,G06000104278004,060014278004,1.0,1.0,1.0,1.0
G06000109002000562427800U5,G06000104278005,060014278005,1.0,1.0,1.0,1.0
G06000109002000562427900U1,G06000104279001,060014279001,1.0,1.0,1.0,1.0
G06000109002000562427900U2,G06000104279002,060014279002,1.0,1.0,1.0,1.0
G06000109002000562427900U3,G06000104279003,060014279003,1.0,1.0,1.0,1.0
G06000109002000562427900U4,G06000104279004,060014279004,1.0,1.0,1.0,1.0
G06000109002000562427900U5,G06000104279005,060014279005,1.0,1.0,1.0,1.0
G06000109002000562428000U1,G06000104280001,060014280001,1.0,1.0,1.0,1.0
G06000109002000562428000U2,G06000104280002,060014280002,1.0,1.0,1.0,1.0
G06000109002000562428100R1,G06000104281001,060014281001,0.0,0.0,0.0,0.0
