fips,county_name,region,rural_pct,population,rural_pop,rural_flag
06077003406,San Joaquin CA,Central Valley Region,0,3769,0,0
06077004402,San Joaquin CA,Central Valley Region,0,5599,0,0
06077004600,San Joaquin CA,Rural Areas,0.8744056402688966,6099,5333,1
06077001400,San Joaquin CA,Central Valley Region,0,5015,0,0
06077003106,San Joaquin CA,Central Valley Region,0,3862,0,0
06077001700,San Joaquin CA,Central Valley Region,0,4026,0,0
06077000401,San Joaquin CA,Central Valley Region,0,3351,0,0
06077003404,San Joaquin CA,Central Valley Region,0,5849,0,0
06001450200,Alameda CA,Bay Area Region,0,6456,0,0
06001444100,Alameda CA,Bay Area Region,0,7703,0,0
06001406201,Alameda CA,Bay Area Region,0,5019,0,0
06001406202,Alameda CA,Bay Area Region,0,4769,0,0
06001428000,Alameda CA,Bay Area Region,0,2997,0,0
06001409700,Alameda CA,Bay Area Region,0,5523,0,0
06001432100,Alameda CA,Bay Area Region,0,4121,0,0
06001409200,Alameda CA,Bay Area Region,0,3755,0,0
06001450741,Alameda CA,Bay Area Region,0,5482,0,0
06001450300,Alameda CA,Bay Area Region,0,5548,0,0
06001401500,Alameda CA,Bay Area Region,0,2661,0,0
06001401400,Alameda CA,Bay Area Region,0,5355,0,0
06001438400,Alameda CA,Bay Area Region,0,2460,0,0
06001423300,Alameda CA,Bay Area Region,0,3738,0,0
06001423902,Alameda CA,Bay Area Region,0,1464,0,0
06001438000,Alameda CA,Bay Area Region,0,3409,0,0
06001402200,Alameda CA,Bay Area Region,0,3250,0,0
06001436700,Alameda CA,Bay Area Region,0,3689,0,0
06001437900,Alameda CA,Bay Area Region,0,2426,0,0
06013389200,Contra Costa CA,Bay Area Region,0,1907,0,0
06013359102,Contra Costa CA,Bay Area Region,0,5496,0,0
06013379000,Contra Costa CA,Bay Area Region,0,7255,0,0
06013337300,Contra Costa CA,Bay Area Region,0,6147,0,0
06013345111,Contra Costa CA,Bay Area Region,0,5990,0,0
06013333102,Contra Costa CA,Bay Area Region,0,4090,0,0
06013323000,Contra Costa CA,Bay Area Region,0,4622,0,0
06013387000,Contra Costa CA,Bay Area Region,0,2993,0,0
06019003600,Fresno CA,Central Valley Region,0,4062,0,0
06019005507,Fresno CA,Central Valley Region,0,6097,0,0
06019004505,Fresno CA,Central Valley Region,0,5164,0,0
06019007202,Fresno CA,Rural Areas,1,5292,5292,1
06019001000,Fresno CA,Central Valley Region,0.0050729232720355105,4731,24,0
06019001304,Fresno CA,Central Valley Region,0,5496,0,0
06019007003,Fresno CA,Rural Areas,1,8006,8006,1
06085500100,Santa Clara CA,Bay Area Region,0,7969,0,0
06085509107,Santa Clara CA,Bay Area Region,0,5242,0,0
06085508800,Santa Clara CA,Bay Area Region,0,3635,0,0
06085507500,Santa Clara CA,Bay Area Region,0,5984,0,0
06085512030,Santa Clara CA,Bay Area Region,0,3096,0,0
06085512021,Santa Clara CA,Bay Area Region,0,6292,0,0
06085507203,Santa Clara CA,Bay Area Region,0,2891,0,0
06085505403,Santa Clara CA,Bay Area Region,0,8695,0,0
06085503709,Santa Clara CA,Bay Area Region,0,6878,0,0
06085503504,Santa Clara CA,Bay Area Region,0,5888,0,0
06085503208,Santa Clara CA,Bay Area Region,0,3737,0,0
06085502906,Santa Clara CA,Bay Area Region,0,4848,0,0
06085502400,Santa Clara CA,Bay Area Region,0,7235,0,0
06085504411,Santa Clara CA,Bay Area Region,0,5350,0,0
06085504412,Santa Clara CA,Bay Area Region,0,4703,0,0
06085510803,Santa Clara CA,Bay Area Region,0,2781,0,0
06085502002,Santa Clara CA,Bay Area Region,0,5166,0,0
06085503110,Santa Clara CA,Bay Area Region,0,4407,0,0
06085504415,Santa Clara CA,Bay Area Region,0,5218,0,0
06099000807,Stanislaus CA,Central Valley Region,0,3782,0,0
06099000907,Stanislaus CA,Central Valley Region,0,3371,0,0
06099000911,Stanislaus CA,Central Valley Region,0,4966,0,0
06099000302,Stanislaus CA,Rural Areas,1,2782,2782,1
06099002602,Stanislaus CA,Central Valley Region,0,5495,0,0
06099003100,Stanislaus CA,Rural Areas,0.6450689565443664,3843,2479,1
06099001900,Stanislaus CA,Central Valley Region,0,5863,0,0
06099003400,Stanislaus CA,Rural Areas,1,1675,1675,1
06099003905,Stanislaus CA,Central Valley Region,0,3940,0,0
06027000200,Inyo CA,Rural Areas,1,1698,1698,1
06053014102,Monterey CA,Central Coast Region,0,3984,0,0
06053001400,Monterey CA,Central Coast Region,0,2914,0,0
06053013900,Monterey CA,Central Coast Region,0,2584,0,0
06053010606,Monterey CA,Central Coast Region,0.20383451059535823,7928,1616,0
06069000400,San Benito CA,Central Coast Region,0.003704801422643746,6748,25,0
06087100600,Santa Cruz CA,Central Coast Region,0,3358,0,0
06091010000,Sierra CA,Rural Areas,1,3236,3236,1
06081602700,San Mateo CA,Bay Area Region,0,6080,0,0
06081612800,San Mateo CA,Bay Area Region,0,3354,0,0
